name,rating_info,review_text
Jason,"Rating, 4 stars
,
·
4 days ago
,
·
Stayed a few nights",Was a great stay. House was clean and spacious.
Laurie,"Rating, 4 stars
,
·
1 week ago
,
·
Stayed a few nights","The place was as described. The price was indicative of the linens, furnishings, and finishes. Great location with easy access to amenities."
Tressa,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed a few nights","Very nice place to stay and it’s close to stores and restaurants. The area is quiet and the neighbors are friendly and welcoming. The townhome is very clean, we felt right at home."
Julie,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed a few nights",This was a perfect getaway for our weekend.
Elza,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed one night",Everything good 👍
Elza,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed about a week",Everything great . Thank you
Awbree,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed a few nights","Wonderful experience! Beautiful, peaceful and comfortable. Craig and Kimberly were very welcoming and accommodating."
Justin,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed a few nights",This was our second stay. Would love to return.
Aaron,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",This was my greatest Airbnb experience yet. Craig and Kimberly were more than accommodating and made me feel right at home. My only issue is that I wasn’t able to stay longer!
Kassie,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night",Stayed for a chill hang out with my best friends as a mom getaway. This place was perfect for the 3 of us. The backyard was amazing (hot tub was a favorite of ours) and it was a peaceful place to relax but close enough to run into Grand Island for things!! The hosts are the nicest people (brought us the best cinnamon rolls for breakfast) and their dogs are so friendly and cute!! We definitely enjoyed our stay and talked about coming back!! Thank you so much for the perfect spot for our weekend getaway!!
Dylan,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night",Good place
Joseph,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night","Craig and Kimberly were excellent hosts. this was my first experience staying on-site with the host family and have zero regrets!
they even made and delivered breakfast what was not expected but amazing."
Brittany,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with kids",Family friendly- great hot tub and can’t wait to come back and use the pool! Our kids loved their dogs. They made us feel right at home! Best part was the homemade breakfast! We enjoyed our family night and day! Thank you again for the amazing host and place! 10/10 recommend and we WILL be back!
Shelly,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with kids",The space was cute and functional and the back yard is really beautiful. We were there to see the sandhill cranes and the fields near their house had lots of cranes which made for a beautiful and musical morning walk.
Rexanne,"Rating, 4 stars
,
·
March 2024
,
·
Stayed a few nights",Very friendly and helpful. Comfortable.
Kelvin,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",The nicest airb&b we have stayed at. Kimberly was so helpful getting us settled in. The place is quiet. We were very pleased!!
Megan,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with a pet",Craig and Kimberly were so incredibly nice! We had our bridal party getting ready there and they were so accommodating. When we didn’t “check in on time” (wedding planning was crazy busy) they had messaged us just to make sure that everything was okay and see if we needed any help with anything. The area was so beautiful for the backyard and their fur baby was so nice and sweet. I would definitely stay here again! We took a lot of our getting ready photos in the suite and in the backyard and it was a beautiful and quiet place! I cannot recommend it enough!!
Mary,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night",Perfect get away. Very quiet and spacious!
Angie,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night","Clean, comfortable and we loved having the outdoor hot tub after a long drive."
