name,rating_info,review_text
Bryan,"Rating, 5 stars
,
·
4 weeks ago
,
·
Group trip",Me and my friends really enjoyed our stay here. Was super cozy and felt like we were at home. If we come back again will definitely stay here again.
Innovative,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",We will be back.
Elizabeth,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with a pet",This was our second time staying here and it’s still as great as the first time. We absolutely love Jennifer’s place. She was a great host very responsive and came very quickly to help when we had an issue with the tv. We will definitely be coming again
Innovative,"Rating, 5 stars
,
·
April 2024
,
·
Stayed over a week",Will be back.
Innovative,"Rating, 5 stars
,
·
March 2024
,
·
Stayed over a week",Always enjoying to stay here.
Kim,"Rating, 5 stars
,
·
March 2024
,
·
Stayed about a week",Beautiful view. Quick to answer questions. Would stay there again.
Jennifer,"Rating, 5 stars
,
·
March 2024
,
·
Stayed over a week","To future renters, here’s my advice. Don’t ever hesitate to book Jennifer’s place! I have never had a host that goes above and beyond!"
Jennifer,"Rating, 5 stars
,
·
January 2024
,
·
Stayed over a week",Our company crew has been staying in the Herron House for 2 months now. Just loves Jennifer's place as she has the acreage to park the construction trailers. Our Project Manager onsite speaks so highly of the place. VERY HIGHLY RECOMMENDABLE!
Mark,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights","Jennifer's place was amazing!!
The house and grounds are stunning and very well cared for - we will definitely come back in warmer weather to enjoy the deck.
There were a few minor issues (some missing batteries, etc), but Jennifer was proactive in checking in with us and fixed the issues immediately.
The driveway is a little hidden, but with Jennifer's precise directions, we found it without any problems.
Our only complaint is that the wifi was really weak, so if you plan to work while there, it might be an issue."
Jennifer,"Rating, 5 stars
,
·
January 2024
,
·
Stayed about a week",I am lost for words to describe how wonderful Jennifer is to our Airbnb needs. This is the reason why we opt for long-term rental. She always goes above and beyond what is expected of a host. Will highly recommend her!
Debra,"Rating, 5 stars
,
·
December 2023
,
·
Stayed with a pet",Everything was so nice and homey . Jennifer was very responsive and gave clear instructions. House has a beautiful scenery. House was clean and spacious.
Carla,"Rating, 5 stars
,
·
December 2023
,
·
Group trip","Excellent, peaceful place!"
