name,rating_info,review_text
Nicholas,"Rating, 5 stars
,
·
5 days ago
,
·
Stayed with kids",A1. Will repeat.
Austin,"Rating, 5 stars
,
·
6 days ago
,
·
Group trip",Great place for a golf getaway. Slept 12 easy. Forgot a bag & they took car of it for us.
Richard,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed a few nights","I was in town for work, but It was a really nice home. I thought the John Whick theme was cool. Beds were nice, rooms were comfortable, the second floor deck is really cool, and it is not far to get into whatever you’re looking for."
Houston,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed one night",Great place to stay in a great location!
Karen,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed a few nights","Nice home, great value, good location"
Teresa,"Rating, 5 stars
,
·
3 weeks ago
,
·
Group trip",Great place to stay! thank you for hosting.
Michelle,"Rating, 5 stars
,
·
3 weeks ago
,
·
Group trip",Amazing place to stay at! Everything was so roomy and overall a wonderful place to stay if you have a lot of guests in your party!
Madricus,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night",Very nice place inside & out !
Teaira,"Rating, 3 stars
,
·
April 2024
,
·
Stayed a few nights","The Hosts were extremely nice and responsive. Photos of Airbnb were stunning but the actual listing fell beneath my expectations. Home was quite dusty and some areas unclean/kept. Home hasn’t been dusted, vacuumed, or sweep/mopped. It was difficult to change AC/Heat on units but Hosts were very responsive. There were no towels in bathrooms. They were found in the dryer I guess from previous rentals. Restrooms were not as clean as I would have liked for new rentals. It seems as if property hadn’t been rented in a while and just a little more TLC would have been appreciated. Our guest that stayed in the downstairs bedroom had an unexpected guess (mice). The balcony was not clean at all and enjoyable for us. The neighbors seemed fine at first but late at night it was a lot of loud music played (this was during the week day). With a few upgrades and TLC this property will be keynote. I do appreciate the Host and their home. Just constructive criticism."
Rebecca,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with kids",we absolutely loved this home. plenty of room. very clean. they have everything you could possibly need throughout your stay already available. we will for sure be back soon.
Jay,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night",Unique and roomy! We'll be back next time we're in Huntsville.
Lee,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Really enjoyed staying here it was very convenient to get downtown and other areas west of town.
LaRay,"Rating, 5 stars
,
·
March 2024
,
·
Group trip",Very nice property! We enjoyed our stay!!!
Jay,"Rating, 4 stars
,
·
March 2024
,
·
Group trip","Difficulty getting in on day of arrival due to keypad lock not working. Delay in response through app to provide instructions for getting in; however, only about 30 minutes. Place was clean and exactly as described. Instructions for the AC/Heating would be a recommendation for leaving guests. Overall, great value for the area and the theme of John Wick is excellent."
Ashley,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",The home was exactly how it was described! Easy check in and all items that were included were stocked and available!! Loved the layout and abundance of clutter free space for everyone to enjoy!!! Totally recommend visiting Huntsville and staying in the John Wick house!! It was very cool!
Andrekeus,"Rating, 3 stars
,
·
March 2024
,
·
Stayed with kids","All and all the place was ok, but not at all the upscale place we were expecting. I did not like the fact that I was sent a door code for a lock that was known to be out of order. While the host was prompt with responding that the lock didn’t work and a key was available, I had no plans to keep up with someone else’s house key when “keyless entry” was part of my search criteria. For us, the best thing about it was that it was centrally located near the places we had planned to visit. We traveled with our young children and this home is not at all kid friendly. Additionally, the exterior was not clean with trash bins strewn over the front lawn. We did not feel safe in the area as people were walking up and down the street and cars were stopped in the middle of the road. While the house was ok for the one night we stayed, it needs some attention to be brought up to its upscale billing."
Whitney,"Rating, 4 stars
,
·
March 2024
,
·
Stayed one night",We had so much fun
Ethan,"Rating, 4 stars
,
·
March 2024
,
·
Group trip",Good and responsive hosts. Walls a little banged up but the place is nice
Monique,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",The stay here was amazing..I would suggest the John Wick if you looking to stay. Everything where located within 8 mins of the house. My guest and I really enjoy our stay.
Ashley,"Rating, 5 stars
,
·
March 2024
,
·
Group trip",This place is awesome and close to everything. The host are extremely responsive and friendly!
Christopher,"Rating, 5 stars
,
·
February 2024
,
·
Stayed one night",Wish I could have stayed here longer and had a John Wick themed party on their awesome balcony/deck area. Go to the amazing restaurant Domain South while you're here. It's only 5 minutes away.
Ashley,"Rating, 5 stars
,
·
February 2024
,
·
Stayed one night",Awesome.. No disappointments nor complaints. 5 stars all around.
Kody,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights",One of our favorite places to stay! We recommend this place to anyone!
