name,rating_info,review_text
Julie,"Rating, 5 stars
,
·
1 day ago
,
·
Stayed one night",Nice and clean
Jhonatan,"Rating, 5 stars
,
·
3 days ago
,
·
Stayed with kids","Great place to stay! We had a one of the best experiences, everything was clean and beautiful. This house is a palace!!!"
Alana,"Rating, 5 stars
,
·
5 days ago
,
·
Stayed a few nights",Great place to stay would book again
Carla,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed a few nights","The house, amenities and neighborhood are awesome! John is great to work with. The house is located very close to the Marine base, which was great for our family."
Jamie,"Rating, 5 stars
,
·
May 2024
,
·
Stayed a few nights","Lovely home, very clean and plenty of amenities."
Ashley,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Very comfortable and feels like home. would recommend 100%.
Darryl & Priscilla,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",John Price was lovely. John was a great host and would return and rent property again.
Haylee,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Really cute place would definitely stay again
Jamel,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","A nice, clean, comfortable stay. John made his house feel like home."
Loriel,"Rating, 4 stars
,
·
April 2024
,
·
Stayed a few nights","The location was great, the area was very quiet, the price was good. Nice and clean and the host was very helpful with communication."
Jessica,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","This place was wonderful! I felt at home as soon as I walked through the front door. Everything was as expected. Thank you for everything, John!"
Marcus,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night","Nice little get away for me and my fiancé. Felt right at home, highly recommend."
Shane,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","This is a great place to stay, especially if you are there for the Marine base. We were house hunting and this was central to our efforts."
Steven,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Very peaceful and comfortable house. Nice amenities. Great host very helpful with anything we needed
Kyle,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","Awesome place! Totally recommend, Would stay again!!!"
Johanna,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","John was an amazing host, communication was quick and easy to work with. The place was absolutely very clean and very cozy. It felt like being home. Very closed to camp lajun and he was able to accommodate us for the days needed. We droved 9 half hrs to our daughter birth and booked the same day. Te area was very quiet and the place defenetly makes you feel at home. I will defenetly will recommend Johns place and will be booking again with him if need to. Overall I will give him 5 out of 5 stars."
Jennifer,"Rating, 4 stars
,
·
March 2024
,
·
Stayed a few nights",John was very responsive which was truly amazing especially on time when I needed help with anything. The area is very peaceful and good location for nearby shopping center; would love to stay again!
Jennifer,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights","Very nice place, and John was a pleasure to deal with. Would definitely stay here again."
Joalynn,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights",Everything was a smooth process. From check in to check out John always made sure to communicate with me! Place was clean and just as described.
Belsabe,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights",I felt right at home. Everything was very clean organized it was worth managing to leave my daughter I will return again and everything is very Serca the shops. I'm leaving very satisfied
Shelly,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights","Close to base, which we needed. Very quiet, comfortable place with all the amenities as listed. Would stay again."
David,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights","Had an amazing stay, would definitely be an option if i stay in the area again!!"
Yahir,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights",Wonderful place for a peaceful get away. Highly recommend.
Yordensy,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights","A comfortable stay in all aspects, good service quickly"
David,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights",10/10! Would absolutely recommend staying here!
Gary,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights",The place was exactly as advertised. My only suggestion would be to install better curtains. The once there were very thin so at night it felt like people could see in from outside. Other than that it was perfect. Highly recommend.
Grace,"Rating, 5 stars
,
·
December 2023
,
·
Stayed about a week",John was very nice and responsive. The place has everything you need.
Susan,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights","Great location. Close to restaurants and shopping. Most of all, close to Camp Lejeune!!"
Justin,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights",perfect place if you are in the Jacksonville area!
Rick,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights",I have just a few experiences with Airbnb but this was fantastic! John was extremely responsive and answered any and all questions I had. The place far exceeded my expectations for the price that I paid and will look to stay here again in the future!
Cecilia,"Rating, 5 stars
,
·
October 2023
,
·
Stayed with kids",A great clean place to stay that is convenient to everything. John was a great host.
Aleya,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights","It was very neat and clean! Good place in a quiet area, very friendly! Would def go back"
Samantha,"Rating, 5 stars
,
·
October 2023
,
·
Stayed with kids",It was an amazing stay
Maria,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights",Thanks John for letting us stay. we loved how peaceful your home is & how clean it was. we will definitely be back 🙂
Jean,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights","This was our first stay at an Airbnb and after this experience we will only use Airbnb places from now on. If we return to this area we would be happy to use this place again. Very nice home, very neat and clean and in a great quiet location. John was very helpful and responsive and it was much appreciated. Would very highly recommend this wonderful home and John as the host!!"
Andrea,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights",This was a great place to stay. The space was very clean an comfortable. I couldn't asked for anything better. John makes things very convenient for his guests.
