name,rating_info,review_text
Matt,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed one night","Great location, we were able to walk to everything. And a very nice apartment, with a great little deck on the roof. This was a perfect spot to enjoy downtown Keene for a weekend."
Kevin,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with kids",Hannah was an excellent host! Thank you so much.
Jorma,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with kids",This apartment is a little kooky in its location being that you have to walk across the roof to access it but the moment you step in it’s super clean and beautifully done. Every detail is well thought out. I really enjoyed staying there and it’s right by downtown. It was just the relaxing spot I needed.
Ashley,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",I love Hannah’s place! It is so comfortable and I always feel right at home when I stay here. They just renovated the bathroom and the shower is beautiful! I always appreciate staying in such a squeaky clean place with nice linens.
Brianne,"Rating, 4 stars
,
·
March 2024
,
·
Stayed a few nights","We enjoyed our stay at Hannah's place! Hannah was very proactive with communication ahead of our stay which helped with a very smooth checkin process and made us feel like we could go to her for anything we needed throughout our stay. The apartment is incredibly spacious and accomodated our 3 guests perfectly. We were a little unsure about navigating up to the apartment at first and there was one icey night where it felt sketchy to walk across the rooftop even with the grip pads, but once inside we were able to relax and felt right at home!"
Rob,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","Hannah's UpTop rooftop appartement was really exceeding our expectations. It is so spacious and nice decorated. Everything you want to have is there, even a special space for our yoga and tai chi exercises. The living room is a little bit cold so we did not spend time there. No problem: we like to spend time at the kitchen table. Keene is a nice town and the apartment is within walking distance of a really nice supermarket that sells organic locally produced food. In main street there a few nice restaurants.
We stayed two days longer than planned!"
Katya,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights","Our time at Hannah’s place was one of our favorite stays to date! We were wowed by how pristine, cozy and spacious the apartment was. It was quiet, private, and the rooftop location was quite straightforward to access. The kitchen had more dishes/utensils than needed for the maximum amount of guests allowed - usually we run into the opposite with most airbnbs. We enjoyed cooking in the kitchen, spending time in the living space and we wish we had time to play the many games available. There were so many thoughtful touches, such as lovely decor, free tea, coffee and snacks, and easy access with the keypad. There were even yoga mats for 4 and plenty of space to use them! Everything was so clean and tidy and we had no issues. Hannah sent clear instructions and great recommendations for dining before we even asked, too! The area was so cute and there was tons to do - we loved the speakeasy and went back twice. We would LOVE to come back! Thanks Hannah!"
Lisa,"Rating, 5 stars
,
·
February 2024
,
·
Stayed one night","Hannah's place is unique, cute and very clean! It's in a great location for walking to restaurants and little shops. We appreciated the basket of snacks left for us and it had all the amenities we needed for a comfortable overnight. If you're traveling with young children, please heed the considerations Hannah has included. A parent would need to be very conscious about the rooftop area along with keeping the safety gate closed to the nook with the twin mattress as it has a steep stairwell. We had only our teenager so no concerns.
We will definitely consider staying here again in the future. Thank you, Hannah!"
Michelle,"Rating, 5 stars
,
·
February 2024
,
·
Stayed with kids",Such a great spot. Stayed here with our 2 year old daughter and the amount of space in the apartment was perfect. The apartment is in a great location and decorated so cozy and is updated. We would stay here again if were ever in Keene!
Shelley,"Rating, 5 stars
,
·
January 2024
,
·
Stayed one night",Our stay in Keene at this lovely apartment was great. It is a beautiful and comfortable space in the perfect location!
Misty,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights","I had visited a friend this summer while they stayed at The Rooftop. I liked it so much, that I booked it as my first airbnb stay for my birthday weekend. I loved the cozy homey feeling of the unit but yet it has so much unique space to spread out and enjoy yourself!
Hannah was fantastic with communication without being intrusive. She made sure to answer any questions. The unit was extremely clean and inviting and was perfectly stocked with all items you’d need, as well as those you might not think of!
The rooftop is an ideal location to just get away and relax or go enjoy a night or two on the town :) I look forward to seeing what the new renovations will be at this already ideal space!!"
Jana,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights","If I could give Hannah’s place more than 5 stars I would!! I absolutely loved this space. It was so peaceful, private, clean and spacious. Communication was easy and Hannah was very helpful in every way. If I’m ever back in Keene, I’d definitely want to stay here again!"
Tingwei,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights","Great place to stay in Keene! At the top of the building, quiet, cozy and clean. Would come back again for a nearby ski trip!"
Ashley,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights",This wasn’t my first time to stay at Hannah’s place. I love it here! I booked more stays for this year when I will be back in town.
Ashley,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights","This was my second time staying at Hannah’s rooftop, and it was my second time to love my stay! She just got a brand new washer and dryer that I was able to use, and I really appreciated that! I plan to stay here again in the next few months - I booked today to ensure it was available. I also loved that I could quickly walk to the restaurants and shops downtown."
Matt,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights","We really enjoyed our stay in Hannah’s apartment. It was very easy to access with the simple instructions she sent us. The apartment was clean and matched all the pictures. There was plenty of space to hang out in the futon/TV room, kitchen, second living area with yoga mats and bean bags, and the bedroom. Kitchen was well stocked with utensils and dishes, and dishwasher was a great feature. Bathroom was clean and water was hot. My girlfriend loved the interior design and made sure to take lots of pics of everything. Would definitely reccomend based on cleanliness and proximity to an awesome downtown area."
Liza,"Rating, 5 stars
,
·
December 2023
,
·
Stayed with kids","Hannah’s place was absolutely perfect. We needed a getaway while visiting family for the holidays and Hannah’s place served as the perfect sanctuary from the open floor plan to the board games and books, we had a ton of space to relax and enjoy some quiet time. They even put out sand on the walkway on one of the colder nights when some puddles iced over. Great place, great host!"
Charles,"Rating, 5 stars
,
·
December 2023
,
·
Stayed one night","Our trip was just a brief overnight stay in Keene.
The apartment was very clean and had everything you might need for a short visit.
Overall, very happy with the accommodations."
Laura,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights","Such an amazing space in Keene - walkable to downtown, amazingly clean, unique, full of character and quiet. I will stay here whenever I need to lodge in keene and so happy to have found this space. Hannah was easy to communicate with and made the check in and check out seamless."
Alyssa,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights","Hannah’s place is wonderful!! Clean, beautiful, cozy, inviting. Will definitely be back!"
Ashley,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights","I loved this space! Squeaky clean and nice linens. I also loved the yoga space! It was so nice to be able to work out at “home” - she even had 5 lb hand weights. Extremely close to the downtown area and great restaurants. I enjoyed it so much, I booked 8 additional nights for next month when I will be back for work."
Ozren,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights",As mentioned. Spacious apartment in the center of the town. Hostess was extremely responsive.
Brian,"Rating, 5 stars
,
·
November 2023
,
·
Stayed one night",great place
Erin,"Rating, 5 stars
,
·
November 2023
,
·
Stayed one night",Great stay after a long night of partying at a wedding. Hannah was a great host and the place was AMAZING!!!! Highly recommend if you want a night out in Keene!!
Christopher,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights",We really enjoyed our 2 nights stay at Hannah’s listing. Its conveniently located and everything you will need is within walking distance. The space was open and bright which sets a very relaxing environment. I would most definitely stay here again!
Kym,"Rating, 5 stars
,
·
October 2023
,
·
Stayed one night","Wow! This was one of the best experiences I’ve ever had on Airbnb. Hannah was so friendly and helpful. I found the property easily, thanks for her detailed instructions. The apartment was incredibly spacious and clean. I couldn’t believe how quiet it was during the day and night.
It was the perfect home away from home. I will absolutely be back!"
Brianne,"Rating, 5 stars
,
·
October 2023
,
·
Stayed one night","I love this place. Cozy, family friendly, and just very inviting!"
Kimberly,"Rating, 5 stars
,
·
October 2023
,
·
Stayed one night","Fabulous uptown airbnb with all the amenities you will ever need. Private entrance, separate parking, super clean and neat airbnb. Highly recommended for short and long term stays! Will be back!"
Kailyn,"Rating, 5 stars
,
·
October 2023
,
·
Stayed one night",Great little place! We loved it. Would come back.
Scott,"Rating, 5 stars
,
·
October 2023
,
·
Stayed with kids","Beautiful, clean and airy space with 3 bedrooms, perfect for a family with two kids. The towels are soft, the sheets are crisp, the kitchen is well appointed, the neighborhood is peaceful, and the house is just a few minutes from Main Street. My 80-year-old mother was charmed by the place and my 15-year-old daughter declared it was the kind of place she wanted to live after college."
Skip,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights","We were in Keene for a wedding that happened to coincide with the Pumpkin Festival. Parking in town was not to be had, but it didn't matter.
Hannah's property put us within walking distance of everything. Her descriptions of the local color and restaurants were right on...and the space was wonderfully and tastefully done. Except that it rained every day (which wasn't Hannah's fault!), we loved our stay and look forward to returning."
Emily,"Rating, 5 stars
,
·
October 2023
,
·
Stayed one night","We LOVED our stay in Keene! Easy to follow instructions, a seamless keypad code to get in, and the place was fantastic. Everything was spotless, the decor was so cute, and the place was even bigger than what I expected. The bed was comfortable and the area was very safe and walkable. Our only regret was not staying here longer. We’d love to come back soon!"
Yuliya,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights","I had a wonderful 2-day stay at Hannah's place. The moment I entered the apartment I felt right at home: it is tastefully decorated, has everything needed for a comfortable stay, extremely clean, and overall welcoming. You can walk to town with shops and restaurants in just a few minutes and there is also a large grocery store very close to the apartment. I loved the yoga/meditation room and made sure to use it. Hannah's communication was prompt and friendly. I would recommend this Airbnb to anyone looking for a nice and relaxing getaway which is still close to a town."
John,"Rating, 5 stars
,
·
October 2023
,
·
Stayed one night","We met Hannah on checking out. She was super helpful, very friendly and we enjoyed talking with her. The place is great and she is renovating. We will definitely want to come back. The unit had MANY extra touches and she is very generous.
A great night and we wished we had booked it again on our way home."
Sarah,"Rating, 5 stars
,
·
October 2023
,
·
Stayed with kids","We had such a great stay at Hannah’s place! Everything was exactly as pictured and above and beyond our expectations! Sadly, we were only staying one night, but we loved the walkability and convenience to the square. Hannah thought of everything; the roof top space was well appointed with a comfy seating area, great book selections, comfortable and clean linens, and it was SO spacious! On top of that, Hannah was very responsive and super friendly. Thanks for a wonderful stay in Keene!"
Keren,"Rating, 5 stars
,
·
October 2023
,
·
Stayed one night","This place was amazing. Super clean, cute, and there was even a basket of welcome goodies and a yoga space 🧘‍♀️❤️. The bed was super comfortable and the location was right next to an adorable downtown square. We stayed here on our last night and were wishing that we could have stayed longer. Will be booking this again if I’m ever back in Keene."
Daniel,"Rating, 5 stars
,
·
October 2023
,
·
Stayed one night","Beautiful place, very large, high ceiling, lots of light. Great location a short walk from the main drag with lots of restaurants. Very responsive host. Highly recommend."
Brianne,"Rating, 5 stars
,
·
October 2023
,
·
Stayed one night","Hannah’s little rooftop apartment is quirky and adorable!! It was definitely bigger than I anticipated, and didn’t feel cramped or confined whatsoever.
Her place is a work in progress, but it still felt homey and I can wait to see how she renovates.
Please don’t take away that one of a kind charm
(And sit in the poof chairs! They are surprisingly comfy!)"
Laura,"Rating, 5 stars
,
·
October 2023
,
·
Stayed one night",Perfect place and location to enjoy Keene’s Main Street!
