name,rating_info,review_text
David,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed a few nights","Everything went smoothly, and we had a great stay. Brent provided clear instructions for check-in/out."
Shawn,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed a few nights",Brent was GREAT. He even noticed us in the town over stopped at a gas station and ran over to say hello and introduced himself. Great people!
Mike,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed a few nights",Amazing place as always
Natasha,"Rating, 5 stars
,
·
4 weeks ago
,
·
Stayed a few nights",It was perfect little place with everything you need!! Great location to get to local restaurants!! Will be back!!
Mike,"Rating, 5 stars
,
·
May 2024
,
·
Stayed a few nights","Amazing place, and amazing hosts! Highly recommend every time you’re in the area!"
Jo,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with kids",Thank you for allowing an early check in
Jason,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night","I really loved this Airbnb. I was in town for work but felt like I was on vacation thanks to this Airbnb. I can’t wait to come back and book this location again if it’s available. Looked amazing, comfortable, quiet and everything you need all in one cozy and comfortable space. 10/10 booking again"
Karimah,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night",Very nice place!!
Douglas,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","The Electric Palace was the perfect location for my stay. Close to the friends I visited, close to downtown and close to countryside and area attractions."
Gretchen,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","Great spot, right across from a gas station so easy to fill up and head out when you're done with your stay."
Michael,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Brent’s place was cute and homey! Quick 30 minute drive to Fredericksburg!
Esther,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","This air bnb was cute and cozy. Just be aware that it is right across the street from a gas station, there are blinds on the windows for privacy but no curtains. There should be black out curtains because it is so bright in the room. I would bring an eye mask and ear plugs since there is traffic and the house is at an intersection. The host was very responsive."
Jeffery,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night","Brent was a great host.pretty cabin, nice,clean,and very comfortable and private. had a great stay. I would Recommend to anybody visiting the area."
Will,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night",Brent brought us firewood. What a guy.
Haley,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights","Was more than I expected. I was in the area for a hunt and when I return, I will check first to see if Brent has an opening with this property"
William,"Rating, 5 stars
,
·
February 2024
,
·
Stayed one night",Comfortable place all around. Will definitely stay again when in town!
Matthew,"Rating, 5 stars
,
·
January 2024
,
·
Stayed with a pet","Great little place with good energy (haha, get it?) with an extremely kind and helpful host!"
Neo,"Rating, 5 stars
,
·
September 2023
,
·
Stayed one night","place was very nice and quiet, in a great neighborhood, host was great at making sure everything was prefect and accommodating....will definitely come back if ever in the area again"
Erin,"Rating, 4 stars
,
·
September 2023
,
·
Stayed a few nights","Cute space, location is a little tough as the gas station across the street is busy and bright. Bring a sleep mask and ear plugs. But nice little kitchenette, good value for our stay in Kerrville."
Juanita,"Rating, 5 stars
,
·
September 2023
,
·
Stayed one night",Love the Place it felt so comfortable and cozy will definitely stay there again 💗
Geovana,"Rating, 5 stars
,
·
September 2023
,
·
Stayed one night","Brent’s place was perfect. I needed a place to rest during my 27hr drive and I was so happy when I arrived. It looked exactly like the photos, the place was cozy, clean and I was able to relax and get some much needed rest before getting back on the road. There were plenty of restaurants close by which I was happy about because I didn’t want to drive anymore than I had to. I would definitely book again!"
Elena,"Rating, 5 stars
,
·
August 2023
,
·
Stayed a few nights",Met all of our expectations and more! Couldn’t have stayed in a cuter place. Will definitely be back.
Stephanie & Bruce,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed with a pet","The birds were amazing, views all around, the cabin has everything and tye porch was where we spent all our time:)"
Julie,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed a few nights","What a great cabin -away from it all but just a few miles to civilization! Perfect location and the area is just beautiful.. rolling hills and greenery.. great place to relax and breath!
Snacks, Keurig, spices, water were a bonus..
A really lovely stay away from it all..
thx Taylor!!"
Anna,"Rating, 5 stars
,
·
May 2024
,
·
Stayed with a pet",We had an absolute blast staying at Taylor's! The cabin is gorgeous as is the area. It's very close to everything Kerrville has to offer yet still in very country area. Taylor has supplied the cabin with everything one could possibly need and then some. We loved the Keurig coffee pot! The entire cabin was spotless. Taylor does a fantastic job hosting!!! We're old fogies and had a little trouble figuring out the Roku; pro-tip: HDMI 2 (not 1). 😂👵👴 THANK YOU TAYLOR!
William,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",This was my second stay with Taylor and the place was as great as I remember.. Perfect little place out of the way.. Perfect for our motorcycle trailers.. Taylor is also super friendly and always responsive!! I will definitely stay there again..
Paul,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night",Thank you Taylor for opening your cabin for my family for the Eclipse!
Jon T,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with a pet",SAFE SURROUNDINGS AND PEACEFUL. JUST A FEW MORE STEPS FOR OLDER FOLKS. EASY ACCESS TO KERRVILLE AND SURROUNDING AREAS. GREAT FRONT PORCH FOR SITTING IN THE EVENINGS. WE HAD A PLEASURABLE STAY.
William,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","This cabin was one of the most comfortable Airbnb stays we have had, nothing fussy, just a well organized home. We were traveling with our golden retriever who enjoyed sitting for hours on the porch...we had to drag her off when it was time to leave! There is a great dog park in town and afterwords took our pup to the fountains where she tried to catch the water jetting up. One day we drove to Lost Maples park and did a beautiful hike. We cooked all of our meals in the cabin, did our laundry, and enjoyed watching movies at night from their comfortable couch. Unlike our other hosts, they take care of all cleanup (no stripping sheets, etc). A great value and a great find."
Cynthia,"Rating, 4 stars
,
·
March 2024
,
·
Stayed with a pet",Cozy little cabin. We felt right at home. Having a washer and dryer in the cabin was so nice. We would stay at the cabin again.
Rhonda,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","The Cabin was as described. However, I didn’t realize that there were 9 steps to gain entry. After having knee surgery recently, I didn’t anticipate that many steps. Though I was able to navigate the steps with help, I would like to have been aware of the steps before booking. Otherwise, Taylor was a gracious host and we have nothing but good to say about our host. We really enjoyed our stay."
Alfred,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights",Just as pictured and easy to get to. Easy check-in everything was ready when I arrived. No problems what so ever.
Jim,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights","We were looking for a quiet place for a short trip into the Hill Country to get out of Dallas for a few days. We wanted something that felt isolated. This location exactly fit what we were looking for. It was an extremely comfortable cabin. It was quiet. We felt like we got away. Kerrville was nice, but very quiet. We were looking for place to hike and the town has a couple of nice options. We highly recommend this cabin and Kerrville for a relaxing get out of town."
Jessica,"Rating, 5 stars
,
·
February 2024
,
·
Stayed with kids",We enjoyed staying at Taylor’s Cabin. It has everything we needed to make our stay comfortable and worry free. We will definitely be back!
Jerry & Nela,"Rating, 5 stars
,
·
February 2024
,
·
Stayed one night",Taylor was excellent host and very responsive. highly recommend and will definitely come back
Lori,"Rating, 5 stars
,
·
January 2024
,
·
Stayed with kids",Perfect cabin stay in a secluded area of Kerrville. Loved our stay and would recommend to others!
Orlando,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights","Perfect getaway, personal perks and extras. Totally happy to come back again."
Chase,"Rating, 5 stars
,
·
January 2024
,
·
Stayed with kids","Great spot! The cabin was extremely clean with all the amenities. We wanted to get away from the city; and it felt like we did.
Highly recommended."
Rachel,"Rating, 5 stars
,
·
January 2024
,
·
Stayed with kids","We had a wonderful visit, and especially enjoyed a beautiful night of stargazing. The cabin was comfortable and clean. Taylor was very responsive and helpful!"
Alejandro,"Rating, 5 stars
,
·
December 2023
,
·
Stayed one night",Very quiet and charming place conveniently close to Kerville
Ashley,"Rating, 5 stars
,
·
December 2023
,
·
Stayed with a pet",2nd time staying here and it was as fantastic as the 1st time! Will be back. Cabin is perfect and had everything we needed to have a stress free stay. Thank you Taylor!
Wes,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights",Very nice and clean. They had a very good selection of coffee which was really nice. I was there for work but will definitely be bringing my family back to enjoy some rest and relaxation.
Kyle,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights","We all really enjoyed the cabin and everything about it including the fire pit and grill. Thankfully, it has started to rain some in the hill country this fall."
Janele,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights","We enjoyed our stay at this lovely cabin just outside of Kerrville. It was clean, comfortable, and private. We were on the go all weekend, so we didn't have an opportunity to avail ourselves of the impressive DVD selection in the living room. Taylor was quick to respond when I had a question. We'll definitely stay here again if we visit Kerrville again."
James,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights",We had a very nice weekend. The place was perfect for us.;
Daniel,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights","Taylor’s place was very quiet and peaceful. It was a nice cozy, little house that made you feel right at home. Everything was clean and very well kept."
Sarah,"Rating, 5 stars
,
·
October 2023
,
·
Stayed with a pet",Really convenient location and super cute cabin
John,"Rating, 5 stars
,
·
October 2023
,
·
Stayed about a week","The most relaxing vacation I've had in a long time. In many ways better than more ""major"" trips, like cruises, visits to big cities, etc. Taylor was a gracious host. She was quick to respond when I had a question, and very respectful of our privacy.
We were able to visit Fredericksburg, take some hikes, found a few fossils, and had a perfect view of the annular eclipse.
This region of Texas has its own allure. My first time visiting the Hill Country. Found it charming.
The closest thing to a negative has nothing to do with Taylor or the venue. I drive a Tesla, and the nearest Superchargers are in Junction, Johnson City, or Leon Springs, all 40-50 miles away. As with any long trip in a Tesla, (I drove 1200 miles from home) plan accordingly. It's just Texas is so big that what looks like a short distance on a map can turn out to be further than expected. Kerrville is big enough and busy enough to have a Supercharger location."
Charles,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights",Really nice cabin. Everything provided but food and drink. Centrally located for our purpose. Close to town but nice and private. Would book again. Highly recommend.
Melissa,"Rating, 5 stars
,
·
September 2023
,
·
Stayed with a pet","We really loved our weekend here. The cabin was perfect for our family of 3 and really easy to bring our dog as well. Within 10 min driving distance to anything you need in Kerrville. Very peaceful and loved the small touches Taylor had like travel sized toiletries, snacks in the kitchen and bottled water for guest use. We would definitely stay here again!"
John,"Rating, 5 stars
,
·
September 2023
,
·
Stayed one night","Beautiful accommodation. Tastefully decorated, felt right at home. Very clean and comfortable. Easy to find. Very well stocked kitchen. Large collection of DVDs and CDs. The electrical outlet extenders are very helpful!
The faux wood burning stove is actually surprisingly cozy!
Private. Hosts were helpful, responsive, professional.
Toilet leaked on the floor. Host tried really hard to fix it before we checked in, delaying our check in. But it leaked again during our stay. Once they fix the toilet this would be a perfect getaway place for a week or a month."
Alfred,"Rating, 4 stars
,
·
September 2023
,
·
Stayed a few nights","The house was just as pictured and had everything that was needed except for local channels to view the news or weather. The ottoman could use some work it is pretty well broken down. Instructions should be some where as to how to leave the house. Like place towels and wash cloths, bedding in the washer or how they would like for someone to leave the house. I did my very best to leave the house as I found it."
Robin,"Rating, 5 stars
,
·
September 2023
,
·
Stayed with a pet","Great value, beautiful cabin, peaceful surroundings."
Sharon,"Rating, 5 stars
,
·
August 2023
,
·
Stayed a few nights",Very pleasant! Clean and tidy!
Anita,"Rating, 5 stars
,
·
August 2023
,
·
Stayed one night",Cozy little cabin for 4. Taylor made the whole experience simple and stressless and we really appreciated the little extras provided!
Alice,"Rating, 5 stars
,
·
August 2023
,
·
Stayed a few nights",Loved the place. Enjoyed some rest and relaxation without noise and busy streets. Only minutes from town. Very comfortable and homey.
Jewel,"Rating, 5 stars
,
·
August 2023
,
·
Stayed one night",Great place! Spotless!
Michael,"Rating, 5 stars
,
·
July 2023
,
·
Stayed one night","Great location, very private secluded setting that is several miles from town. Spotless! We will be back!"
Kayla,"Rating, 5 stars
,
·
July 2023
,
·
Stayed with kids",It was perfect!
Bobby,"Rating, 5 stars
,
·
July 2023
,
·
Stayed with a pet","We just had a quick overnight stay, but loved this location. Very peaceful, outside of town but just a few minutes to get to restaurants and such. Taylor was very responsive and checked in on us through message once we got settled in. Would recommend."
Michelle,"Rating, 5 stars
,
·
July 2023
,
·
Stayed with a pet","Taylor always responded in a timely manner to my questions. The place looked just like the pictures and all the little extras made it so special. The place was stocked with paper towels, toilet paper, garbage bags, laundry stuff, shampoo, conditioner, body lotion, pots, pans, coffee K cups spices and so much more."
Diane,"Rating, 5 stars
,
·
June 2023
,
·
Stayed a few nights","A wonderful experience. The cabin was lovely, spacious, quiet. We felt right at home, as did our two pups. Taylor even brought dog treats for the pups. We enjoyed playing cards with friends at the kitchen table during the afternoons and watching movies from the large selection available in the evening. We weren't familiar with the TV programming provided, but Taylor responded immediately to demonstrate. We look forward to staying at the cabin when we next visit Hill County."
Brian,"Rating, 5 stars
,
·
June 2023
,
·
Stayed a few nights",Taylor & Matthew are great hosts - had a power outage during the stay and they were extremely responsive to make sure service came back. Would definitely recommend!
Leanna,"Rating, 4 stars
,
·
June 2023
,
·
Stayed with a pet","We enjoyed Taylor’s beautiful home, despite not spending much time there. I especially like the spacious kitchen and backyard. I spotted a deer while driving into the property and in the early morning when I walked my dog. That was a treat for me!"
Brady,"Rating, 5 stars
,
·
June 2023
,
·
Stayed one night",Taylor and the cabin were the best! After a long day of work we felt right at home and enjoyed the clean cabin!
Katherine,"Rating, 5 stars
,
·
June 2023
,
·
Stayed with kids",Taylor was an awesome host! She went above and beyond to make us feel welcome. The little amenities in the house were great and tastefully decorated. Log-cabin style house with a warm and clean feeling. Open floor plan for the living/dining/kitchen was great for our family to be together.
