name,rating_info,review_text
Kaliyah,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed a few nights",Great stay good communication
Joshua,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed one night",Very relaxing quick stop I had….. made feel really comfortable right away
Lucky,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed a few nights",E.J. was super easy to work with and all the amenities were just as promised. The place was super clean and there was a level of comfortability despite being a shared space! I really enjoyed how it was in a quiet neighborhood.
Bre,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed with kids","Loved the room, very clean & quiet. Family was helpful & made us feel comfortable definitely would recommend!"
Tyler,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed a few nights",I would definitely stay here again
Courtney,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed a few nights","Beautiful space, makes you feel right at home"
Andre,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed one night","When in Vegas, this is the place to be! Conveniently located, not far from all the action but far enough to relax and recharge. Definitely would reccomend and use again😃😃"
Ashley,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed a few nights","Rogel’s place matched the description perfectly. We stayed for the weekend and while we didn’t spend a lit of time inside, it was the perfect home base for our trip."
Zanaya,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night","the place was really comfortable. I felt like was was getting spoiled for staying there.
10/10"
Johana,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night",Excellent place close enough to the strip
Bianca,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Great place
Jesús Salvador,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","Easily accessible, that's fine"
Madan,"Rating, 4 stars
,
·
April 2024
,
·
Stayed a few nights",We stayed in Vegas for a week and Roger’s place was in perfect location for us. Calm neighborhood and 10mins away from the strip with good restaurants near by. The place was super clean and perfect for 2 people. The bed was too soft and springy for my liking but overall the place was great
Luz,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with kids",Loved this little home! Check in was quick & easy. When we first arrived we were greeted with a spotless clean home & lovely smell. The bed was huge & very comfortable. We really appreciated the washer & dryer it was a huge bonus.
Ricardo,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","great place to stay, it has everything we need for our stay. it is not far from strip and we were able to get easilyto the pick up point for the tours we did and the airport."
Yvonne,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","Easy to find and very clean.
The checkout time is the checkout time no exceptions.
Responded very quickly to my messages and overall was a great weekend stay.
Will come back and use again if needed in the future :)"
Gary,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","Excellent stay, excellent host!"
Paul,"Rating, 4 stars
,
·
March 2024
,
·
Stayed a few nights","Very nice private space built into the side of a small home on a dirt lot in a residential neighborhood right off a Main Street.
The internet shut off on me twice during the stay briefly and ran quite slow. There weren’t any bowls or laundry detergent/dryer sheets for the washer/dryer but the machines worked well.
He was very strict about the checkout time. Asked for a late checkout and was told it would be $50 per hour.
Nice layout, clean place. In the town of Westminster on the east side."
Kate,"Rating, 4 stars
,
·
March 2024
,
·
Stayed a few nights",Looks like the pictures
Elizabeth,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","Rogel’s place was perfect for a quick trip to Vegas. It had everything needed for us and in a great location, easy 10 min drive to get to the strip. Thank you Rigel for the hospitality!"
Michael,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights",Super clean and exactly as described. The guest house is very nice and well done and private. It’s a great place to stay
Yahaira,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights","Lovely space, just like in the pictures. Everything was in great condition and very clean. Worth it."
Patrick,"Rating, 5 stars
,
·
February 2024
,
·
Stayed one night",Thanks
Hector,"Rating, 5 stars
,
·
February 2024
,
·
Stayed one night",Very conveniently located and a great option for a short stay in Las Vegas.
