name,rating_info,review_text
Diane,"Rating, 5 stars
,
·
Today
,
·
Stayed a few nights","Under 10 minutes to Bucknell. Located in farmland, easy to find but realize if you go out at night, travel is on dark country roads. No problem for us. Very safe and quiet."
Sarah,"Rating, 5 stars
,
·
2 days ago
,
·
Stayed one night",Zack's place was peaceful and idyllic. Clean and comfortable.
Gavin,"Rating, 4 stars
,
·
4 days ago
,
·
Stayed one night",Very affordable and easy access
Selina,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed one night","We had a wonderful night, everything was clean and comfortable. Nice area, peaceful and quiet."
Jayna,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed one night",The place was BEAUTIFUL! I love it! Thank you Zack! I will be back.
Rocío,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed one night","This Airbnb was not only conveniently located near Lewisburg but also offered great value for the price. The accommodation was exactly as described, spotlessly clean, and the host was very communicative. I had a fantastic stay and would highly recommend it to others looking for both quality and affordability."
Nathan,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed one night",Great
Suzanne,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed one night",Zack was very easy to communicate with and his place was exactly as described. We just need a place to stay for a quick overnight and this was perfect. He also gave us great suggestions for dinner options. We would definitely consider staying here again if passing through again. Thank you.
Xintong,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed one night",Lewisburg is a posh town so hard to find a clean and comfortable place for less than $100. Zack’s place is just perfect. A nice bed and shower is all you need. The location is beautiful and peaceful too! There was a kitty roaming around who is really sweet and friendly 😊
Chris,"Rating, 4 stars
,
·
3 weeks ago
,
·
Stayed one night",Very clean and bed was comfortable. Perfect stay for a one or two nighter!
Cole,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed one night",Perfect place for a nights stay on a road trip!
Kristi,"Rating, 5 stars
,
·
4 weeks ago
,
·
Stayed one night",Absolutely Beautiful location and accommodations!!
Steve,"Rating, 5 stars
,
·
May 2024
,
·
Stayed one night","If I ever wanted to host with airbnb, I'd reach out to Zack to get pointers..just an end-to-end outstanding experience staying at his place."
Jenny,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night","Great little place to stay for a night while passing through! Clean, quiet, and cozy! Would highly recommend!"
Kimberly,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night",Our stay at Zack's private room and bathroom was great! It was the perfect accommodation for our one-night stay in Lewisburg. We truly appreciated the space being so incredibly clean and neat. Check-in was a breeze as Zack provided very clear instructions. Thank you so much for hosting us!
Eugene,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night",Everything is great
Jill,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night",We stayed at Zack’s place while visiting friends close by. It was very clean and had all that we needed for an overnight stay. Definitely will book again when we return to Lewisburg.
David,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night",Great place near Bucknell! will certainly look to book again for any other overnight trips to visit the university.
Jesse,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Simple clean and great for a night's stay
Joshua,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night","Zack's place was easy to find, clean and comfortable. It was a great place to stay for the night. Zack was quick to respond to my questions and recommended breakfast places. I would definitely consider staying there again."
Michael,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night",Highly recommended. Comfortable bed and hot shower. Out in the country but not far from Lewisburg.
Kara,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night","Very comfortable room. Perfect for what I needed, a quick stop over on my way through town. Easy to find, easy parking, and very clean, comfortable room."
Tom,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night","Great little room with awesome bed for a close stay to Lewisburg. Simple, clean, easy to enter. Zack is super responsive. Can't wait to return!"
Anthony,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night",Lovely quarters that served our needs for a quick one night stay very well. Thanks!
Lynne,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Zack was very helpful with questions I had and very kind and patient. He is a great host.
Avery,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night",Totally matched my needs and expectations!
Mike,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night",Great stay in beautiful surroundings.
Reita,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Beautiful room in a lovely home in a rural setting!
Kerby,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Feel at home beautiful please only thing needed is a tv but I enjoy staying there
Mariel,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Zack's apartment was small yet very nice and quiet. Had a great stay.
Lakizzy,"Rating, 5 stars
,
·
February 2024
,
·
Stayed about a week",Great and quiet location. Peaceful and beautiful home. I decided to extend my stay for another week. My favorite part of my stay is the cleanliness and the quietness. Of course the immediate response is also a plus. I Highly recommend this air bnb
Kate,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights","Very comfortable accommodations! The space was very clean, it was easy to find, and the host was very responsive and kind. Look forward to coming back!"
Deborah,"Rating, 5 stars
,
·
February 2024
,
·
Stayed one night","We were totally satisfied. It was exactly what we needed for our one night stay. It was in a beautiful peaceful location, it was very clean and we loved soft sheets, we will certainly stay there again next time we return to that area."
Maxwell,"Rating, 5 stars
,
·
January 2024
,
·
Stayed one night",Clear entry way leading to private room with a comfy big bed and a hot shower with fresh towels. Was everything I needed on my trip around PA. Thank you!
Matthew,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed a few nights","Great space to stay for our daughter’s graduation from Bucknell University. Walkable to downtown shopping and dining, as well as very close to campus and downtown. Would definitely recommend for parents needing a home base for the weekend. Thank you for sharing your space with our family."
Jami,"Rating, 5 stars
,
·
4 weeks ago
,
·
Stayed a few nights",We enjoyed our stay. We enjoyed walking to a couple restaurants (Grams and Brendan’s Town Tavern) and a distillery (Hungry Run). Place is an adorable cottage.
Matthew,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Thank you again for sharing your cottage with us. Always a great place to stay while visiting Bucknell. Great space close to everything.
Bonnie,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","This cottage is tucked away on a residential street in downtown Lewisburg, but less than 2 blocks from Market Street, which is the hub of activity for restaurants, pubs, shops, movie theatre, and the newly renovated Hufnagel Park. Lovely little cottage has everything you need to relax and/or work, and is a 10 minute (or less) walk to Bucknell University's campus. Plus, the host lives right next door, close if you need her but non-intrusive if you don't."
Bethany,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","This place was wonderful! What a comfortable, clean and accommodating cottage in downtown Lewisburg, close to everything. The hosts were communicative, and check-in/out was simple. The cottage has character and the bed was very comfortable. I hope to be back!"
Elena,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with a pet","Bina's cottage is located in the heart of everything, the location is great! Bina was kind and was quick to respond. It is a cute small cottage and it has all you need!"
Roe Family,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with a pet",Wonderful cottage. We are excited to return.
Thomas,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Second stay here. Had a great stay! Highly recommend to anyone visiting the area!
Liz,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",The cottage was cozy and perfect for my stay in Lewisburg. I felt at home and it was very comfortable.
Tracey,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","Great stay, perfect location!"
Melissa,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",The cottage was perfect for our weekend visit. Instructions were thorough. Check in was easy. Everything was delightfully clean. The bed and linens were very soft and comfy. Well equipped little cottage in a perfect location for visiting Lewisburg.
Bruce,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","This was a fabulous little cottage. I was in Lewisburg to do some work for the week at Bucknell University. The location was perfect - just a short walk to the lab, or to the shops, restaurants, and bars of downtown. Bina got me off on the right track with an informative orientation, some tips on Lewisburg's parking-ordinance quirks, and the practicalities (switches, thermostat, etc.) of the cottage. If I need to make another visit to BU, this cottage will be first choice for home-base."
Andy,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights",This is a great little place in a great location a block away from downtown Lewisburg. It’s perfect for two of us and our dog. Bina is very responsive and flexible with check in and check out. The cottage is well cared for and clean.
Margot,"Rating, 5 stars
,
·
February 2024
,
·
Stayed with a pet",Perfect place to stay for a visit with my student. Great location. Bina is a terrific host. Will return!
Robert,"Rating, 5 stars
,
·
February 2024
,
·
Stayed with a pet",Nice place within walking distance to shops on Market street.
Christine,"Rating, 5 stars
,
·
February 2024
,
·
Stayed with a pet",Wonderful location. Immaculate guest house. Perfect host.
Tasnia,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights",Cozy little place in an amazing location! Bina was so accommodating and answered promptly
Caroline,"Rating, 5 stars
,
·
January 2024
,
·
Stayed with a pet","Great place for an overnight stay in Lewisburg! Comfortable, easy to access, 5 minute walk to the restaurants near by. Very cozy bed too :) Would stay again!"
Heather,"Rating, 5 stars
,
·
December 2023
,
·
Stayed one night","Nina’s place was absolutely perfect and squeaky clean! Close to the main shopping strip and the University. Easy to get to. Bina is the perfect host: anticipatory, warm, full of recommendations…the stay was perfect!"
Janice,"Rating, 5 stars
,
·
December 2023
,
·
Stayed with a pet","I enjoyed my stay in Bina's cottage. It was clean, cheerful and centrally located. It is close to shops and restaurants and within walking distance to Bucknell University. Bina was a wonderful host."
David,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights","This was our second stay at the cottage. Great host as always. This place is a fantastic alternative to staying at a hotel when you are visiting the Lewisburg area or Bucknell University. Great breakfast spot within walking distance. If you’re looking for privacy and a quiet stay, this is the place for you!"
Mary Jo,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights",Our stay was wonderful. Comfortable and perfect place to walk to everything we wanted to see and do. Will hope to stay here every time we are back to visit our Lewisburg family!
Matthew,"Rating, 5 stars
,
·
November 2023
,
·
Stayed with kids","I was visiting the area to tour Bucknell. Instead of staying in a hotel somewhere near a strip mall outside of town, I decided to book Bina’s cottage. Her cottage is a perfect example of why I often book with Airbnb. It was nestled in the center of Lewisburg, a charming little town. I got a sense of the town by saying right in a downtown neighborhood. The cottage itself was cute, comfortable, and very clean. Bina is also a very friendly, responsive host. We didn’t actually meet but through email I knew she was right there should I need anything. I didn’t need anything - it was a smooth, perfect Airbnb stay."
Laurie,"Rating, 5 stars
,
·
November 2023
,
·
Stayed with a pet","Amazing place in downtown Lewisburg walkable to Bucknell University and the surrounding area. Only a block from market Street. Big bonus was that it was dog friendly, which allowed us to bring our dog for the weekend and not worry about having someone to take care of her at home. Bina was a friendly and very responsive host and answered all emails in a prompt manner. The cottage was very cozy, and the bed is really comfortable."
Andy,"Rating, 5 stars
,
·
November 2023
,
·
Stayed with a pet",This was a perfect location - only a block to downtown lewisburg. Bina was easy to communicate with and accommodated a late check out. The place was very clean and we were grateful that we found a place that allowed our dog. Quiet/private neighborhood.
Tobias,"Rating, 5 stars
,
·
October 2023
,
·
Stayed with kids",We had a great stay.
Christina,"Rating, 4 stars
,
·
September 2023
,
·
Stayed a few nights",Great location. Responsive owner
Bettina,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights",Great place to stay
Kerry,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights","Cute little cottage in such a convenient location! Walkable to stores, restaurants and the campus. Had an issue (that was completely user error on my part) and they resolved the issue immediately.
Would definitely recommend and would stay again."
John,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights","Bina was an excellent host. Communicative, friendly, and eager to make our trip and stay the best it could be. The description and pictures were completely accurate. No surprises. Great location downtown to walk to everything. Great stay."
Charles,"Rating, 4 stars
,
·
August 2023
,
·
Stayed a few nights","Very nice private accommodation.. The host stocked it with amenities including gourmet coffee. Bed was very comfortable with nice bedding. Air conditioner made a terrible racket keeping us awake.
You will not be disappointed."
Linda,"Rating, 5 stars
,
·
August 2023
,
·
Stayed a few nights",Nice location
Karen,"Rating, 5 stars
,
·
August 2023
,
·
Stayed with kids","This please is really sweet. The house is cozy yet spacious for 2-3 people (in our case me and my husband and our 3 yo). Great amenities like quality toiletries and a stocked kitchen. Easy parking and very walkable to downtown. The hosts were very kind and lovely, letting my son trade scooters with their son a couple times."
Silvana,"Rating, 5 stars
,
·
August 2023
,
·
Stayed a few nights","Bina’ place is like described:
Very clean, cozy, great location, comfy mattress and parking was always available.
We enjoyed it."
Alexis,"Rating, 5 stars
,
·
July 2023
,
·
Stayed a few nights",Was very quant and peaceful. We had an event to go to that was in walking distance from the air bnb which was amazing. The host was very responsive and polite. Made it very easy to communicate with. Would definitely recommend to others
Kristin,"Rating, 5 stars
,
·
July 2023
,
·
Stayed one night","Great location in downtown Lewisburg with access to restaurants, and walking distance to Bucknell which is why we came to town. Clean, private, and easy check-in. We had no issue with finding street parking. Bina was responsive and helpful. Liked being able to use backyard to sit and read."
