name,rating_info,review_text
Jennifer,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed with kids",Andrew was incredibly responsive and very helpful! He was very flexible when our plans changed due to the weather and was very accommodating to us! Great host!!
William,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed with a pet","Convenient location, very clean and comfortable. Felt right at home in this listing, would definitely recommend for anyone staying in the area"
Jason,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Great place to stay while working in town.
Tori,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","I echo the reviews that speak to Andrew being a great host. Friendly, welcoming, responsive. He actually went shopping the day of our arrival to make sure we had an item I asked about. What service! And we were met with a vase of lovely purple bearded irises-such a great welcome treat.
Andrew has made great use of the space. We were two couples and enjoyed the layout as one bedroom feels almost like a detached residence, providing a good bit if privacy.
The kitchen, as stated already in multiple reviews, was very well stocked. I always cook, so this is important to me. There are lots of pots and pans, dishes, cups, etc. I appreciate things like the drip coffee pot with coffee filters available. Coffee, tea and condiments for both are provided. Great bathroom towels.
We used this home as a base for our trip which included a couple of distilleries, a winery and the brewery that is within walking distance from the house. The downtown area with restaurants is very close."
David,"Rating, 5 stars
,
·
April 2024
,
·
Stayed over a week",Booked for work event. Great for what we needed
Ashley,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with a pet","This home is cozy and quiet, perfect for our short stay."
Ashley,"Rating, 5 stars
,
·
December 2023
,
·
Stayed with a pet",Andrew was a lovely host and very accommodating for my family arriving a day earlier then planned. They thoroughly enjoyed their stay and enjoyed being close to my husband and I during the holidays.
Pam,"Rating, 4 stars
,
·
December 2023
,
·
Stayed with a pet",Very convenient to our family that we were visiting and all that Madisonville has to offer.
Stephanie,"Rating, 5 stars
,
·
November 2023
,
·
Stayed with kids",Home was just as listed. Plenty of towels kitchen was stocked even had complimentary coffee and tea. Andrew went above and beyond and even let me know walking distance to town that things my older kids would like to adventure around. Thank you. Will book when we visit family again
Nathan,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights",Wonderful home in a great little town.
Natalie,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights",Hoping to make this place my home away from home whenever I visit.
Phillip,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights",Second time we’ve stayed at this location it’s perfect and Andrew is great to work with !
Greg,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights","This house was perfect for my hunting trip
Very convienient for all my needs
I will stay tere everytime when i go up to hunt"
Greg,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights","The house was perfect for my short hunting trip
Will stay there any time i can
Very comfortable"
Barbara,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights","Our stay in Andrew's house was perfect! He's very responsive and helpful, and the house is clean, cozy, and more than comfortable! We highly recommend staying here!"
