name,rating_info,review_text
Cheryl,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed with kids",Wonderful host. Absolutely charming home. Would not hesitate to recommend this home to anyone.
Connie,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed a few nights",we absolutely enjoyed our stay ...if Host will again allow us to be thier guest in thier home ...we would definitely come back ...we had open communication with our host & we were extremely satisfied with our accommodations
Nhung,"Rating, 5 stars
,
·
May 2024
,
·
Stayed over a week",Great place. Host was responsive & nice.
David,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",.
April,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with kids",We enjoyed our stay very much! Super comfortable and had everything we needed!
Janet,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","We LOVED the house and yard it made us feel at home.
The rocking chairs was an added bonus. We will use again
Thank You
Janet and family"
Blane,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",great
Karen,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",communication and care was given from the host.
Navarre,"Rating, 5 stars
,
·
March 2024
,
·
Stayed over a week",Nice little place.
Susan,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights","Beverlee was a wonderful host, as always! Amazing accommodations and super responsive and helpful when you message her or have a question!"
Rebecca,"Rating, 5 stars
,
·
December 2023
,
·
Stayed with kids",We had a lovely time visiting family & enjoyed the home it was absolutely more than we thought it was.
Shauna,"Rating, 5 stars
,
·
December 2023
,
·
Stayed with kids",Beautiful home and I would love to stay again!!
Shelia,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights",Definitely a home away from home.
Candace,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights","I enjoyed the stay, it is very comfortable."
Buck,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights",We enjoyed everything!
Tiffany,"Rating, 4 stars
,
·
October 2023
,
·
Stayed with kids","It was everything my boyfriend wanted and more during his escape from the hustle and bustle of hauling concrete in DFW. My son had NO ANXIETY which was a blessing he is a 3yr old with ASD. The pictures, the decor, it feels like a home that was steeped in love throughout the years, truly. We wished we could have spent more time enjoying the home than visiting family. Amazing hosts! Amazing job! We are still in awe at how it checked every box on the list of things we wanted and needed for our short getaway. Thank you Beverlee and Keith your home was truly a home to us."
Ronda,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights",So pleased to find somewhere to call “home” when I visit m hometown. Love the front porch & rocking chairs!
Lavell,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights","I and My parents really enjoyed our stay. The accommodations were far more than what we expected for a small rural community such as Haynesville. This cottage would standout in any setting! The amenities were just what we needed for such a family trip as this ... spacious, quiet, full kitchen and multiple bathrooms. I would rate Beverlee's listing a 4.7/5, will definitely recommend and look forward to returning for another stay."
Kelly,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights",The photos posted do not do it justice. It was absolutely beautiful!! We had everything we needed plus more. Quiet little neighborhood. Very cozy and the decor was amazing. First class! Would love to stay again!!!
Heather,"Rating, 5 stars
,
·
August 2023
,
·
Stayed a few nights","From the moment I opened the side door off the car port of Killgore Cottage I was in awe. Attention to decore, ambience and cleanliness were immediately apparent. On a stifling Louisiana day the house was enticingly cool with AC and ceiling fans running. As I moved through the house lamps provided a dimly lit path revealing a collection of vintage treasures and the overhead light switches. It was apparent I was both expected and being invited in.
As a lone traveller I felt safe in Killgore cottage and in the residential neighborhood I temporarily joined.
I found it ideally situated for my purpose and during the hottest part of the August days a welcoming retreat.
From condiments to soaps and cleaning supplies so many extras were provided.
I left Haynesville contentedly knowing I have a cozy Louisiana home to return to on my next visit.
Beverlee and Keith are amazing hosts; they’re friendly and welcoming, very responsive to communication and considerate of guest privacy."
Karen,"Rating, 5 stars
,
·
August 2023
,
·
Stayed a few nights",The home was cozy and we felt right at home. There were items available for us to use. I would stay there again.
Marguerite,"Rating, 5 stars
,
·
July 2023
,
·
Stayed a few nights",It was very relaxing and it felt like home.
Michelle,"Rating, 5 stars
,
·
July 2023
,
·
Stayed with kids",I’ve stayed here twice and would definitely recommend to anyone who is visiting Haynesville.
LeShun,"Rating, 5 stars
,
·
July 2023
,
·
Stayed a few nights",It was a comfortable stay
Michelle,"Rating, 5 stars
,
·
June 2023
,
·
Stayed with kids",We really enjoyed our stay! We will definitely stay here again!
Jessica,"Rating, 4 stars
,
·
June 2023
,
·
Stayed a few nights","It was a nice stay, but the communication was not the best. I asked for extension, but no response. Other than that it was alright."
Charles,"Rating, 5 stars
,
·
June 2023
,
·
Stayed with kids",Beautiful home in quiet neighborhood.
Linda,"Rating, 5 stars
,
·
June 2023
,
·
Stayed a few nights",Wonderful place to spend time with family. Bev and Keith always are welcoming.
David,"Rating, 5 stars
,
·
May 2023
,
·
Stayed a few nights",Beautiful house. Just what we needed.
Randy,"Rating, 5 stars
,
·
May 2023
,
·
Stayed a few nights",fantastic
Patricia,"Rating, 5 stars
,
·
April 2023
,
·
Stayed a few nights","Absolutely beautiful home. The character of the home was so inviting. It truly felt like home. Everything you needed was available and more. We continuously said how much we love this cottage. She was helpful and when I have to return, it will be my go to home away from home."
Kerry,"Rating, 5 stars
,
·
April 2023
,
·
Stayed a few nights",We enjoyed our stay here! Everything was as described. Very clean and comfortable!! They definitely made you feel at home! Thank you Beverlee for providing such a nice place for travelers! :)
Susan,"Rating, 5 stars
,
·
April 2023
,
·
Stayed a few nights","As always, we had a wonderful stay at Kilgore Cottage. Beverlee is a fantastic host, the house is clean and spacious, with many amenities, exactly as described. We will be back!"
Victoria,"Rating, 5 stars
,
·
March 2023
,
·
Stayed with kids",Cozy house with plenty of space for our kids ! We enjoyed staying for a quick weekend trip !
Kirsten,"Rating, 5 stars
,
·
March 2023
,
·
Stayed a few nights",nice & clean place to stay
Femi,"Rating, 5 stars
,
·
March 2023
,
·
Stayed a few nights",Home away from Home. Best Host ever
Susan,"Rating, 5 stars
,
·
February 2023
,
·
Stayed a few nights","We had stayed here before, and same as last time – it was a lovely place to stay. Lovely home with plenty of room, very clean, lots of amenities, friendly host and easy check in. We will be back!"
Waymon,"Rating, 5 stars
,
·
February 2023
,
·
Group trip",Was very very satisfied and was more than i expected!!
Lydia,"Rating, 5 stars
,
·
February 2023
,
·
Stayed a few nights",We felt right a home! The house had everything we needed and more!
Susan,"Rating, 5 stars
,
·
February 2023
,
·
Stayed a few nights","Killgore Cottage was a really great place to stay in Haynesville, LA. It's a beautiful, spacious home with all of the amenities you could possibly ask for. Very easy check-in process. Will definitely stay there again the next time I'm in the area."
Sarah,"Rating, 5 stars
,
·
January 2023
,
·
Stayed a few nights","I cant say more! It was a pleasure to come back to the cottage every day! This place was the second best part of a miserable trip and weather! (Seeing my son was first best!). I’m from Ecuador, and had sticker shock daily on this trip! But the cottage felt worth the money during a trip that I may not be able to make again! I’m 76 yrs old, and the trip from Ecuador was really hard. But Beverly and the good people of Haynesville gave me peace and comfort❤️ thank you! Thanks to Jimmy Dale Williams too 🥰
Sarah Raber (Ricks Mom). My GoodSon"
Teri,"Rating, 5 stars
,
·
January 2023
,
·
Stayed with kids",A true home away from home. The hunters in the family were able to go out the door before daylight without waking the rest of the family.
