name,rating_info,review_text
Lynette,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed a few nights","Great stay! This was my second stay at the Factory. The room was nice and clean. The Boho theme is great! Please check the plants when you get to the room. They were a bit dry so I made sure to give them water. The best part of the room is how sunny it is! If you like lots of natural light this is a great room.
It’s not far from the airport and there is a lot to do around Manchester. I visit for work, but I like the convenience of shopping."
Kylie,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed a few nights",This was such an amazing find. My boyfriend and I stayed the weekend and it was such a welcoming atmosphere here. I would definitely return again!!
Chelsea,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed a few nights","One of the best Airbnbs I've stayed in! The hosts were very responsive and helpful. The room looked exactly like the pictures, and the natural light was amazing."
Alyssa,"Rating, 5 stars
,
·
May 2024
,
·
Stayed a few nights","this has been my favorite place thus far. I wish I could live there!! the artsy vibe is right up my alley and everything was A++++ and when I went to leave at 6:30 am and then realizing I had left my cell phone in the apt with the keys inside and a security door I managed to text Mariana (the host) from another device and thankfully she responded immediately and guided me through getting back in and up to the room to retrieve my phone. she was excellent and just all around amazing and friendly esp for that early in the am. I would have understood if she hadnt gotten right back to me but I was thrilled that she did. make my stressful mistake a breeze to get through so I could get on with my day. she's the perfect host. thank you Mariana, for everything I absolutely will be back as soon as possible. the bedding/ mattress/ pillows were an absolute dream to sleep on."
Andrea,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","Fantastic stay—had everything I needed, was very clean and safe!"
Michael,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",love the place
Matthew,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",This is my 5th stay at a loft space hosted by Mariana and they have all been wonderful. She and her cohosts provide the perfect Airbnb experience. A thousand stars.
Natali,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",This was the perfect Airbnb for us. I loved the local vibes there.
Abdul Wahed,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Great place to stay. Clean nice and cozy. Only did not like the pillows.
Josh,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Mariana’s BoHo Retreat was everything that was listed and more. Beautiful large windows tons of sunlight. The art from the local artists throughout the property was very beautiful. Would recommend staying here whenever in town.
