name,rating_info,review_text
Melissa,"Rating, 5 stars
,
·
May 2024
,
·
Stayed with a pet","This is our second year staying at this beautiful home with friends and we plan on continuing the tradition. Home is beautiful, peaceful, spacious, close to town, and has all the little things you always forget to bring. Thank you as always for letting us enjoy your home."
Richard,"Rating, 5 stars
,
·
April 2024
,
·
Group trip","My brothers and I and our spouses have been meeting at a short-term rental property each spring for over 25 years. The Kleier Haus was the best accommodations we have ever had: a beautifully furnished home; four full bedrooms, no pull out beds; ample seating areas for all eight of us; a well equipped kitchen; fully stocked supplies; and spacious grounds."
Karen,"Rating, 5 stars
,
·
April 2024
,
·
Group trip","Page was exceptional and extremely friendly.
We had a small issue and she responded right away. We loved the personal attention and all the information that she shared. We would definitely recommend the Kleier house if you're in the area."
Tammy,"Rating, 5 stars
,
·
March 2024
,
·
Group trip","Beautiful home and grounds, peaceful/private location. Host was very responsive. Home was very clean, fully stocked with all of the basics (pans, plates, utensils, etc.) and extras we needed (plenty of paper towels, toilet paper, spices, coffee filters, etc.). Close to Maysville and Augusta where we visited Augusta and Pogue Distilleries. Enjoyed our dinners at Caproni's on the River and the Beehive Augusta Tavern. We thoroughly enjoyed the area and our stay the Kleier Haus. Would stay there again if we return to the area."
Ashley,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Page was amazing as was the house! We will definitely be making this a yearly place for family. Everyone loved the house.
Christine,"Rating, 5 stars
,
·
March 2024
,
·
Stayed over a week",The crew really enjoyed the stay and had plenty of bathrooms! The location was nice and close to our jobsite. We will be back for sure.
Kristine,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights",Page was super responsive and the house is absolutely beautiful! Will definitely stay again!
Kathryn,"Rating, 4 stars
,
·
February 2024
,
·
Stayed a few nights","This is an old farm house and property with antique decor. There are some upgrades/modern things (bidet toilet, kitchen remodeled), but overall the age is upheld. The grounds are beautiful-I'd love to be the gardener. There are some items that need cleaned or wasted (full basket of used bars of soap in closet, 5 partial packages of baby wipe in bathroom, partially used condiments in fridge) these things make the space feel dirty. Love the rooms decor overall and it reminds me of older days-just waited for housemaid or cook to serve me! The rugs are gorgeous. Bed was comfortable. Thanks for opportunity to stay here."
Andrea,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights",This is such a beautiful house. The atmosphere is one of staying at a beloved family members' house. Lots of extras in case you forgot something at home but also a WalMart and restaurants just a couple of minutes down the road. Everything in this house has been well kept. We will definitely be staying here again
Michelle,"Rating, 5 stars
,
·
January 2024
,
·
Stayed with a pet","We used the location as a midway point for a family holiday. The pictures don't do the home justice. It's beautiful. It is fully stocked with anything you could need. With the Christmas decorations, it made the holiday perfect. We traveled to town knowing a lot wouldn't be open. We found a couple of awesome shops and had dinner at a restaurant on the river. Thank you for a great stay!"
Blake,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights",I can’t say enough about Page’s hospitality and her beautiful family house. Everything was immaculate and very welcoming. The house was spacious and lacked for nothing. I would wholeheartedly recommend staying here! I will definitely be back in the near future!
Kimberly,"Rating, 5 stars
,
·
November 2023
,
·
Stayed with a pet",Everything was perfect. Communication with Page was great from beginning to end. The house was spotless and had everything you could possibly need. We will definitely stay there again.
Thomas,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights",Great place to stay - will use again!
Jonathan,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights",Great place to stay.
