name,rating_info,review_text
Tim,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed with a pet","Great location, modern, yet warm and welcoming decor, perfect space for a weekend getaway. Pet friendly was a key feature. Clean and comfortable accommodations, easy in and out, and close to all Midland has to offer."
Bill,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed over a week","Lori could not have been any more helpful and the apartment itself was very nice with everything you could imagine that you would need. The problem was the tenant upstairs was very noisy, including obscene loud arguments at 2 o’clock in the morning."
Terry,"Rating, 5 stars
,
·
February 2024
,
·
Stayed with a pet","exactly as advertised, no surprises, great value great place to stay"
Terry,"Rating, 5 stars
,
·
January 2024
,
·
Stayed with a pet","great host, nice place."
Paula,"Rating, 5 stars
,
·
December 2023
,
·
Stayed with a pet","The host was very responsive and helpful throughout the process. The home is very cute, clean, and comfortable. It is close enough to downtown Midland to walk. There is parking in the driveway. The thermostat is adjustable so you can control it to meet your personal preferences. Dogs allowed and I have a large, well-behaved dog, so that worked well for us. There is an apartment above so if someone is there, you will hear them. Didn't bother me at all but if you are super sensitive to exterior noise, you should know that. I would recommend and would certainly stay again in the future."
Shawn,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights",very nice place
Reanna,"Rating, 4 stars
,
·
October 2023
,
·
Stayed with a pet",cute place in the cutest town. The dog park was amazing and all the toiletries Lori provided were really nice and useful.
Margaret,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights","Quiet residential neighborhood, close to Downtown Midland and beautiful Dow Gardens. I was able to easily walk to both places"
Shawn,"Rating, 5 stars
,
·
October 2023
,
·
Stayed with kids",very clean and cozy home
Jessica,"Rating, 4 stars
,
·
September 2023
,
·
Stayed with a pet",We stayed here for 3 nights for a funeral. It was the perfect location for where we had to go.
Michelle,"Rating, 3 stars
,
·
September 2023
,
·
Stayed with kids","Lori’s place is small and simple. It’s a walking distance from downtown Midland, Dow Gardens, and more. The place is very very clean, the kitchen is well equipped, Lori leaves everything extra, in oppose to most airbnbs. We had an extra set of sheets, plenty of towels, soap, toilet paper rolls , and paper towels. The only one little issue we had was the soft mattress in the queen bed. We ended up sleeping in the sofa bed in the living room which has an air mattress that we could inflate until it was hard enough. The laundry room was convenient and the little back yard can be nice if you visit during the summer. Lori is friendly and quick to respond."
Garima,"Rating, 4 stars
,
·
August 2023
,
·
Stayed with kids","Very good location, close to everything Midland has to offer. Accurate description. Lori was very responsive. The kitchen was equipped with all essential appliances and all basic ingredients for meal prep."
Kim,"Rating, 4 stars
,
·
May 2023
,
·
Stayed a few nights","Great location to downtown Midland. It was just what we needed for our weekend stay. The home is very well equipped. Lori has thought of all the little touches.
Thank you for the recommendation to Gratzi. It was an amazing dining experience."
Tracy,"Rating, 4 stars
,
·
March 2023
,
·
Stayed a few nights","Overall good experience. Very cute and clean however because it is an apartment in an old house, I could hear neighbors walking across squeaky floor, flushing, etc. I came in at night so it was a little hard to find with address not highly visible or lit. Again, very cute and clean!"
Melissa,"Rating, 5 stars
,
·
March 2023
,
·
Stayed a few nights","Nice place and very clean! Accessible to everything, hope to stay again soon."
Tanner,"Rating, 5 stars
,
·
December 2022
,
·
Stayed a few nights",This was a great place to stay if your visiting Midland. The only thing to be aware of is that you can hear the people that live upstairs quite a bit.
Scarlette,"Rating, 5 stars
,
·
October 2022
,
·
Stayed a few nights",Super cute place! We felt very safe in this area as well! Highly recommend!
Andrea,"Rating, 5 stars
,
·
October 2022
,
·
Stayed a few nights","Great apartment! Absolutely spotless, spacious, nicely decorated, and very comfortable. Walking distance to the Center for the Arts, Dow Gardens and downtown if you’re so inclined. Otherwise just a short drive to just about anywhere. Logistics (check-in, check-out, wifi, etc) are well explained, and communication was great - Lori is very quick to respond."
David,"Rating, 5 stars
,
·
October 2022
,
·
Stayed a few nights",As expected. Quiet safe location. Plenty of room for two and sitting room for more. Easy access. Nice kitchen area.
Sean,"Rating, 5 stars
,
·
September 2022
,
·
Stayed a few nights","Wonderful location, would stay again."
Brett,"Rating, 5 stars
,
·
September 2022
,
·
Stayed a few nights","This is such a nice place, and very private and quiet, so it’s easy to relax and enjoy. Lots of amenities included and so close to all the Midland area attractions. Very convenient! This is really a great value!"
