name,rating_info,review_text
Christopher,"Rating, 5 stars
,
·
December 2023
,
·
Stayed over a week","Brandon is a great host!
Beautiful home"
Charlene,"Rating, 5 stars
,
·
August 2023
,
·
Stayed a few nights","This was my second time staying at Brandon's listing and it was so nice to experience the warmer weather this time! The other 2 guests were respectable and pleasant to chat with. I was able to take a walk around the block one early evening, and I felt extremely safe. The over all temp is chilly for me (70°F) as I am very cold natured, so bring extra long sleeves, hoodie, etc if you're cold natured. I enjoyed the porch one morning and afternoon, but the wasps did run me off after a while. Luckily, the other tenant killed 4 of them. The dishes are easy to find. This is still the BEST Airbnb that I have stayed at, and I would absolutely stay again. Highly recommend!!!"
Maria Soledad (Sole),"Rating, 5 stars
,
·
May 2023
,
·
Stayed a few nights",Beautiful and peaceful place! Great host!!
Dave,"Rating, 5 stars
,
·
December 2022
,
·
Stayed over a week",Brandon is a great guy and a great host. I stayed here for 9 weeks on a clinical rotation for physical therapy and had everything I needed. Would recommend this place to anyone needing to stay for a short or long term stay.
Bethany,"Rating, 5 stars
,
·
October 2022
,
·
Stayed a few nights","I had a great stay, sadly i could only stay one day. It is in a good location, the bed was so comfortable. Brandon communicated really well from start to finish. It has a really homely feel to it and if you get the chance you should definitely stay here."
Shane,"Rating, 5 stars
,
·
June 2022
,
·
Stayed over a week",Brandon was a great host! He made sure that we had everything we needed to enjoy our stay in Minot North Dakota. He was very friendly and talked to us when he got the chance. It was a very nice Airbnb and was very comfortable. Definitely recommend booking an Airbnb with Brandon!
Heather,"Rating, 5 stars
,
·
May 2022
,
·
Stayed a few nights","If this place has vacancy, jump on it!! It’s adorable and in the best location!"
Jama,"Rating, 5 stars
,
·
April 2022
,
·
Stayed over a week","Brandon provided a welcoming home. While multiple roomies were always a possibility, it was very well spread out and anything you required was provided for. You have everything from your own private fridge, room with towels, WiFi and a commons area to watch TV. I would definitely stay here again."
Melissa,"Rating, 5 stars
,
·
March 2022
,
·
Stayed a few nights",Brandon is a wonderful host. The space was just as he promised. Very clean and comfortable. I'd stay there again in a heartbeat.
Hellen,"Rating, 5 stars
,
·
January 2022
,
·
Stayed over a week","I enjoyed staying at Brandon's place. It was home away from home, nice and cozy. He made himself available whenever needed. Easy to communicate. The place was clean and comfortable. Free access to the kitchen. I cooked multiple times. I would definitelyrecommend this place to everyone. He took the time to know our schedule inorder to keep the noise down when we are sleeping. Thanks you Brandon!! It was nice doing business with you🙏🏽"
Wesley,"Rating, 5 stars
,
·
December 2021
,
·
Stayed a few nights","Very nice and warm home, had a nice stay! Brandon and his wife are very kind and friendly we actually played card games among have great conversation, very private area where you will be! I would recommend Brandon stay for anybody who wants a nice warm private stay! Thank you both again!"
Charlene,"Rating, 5 stars
,
·
December 2021
,
·
Stayed a few nights","Brandon was a great host, very welcoming, and enjoyable to talk to. No issues with finding his home, or staying there. Very clean and beautiful home and other guests were pleasant also. VERY thankful for the extra blankets available, and plenty of room to move around in the bedroom. Spacious driveway and plenty of privacy inside. Brandon was alao so gracious to allow my son (Air Force) to spend a little time with me inside his home, and for that, I will be FOREVER thankful. Neighbors dog kept me awake (barking) for 4 hours on my last night there, but that was 1 out of 4 nights. HIGHLY recommend his place, and I would absolutely stay here again if he would let me. TOP NOTCH host and home. Truly a rare find!!!"
Kristen,"Rating, 5 stars
,
·
December 2021
,
·
Stayed over a week","I can’t recommend Brandon’s home enough. I had the pleasure of getting to stay here for 12 weeks while I finished a clinical rotation. The rooms are spacious and comfy, everything is always clean, and Brandon & his fiancée are great company. They made my stay considerably better & I consider them good friends of mine now. If you’re looking for somewhere to stay in Minot, especially long term, look no further! 😊"
