name,rating_info,review_text
Ramona,"Rating, 5 stars
,
·
May 2024
,
·
Stayed a few nights",Great location-just what we needed for nephews ball tournament. Would definitely stay again!
Melissia,"Rating, 5 stars
,
·
April 2024
,
·
Group trip",What a great stay. Very comfy large beds
Alyssa,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",We would stay here again because it’s in an excellent location to get to the Nacogdoches farmers market!
Patricia,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with kids","We had a great stay with family it was great to be able to walk to SFA campus and enjoy all the trees, azaleas and other blooming plants in the area the House was comfortable and cozy"
Derrick,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","Jennifer was an extremely attentive host from the day I inquired about the property until the day I checked out. She allowed me to get an early check in which helped me out tremendously as I was coming into town for my son's wedding. I needed all the help I could get with accommodations and any extra time. The place was awesome, the beds were comfortable and I could not beat the location. I would definitely stay her again in the future."
Denise,"Rating, 5 stars
,
·
February 2024
,
·
Group trip","The house was exactly as described. It was clean, comfortable, homey, and convenient to everything. We would definitely stay here again!!"
Calla,"Rating, 5 stars
,
·
February 2024
,
·
Group trip","We had a great time staying at the Pink Pine with our friends! Two of our other friends rented the Pine Cottage, which is behind this rental, on the same property, and they loved their stay as well! The Pine Cottage is privately secluded from the main house, and we definitely would have still felt we had a private space, even if we hadn’t known the other renters. Everyone in our party loved the comfortable king beds. We wish all places would put king beds in every room! The kitchen is well stocked, and we did a lot of cooking in it and had everything we needed. The property was spotless inside and out, and the fire pit and gas grill on the patio were perfect. There is plenty of parking, and the neighborhood seems very safe and quiet, despite being so close to SFA. We had one small problem during our trip, but our wonderful host, Jennifer, got it taken care of right away. She responded quickly to everything and was great to work with. We can’t wait to stay again on our next trip!"
Matt,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights","All around great place! The house has everything you need, and is very clean, comfortable, and well-decorated. The location is ideal and check-in & out was a breeze! Highly recommend it and hope to be back again soon."
Rylie,"Rating, 5 stars
,
·
February 2024
,
·
Group trip",This place was an amazing bnb. I went to school at SFA and it was in an amazing spot right by all the restaurants and bars! I will definitely be staying here again when I come back!!
John,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights",Jennifer was super responsive very friendly everything was great house was amazing everything you would need was there great area close to a lot of food places restaurants very quite neighborhood it was a great stay I would recommend this home to anyone for sure!!
