name,rating_info,review_text
Gabriel,"Rating, 5 stars
,
·
1 day ago
,
·
Stayed a few nights","Enjoyed every second of the place, the hot tub, the canoe, the bon fire and grill. The place was very lovely! Especially at night! Did a little picnic on the deck and looked at the stars, so peaceful and lovely! Could even hear the donkeys communicate with each other lol. Our stay was very relaxing and comfortable! Definitely will come back! It’s a great gate away place."
Joshua,"Rating, 5 stars
,
·
4 days ago
,
·
Stayed with kids","We loved staying here as a little getaway for my family! The hot tub was great, the view of the lake was gorgeous, and the house looked exactly like the pictures, decorated super trendy (which my wife really enjoyed). Christian was proactive in his communication and helpful. We would stay here again!"
Joetta,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed a few nights",We loved our stay at Catalpa Cottage!! We had a great time sitting around the campfire and using the hot tub. Place was in the perfect location; we only had 7 minutes to drive to get food and gas! We had a very relaxing weekend 😌
Kara,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed a few nights","Perfect place to stay! Very peaceful, quit, and relaxing! I would highly recommend this place! Everything was awesome!"
Kara,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed a few nights",Perfect place to stay!
Helen,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed one night",Great stay! Wonderful little place on a great little lake. Several solid places nearby to eat. Beautifully remodeled lake house with all the comforts
Joshua,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed with a pet",.
Joshua,"Rating, 5 stars
,
·
May 2024
,
·
Stayed with kids",It was a nice big house. Very clean and well put together. Great place for a weekend getaway. Thanks again
Trenton,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with kids","Excellent place, clean and everything you could possibly need. Perfect place for us with two couples and a toddler."
Shayla,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Lera’s place was very homey and comfortable she had everything you need. The view from the master room is wonderful with the river in the backyard. The house is well kept I have no complaints.
Jamye,"Rating, 5 stars
,
·
December 2023
,
·
Stayed with a pet",Great property with a beautiful country setting. Everything we needed.
Dewayne,"Rating, 5 stars
,
·
December 2023
,
·
Group trip","Amazing stay , will be back again"
Daniel,"Rating, 5 stars
,
·
December 2023
,
·
Group trip","wonderful home in Indiana. host were amazing help us with flat tire, could not ask for a better people. house has everything you need for a long trip."
Chris,"Rating, 5 stars
,
·
November 2023
,
·
Stayed with a pet","My wife and I were in town to visit our families for Thanksgiving. The rental was better than what we were expecting. Lots of room for hosting, great outside space, the kitchen was well supplied. We lived it and will definitely be back when the weather is warmer so we can enjoy the river!"
Scott,"Rating, 5 stars
,
·
November 2023
,
·
Stayed about a week",Great space - has all you would need to enjoy a peaceful riverside retreat!
Alexander,"Rating, 5 stars
,
·
October 2023
,
·
Stayed with kids",Very beautiful and cozy home. Owner was very understanding and we would stay again!
