name,rating_info,review_text
Lisa,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed a few nights","We arrived at Julie’s in the late afternoon, it’s a 2nd floor apartment with lots of stairs but we had no problem with them. It’s right downtown so as soon as you walk out the door everything is right there! We appreciated how clean the place was and had everything we needed. The beds weren’t the most comfortable but no big deal. Other reviewers complained about a cat smell, it did not smell like cats. The building is old so it has an older smell to it but nothing that a little fresh air from an open window didn’t cure. I also like to bring a diffuser or candle when I take a road trip, makes me feel more at home.
Overall I would definitely recommend Julie’s place. It was a quaint, clean apartment, which is exactly what we were looking for.
We especially loved that it was right downtown!!!💕"
Renee,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed a few nights",Great location! Good space for our family. Would definitely book again when we’re in New Ulm.
Angie,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","Perfect place to all downtown fun. The little door and staircase was very easy to navigate, don't let that bother you. So clean and exactly like the description."
Annie,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights",Great accommodations clean and welcoming! Cant wait to stay again on another girls weekend!
Lilly,"Rating, 3 stars
,
·
November 2023
,
·
Stayed a few nights","Smelt kinda weird when we got there, but it went away after a while. Kinda scary to go up the stairs, but once you figure it out, its all good!! Stayed with a baby and felt very safe."
Alan,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights",Great apartment with a good amount of space. Enjoyed being able to walk to all the downtown shops.
Sari,"Rating, 3 stars
,
·
October 2023
,
·
Stayed with kids","The place was easy to get to and located within walking distance of most things we wanted. Upon entering, there was a noticeable smell of cat urine. Unfortunately, even after opening windows and buying deodorizers to sit around it lingered the whole time we were there. There was a weird stickiness to the floors, perhaps the cleaning solution that is being used. The bathroom sink was very slow to drain and we plunged it several times. Also there was a weird rolled up paper towel filling a hole in the ceiling tile of the primary bedroom. The pullout bed could use some updating. We pulled off the worn spring in the couch and just put it on the living room floor for my granddaughter. It should probably also be said up front that the mattresses are VERY soft. We enjoyed ourself but sleeping wasn't great."
James,"Rating, 4 stars
,
·
October 2023
,
·
Stayed a few nights","Great location and Julie was a great Host with great communication! Walking distance to historic down town.
As other's have mentioned in previous reviews, there was a strong cat odor inside the apartment and in the entryway."
Keith,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights",Our stay was excellent. Located in a perfect spot to get to everything that we wanted in New Ulm. Will definitely stay there again!
Alex,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights",Responsive host. Clean and convenient location. Would definitely return
Christopher,"Rating, 4 stars
,
·
September 2023
,
·
Stayed with kids","Excellent, central location, and Julie was a responsive host."
Roxanne,"Rating, 4 stars
,
·
September 2023
,
·
Stayed with kids",walkable to downtown.
Katie,"Rating, 5 stars
,
·
August 2023
,
·
Stayed one night","It was a very wonderful stay at a great location! We were attending a wedding and I was bringing the cake, the kitchen was the perfect space to assemble!"
Rebecca,"Rating, 4 stars
,
·
August 2023
,
·
Stayed a few nights",Good Host and Place to stay
Stephani,"Rating, 4 stars
,
·
July 2023
,
·
Stayed with kids","The apartment was clean and the location was very convenient for the event that brought us to New Ulm. Julie was very helpful and accommodating.
There was a lingering cat odor upon arrival but it improved over the duration of our stay. The shared laundry was far better than no laundry facilities but did necessitate cleaning pet hair out of the washer and dryer before using. Overall, it was exactly as advertised and fit our needs very well."
Laura,"Rating, 5 stars
,
·
July 2023
,
·
Stayed a few nights","Julie’s place was just as described. Great location, comfy beds, super clean - highly recommend!"
Christopher,"Rating, 5 stars
,
·
June 2023
,
·
Stayed one night",Nice clean place in a great location right near downtown. Julie was very helpful and even let us check in earlier than expected. Would definitely recommend this place!
Mark,"Rating, 5 stars
,
·
June 2023
,
·
Stayed a few nights","Everything was ""as advertised"". Julie was very responsive to our emails and texts. Apartment was clean, organized, and very spacious. Within walking distance to restaurants, bars, an ice cream shop, and a bakery!!"
Bonnie,"Rating, 5 stars
,
·
June 2023
,
·
Stayed a few nights","Julie's place was clean, uncluttered. We all felt at home and relaxed. The kitchen is well stocked with dishes, etc. Good space to cook, watch tv, play games at dining table. Bedroom were comfortable. Nice shower. We would stay again."
Kristin,"Rating, 4 stars
,
·
May 2023
,
·
Group trip",Julie was vey responsive and the apartment was as described.
Ryan,"Rating, 5 stars
,
·
April 2023
,
·
Group trip","Great experience, right downtown near the location of the event we were in town for. Plenty of space for a quick overnight stay - perfect for our group's needs."
Natalie,"Rating, 4 stars
,
·
April 2023
,
·
Stayed one night",Great location! New Ulm is a cute town
Annie,"Rating, 5 stars
,
·
March 2023
,
·
Stayed a few nights",Great place and location for all the festivals in tow !! Walkable to all downtown restaurants and shops!!!
Bethany,"Rating, 5 stars
,
·
February 2023
,
·
Stayed one night",Great space for our needs. Comfy bed and nice shower!
Andrea,"Rating, 5 stars
,
·
February 2023
,
·
Stayed over a week",It was lovely and the pics don't do it justice. Great experience.
Jeff,"Rating, 4 stars
,
·
November 2022
,
·
Stayed one night","It's a very nice apartment--clean, good kitchen amenities, comfortable bed. The entry stairs are a bit of an experience to walk up for the first time (especially at night), but it is a very solid place to stay. We will likely visit again."
Erin,"Rating, 5 stars
,
·
November 2022
,
·
Stayed a few nights","Great apartment in downtown New Ulm. Perfect for what I needed, room for my son and I to visit."
Jennifer,"Rating, 5 stars
,
·
November 2022
,
·
Stayed over a week","As always, Julie was a great host! The apartment was perfect for my long term stay in New Ulm. Just minutes away from New Ulm Medical Center and walking distance to many local shops."
Melissa,"Rating, 4 stars
,
·
October 2022
,
·
Stayed a few nights",This place was fantastically located within walking distance to shops and restaurants. Very large apartment and space for the 4 people we had. Worked great for our girls weekend. The unfortunate thing was the lingering smell of cat urine in 2 rooms that was very unpleasant.
Jennifer,"Rating, 5 stars
,
·
October 2022
,
·
Stayed a few nights",Great location! Always a great stay when I’m in New Ulm for work. Julie is a wonderful host!
Michael,"Rating, 5 stars
,
·
October 2022
,
·
Stayed a few nights",Good place to hang your hat.
Nicholas,"Rating, 5 stars
,
·
October 2022
,
·
Stayed a few nights","We absolutely loved the place and had a fun time during Oktoberfest. If renting this property for Oktoberfest you are literally in the grounds!!
The unit comes equipped with the essentials you need, snacks like popcorn, spices, oil and sauces for cooking. It was great to have when we wanted to cook.
The beds in This place were great"
Jennifer,"Rating, 5 stars
,
·
October 2022
,
·
Stayed over a week",Great location in downtown New Ulm. Julie is a wonderful host and makes sure you have everything you need. This apartment is wonderful for a stay in New Ulm!
Grace,"Rating, 4 stars
,
·
Today
,
·
Stayed a few nights","What a great place! Super cute and modern second floor apartment perfect for a weekend stay in New Ulm.
Located right downtown close to all the shops and restaurants. Great full kitchen and comfy bed."
Samantha,"Rating, 5 stars
,
·
4 days ago
,
·
Stayed a few nights","Adorable Airbnb & perfect for a short stay in New Ulm. Walkable to tons of parks, shops, restaurants, etc. right downtown."
Summer,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed one night","Wonderful stay, beautiful location, we felt right at home."
Laura,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed one night",Very stylish and nice. Host was understanding!
Maggie,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed one night",This was the perfect spot to stay in New Ulm! It was easy to walk to lots of food and shopping downtown.
Lisa,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed one night","Cozy, clean apartment in the heart of New Ulm. It was a perfect place to stay after exploring state parks nearby. I could walk to restaurants, cute shops, and a bakery. Highly recommend!"
Michelle,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed a few nights","This is a great place! So cute, very clean and great location! Loved being able to walk down the street to the coffee shops, restaurants and shops! Would definitely stay here again!"
Brian,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed a few nights",happy with the stay! thanks very much.
James,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed about a week",Great place right in town! Easy walk around a beautiful city! Very comfortable and clean!
Melissa,"Rating, 5 stars
,
·
May 2024
,
·
Stayed one night","This was my favorite Airbnb! The apartment was the best decorated and appointed space I've ever stayed in. The color palate, furniture, and decor were thoughtfully done. The couch was very comfortable, and I counted 6 large windows that brought in ample natural light. Soft bed linens, comfortable pillows, and the professionally designed space made this apartment stand out. We walked a few blocks to have dinner at George's and walked again to get our breakfast at Lola's Bistro. We loved the location. Craig was also very responsive when we had a question. Also, there wasn't a long list of ""chores"" before check-out, which I appreciated. I would love to stay at this lovely little apartment again. This was the perfect romantic getaway for my husband and I."
Gina,"Rating, 5 stars
,
·
May 2024
,
·
Stayed one night","Very cute apartment, perfect for two. Right in downtown, close to restaurants and the bakery across the street!"
Beth,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night","Great location, neat as a pin, and very comfy couch and bed."
Danielle,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","I had a wonderful stay in New Ulm! The town was quaint and historic. The lodging was exactly as pictured. If I find myself traveling that way again, I will be sure to book with Craig!"
Rhonda,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","Overall this place was great! Cute, comfortable furnishings, walkable distance to bars and restaurants, lots of natural light, felt like a home away from home. It did have a very small shower and it smelled like someone fried fish when we first walked in (maybe the neighbor??) so we bought an air freshener."
Tena,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night",Great place for my bf and I to stay for the night! Super clean and aesthetically pleasing! Host messaged back fast. Made breakfast and they had everything to cook with.
Lisa,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night",My second time staying in one of Craig and Kari’s places and it was just right and what we needed when in town for my uncle’s funeral. Thank you!
Val,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night","Fresh, clean, well-decorated, comfortable spaces for a brief escape from city life. Loved the high ceilings and creative redesign of this historic spot!"
Jennifer,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Great place! It had it all and was perfect for a get away. Thank you
Beth,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night",Great stay! Clean and exactly what we needed.
Katherine Vanessa,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",My second time I stay and I felt the same comfort.thankss
Jenna,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night",Looks like pictures! Cute and right in downtown. Don’t forget to pack shampoo and soap (I forgot to look to look at listing for that). Very cute and great place to stay.
John,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","We really enjoyed our time. Great location in downtown area. Walkable for Restaurants and Bars. Clean, easy and comfortable stay for us."
Joshua,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night",This Airbnb was very clean and comfortable. It is in a great location with many food and entertainment options within walking distance.
Katherine Vanessa,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",I felt at home very comfortable and for cooking it was excellent and super comfortable the bed!
Patricia,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night","I don't often rate a 5. While it was only one night, the place is very nice and nicely appointed for your stay. Host's were very fast to communicate. Close to everything we wanted. For Dinner, highly recommend George's Fine Steaks...delicious and great atmosphere!"
Kristine,"Rating, 4 stars
,
·
March 2024
,
·
Stayed one night",The apartment was clean and nicely decorated - easy walking distance to many spots. Worked for our needs for a quick overnight stay.
Bree,"Rating, 5 stars
,
·
February 2024
,
·
Stayed one night","The place was adorable, wish I could have stayed longer!"
Mary,"Rating, 5 stars
,
·
February 2024
,
·
Stayed one night",The downtown apartment was very clean and comfortable. We were able to walk around town and we also drove to see known landmarks. We enjoyed our stay.
Sonya,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights",Great location in downtown New Ulm that is bright and so comfortable! Look forward to a return visit!
Katie,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights","Great stay! The apartment was decorated beautifully and looked exactly like the pictures. It was easy getting inside due to clear instructions. It was very clean when we arrived and included complimentary snacks and coffee. The apartment was walking distance from plenty of fun - boutiques, restaurants, shops, etc. Craig left great recommendations on things to do as well. Highly recommend!"
Valerie,"Rating, 5 stars
,
·
February 2024
,
·
Stayed one night",We enjoyed our stay. Craig’s place is walkable to a variety of shops & restaurants. The apartment is clean & comfortable.
Shelley,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights",Great clean place! Will stay here again if available.
Musab,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights",Great area! Loved the studio apartment! Super cute better than the photos showed!
Sheila,"Rating, 5 stars
,
·
January 2024
,
·
Stayed one night","Cute place! very close to all downtown activities - very walkable for shopping, dining and a night out in the town."
Bonnie,"Rating, 5 stars
,
·
January 2024
,
·
Stayed one night","This place was absolutely beautiful, had everything we needed was a fantastic location."
Leah,"Rating, 5 stars
,
·
January 2024
,
·
Stayed one night",This was a lovely spot for our stay in New Ulm! The apartment was well taken care of with a great aesthetic. It was walkable to a variety of restaurants and shops. Would definitely recommend!
Jill,"Rating, 5 stars
,
·
January 2024
,
·
Stayed about a week","Super comfortable, clean, and close to restaurants. Will definitely stay at Craig's properties again"
Anthony,"Rating, 5 stars
,
·
December 2023
,
·
Stayed one night",nice location... it is as was stated...clean and cute.
Brian,"Rating, 5 stars
,
·
December 2023
,
·
Stayed one night","Perfect location in downtown New Ulm with privacy, easy walking distance to local establishments and appears to be recently renovated. Great furnishings and finishes and the host was very responsive to any questions. Would recommend and stay here again!"
Colleen,"Rating, 4 stars
,
·
December 2023
,
·
Stayed one night",Craig was friendly and communication was great. Very nice apartment and location. Unfortunately the mattress was a bit uncomfortable and sloped to the middle.
