name,rating_info,review_text
Cody,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed a few nights","Toms place was an alternative to staying at a hotel while I was in the area for business. Easily the best decision we made to stay here, house was cleanly and comfortable. Outside patio area on the canal offered a much needed relaxation area at the end of the day. Didn’t have much time to fish so wasn’t able to reel in anything, but trying again next time! Thanks Tom"
William,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Very accommodating.
Pasilie,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",My family had the pleasure of staying in Tom’s home the last week of March and it was absolutely beautiful. Tom is one of the best hosts I have had and was always willing to help and give pointers. The fishing was great and the scenery is amazing.
Chad,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Very clean and the nicest place in the area! Had a great time thank you
Missy,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Great place! Very clean and in a good area. Such an amazing place to unwind and have some down time. Tom was so kind and helpful. We highly recommend!
Alex,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","The place was great. Great location. Loved the decor. The only issue would be if you’re elderly, the shower was kind’ve hard to step into. Other than that, no issues. Would come back!"
Jessica,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights","We had a great visit! Tom was very responsive, the house was just as promised and the local recommendations were spot on!"
Michael,"Rating, 5 stars
,
·
January 2024
,
·
Group trip","Redneck Riviera did exactly what we wanted it to do. It was a place to sleep, eat and shower. The place was fine. We went in January to fish. I have no idea what to do in the area but the fishing was decent. Tom’s place was great for fishermen to stay in during the season. 6 minutes to the Kissimmee river launch."
Michelle,"Rating, 5 stars
,
·
January 2024
,
·
Stayed with kids",We really enjoyed our stay! It felt like home away from home. It was clean and everything we needed was provided. The fishing was great and so convenient! We would definitely stay again!
Robin,"Rating, 5 stars
,
·
January 2024
,
·
Stayed with kids","Outstanding stay! Tom was a great host!!! We will definitely be back next year!
Best part??? We caught fish!"
Cj,"Rating, 5 stars
,
·
November 2023
,
·
Stayed over a week",Great place
Micheal,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights","Great place, my favorite place to stay with out a doubt when in Vegas, Great location to for all the action in Vegas."
Eric,"Rating, 5 stars
,
·
September 2023
,
·
Group trip","This place made our trip, easy access to the lake, plenty of space for the boats. Easy to spray the boats down, multiple spigots in the perfect location. The house was clean and comfortable. We will be back for sure. Tom also responded quick to our questions and was more than accommodating. 6 stars for the Redneck Riviera!!"
Karen,"Rating, 5 stars
,
·
August 2023
,
·
Stayed a few nights",Second time staying!! Love the location. Boat house was great!! Clean and comfortable. Missed the pool. Easy access to Lake Okeechobee . Close to town. Caught lots of bass. Thanks for another great stay!!!
Brendan,"Rating, 5 stars
,
·
August 2023
,
·
Stayed a few nights",Great place to stay. Very clean and comfortable
Jennifer,"Rating, 5 stars
,
·
July 2023
,
·
Stayed with kids","Tom’s place is a perfect Lake O getaway, from the lake access to the well thought out outside space and comfortable beds, it’s a 5 star Lake Okeechobee gem! We had a great time and will definitely stay again. Tom is a top notch host and communicated well and went above and beyond to make our stay special! Thanks Tom!!!"
M,"Rating, 5 stars
,
·
July 2023
,
·
Stayed a few nights",Great spot in real “redneck” country gave us a good view of the American inland feel. The airboat trip was awesome. Europeans should consider visiting this area.
Aaron,"Rating, 5 stars
,
·
June 2023
,
·
Stayed a few nights",Had a great time and caught a lot of fish definitely recommend
Frank,"Rating, 5 stars
,
·
May 2023
,
·
Group trip","Tom
Was so nice to us . All you need to do is have your boat ready and fishing gear .
I will definitely go back there and stay.
Bait shops are close,stores and boat ramp is also close ."
Janie,"Rating, 5 stars
,
·
April 2023
,
·
Stayed a few nights",We enjoyed our ur stay and loved the place! Wanted to buy it for ourselves! Lol!
Jessica,"Rating, 4 stars
,
·
April 2023
,
·
Stayed a few nights","Beautiful place with “at home like” feeling. Guaranteed to catch a fish here!! Nice, amazing water pressure, games, hot tub, grill, plenty of room for your family to relax, and enjoy. Please note: There is no longer a pool, and PLEASE BRING BUG SPRAY!! Mosquitoes are so bad!!!
Side note: we left our house keys by accident, and he allowed my family to go get them, so they could over night them. He was fast, and responsive, and willing to help. So thankful for that!"
Wesley,"Rating, 5 stars
,
·
February 2023
,
·
Group trip",Great place.
Jim,"Rating, 5 stars
,
·
February 2023
,
·
Stayed over a week","This location was set up perfectly for our annual fishing trip. Easy access to the lake, leaving the boat in the water at the house and a fish cleaning station. Plenty of other amenities as well. And finally, Tom is very responsive to any issues that might arise during your stay. Great host."
David,"Rating, 5 stars
,
·
January 2023
,
·
Stayed a few nights",Tom was a great host and was quick to answer any questions that I had.
Melanie,"Rating, 5 stars
,
·
January 2023
,
·
Stayed a few nights","Amazing place. Very well equipped house with a lovely backyard. Caught quite a lot of fish and even saw one very tiny alligator. Lots of bird life too. Close driving distance to great restaurants (really liked Pueblo Viejo) and takeout (Okeechobee Fish Co), as well as fishing guides, airboat ries, etc. Although we could have easily never left the great backyard. Host was super communicative. We would stay here again in the blink of an eye. Highly recommended."
Erla,"Rating, 5 stars
,
·
December 2022
,
·
Stayed a few nights","Beautiful place and clean
Feel like your own home 🏡❤️
Thanks so much"
Jerrod,"Rating, 5 stars
,
·
November 2022
,
·
Stayed a few nights","Great place, just as advertised. Clean, comfortable beds, and friendly host."
Anaely,"Rating, 5 stars
,
·
October 2022
,
·
Stayed with kids","This is our second time booking the Redneck Riviera, definitely not our last! Our family it’s so very happy, we never want to leave. We are planing our third stay for next year! It feels like home away from home. I will share a list of the top ten things we absolutely love about the Redneck Riviera:
1. Fishing 🎣 large mouth bass, cat fish, sun fish, sicklets…
2. Location, close to Lake Okeechobee.
3. Nature, clear skies, lots of greens, pure air, birds, gators, turtles…Stars gazing, beautiful sky!
4. Ambiance, very very peaceful!
5. Amenities, pool, hot tub!
6. House is well equipped with appliances, air fryer, pots, washer/dryer and stocked with everything you need to cook.
7. Comfortable beds, all of them!
8. Lots of seating arrangements inside and outside.
9. Great neighbors! Quite, private and friendly.
10. Last but not lest, the host…amazing Tom! He is absolutely the best. He stays in contact throughout the stay and always on top of everything. So happy got to meet him in our last stay. Thank you Tom 🙏"
Dwayne,"Rating, 5 stars
,
·
October 2022
,
·
Stayed a few nights",Highly recommend this place. Great value and evening sunsets are amazing!
Paul,"Rating, 5 stars
,
·
October 2022
,
·
Stayed with kids","My family and I really enjoyed our stay. We saw a lot of wildlife. Alligators, birds and even a couple rabbits. The host was great and the house was also. You walk in and you know you're in Florida. Very comfortable. The pool was awesome too! would definitely stay again."
Maria,"Rating, 5 stars
,
·
October 2022
,
·
Stayed a few nights",Great place beautiful surroundings can't wait for our next stay
Weston,"Rating, 5 stars
,
·
October 2022
,
·
Stayed a few nights","The place is fantastic, exactly what it said it would be, affordable. The place was very quaint and quite, just far enough away to have our little slice of peace, but close enough to still have civilization. It was very very clean, the backyard patio were perfect. It’s South Florida so there are gators and mosquitoes that are nearly prehistoric. Both are huge and both will try to drag you off given the chance. I can’t thank Tom and Debbie enough for providing us with such a perfect place to stay for a few days. They had everything to fish the canal there, they had bug spray ready to go, the pool was clean and the hot tub was hot.
This isn’t the Ritz Carlton, it’s better. Trust me if you’re in the area, this is the place to stay!"
Alicia,"Rating, 5 stars
,
·
September 2022
,
·
Stayed a few nights",Wonderful place the beds were comfortable and the details were great. Definitely check the fridge before you shop! Lots of condiments and coffee. Tom was an excellent host. We will definitely come again.
Daniel,"Rating, 5 stars
,
·
August 2022
,
·
Stayed a few nights",Great place with the only issues being the electrical panel flipping a couple of times. Great area on the lake making it easy to get to any launch on the west side fairly quickly.
Ashley,"Rating, 5 stars
,
·
August 2022
,
·
Stayed about a week","5 star host!! Stays in communication before during and after to make sure you have all you need! Has extras in house/outside available which made the stay so much nicer!! I’m sure the fish were happy to see us leave :) will definitely be checking for availability to stay here on my next trip!! If you’re coming to the area make the trip to Everglades city for airboat riding and alligators with Capt jacks, so much fun!!"
Lori,"Rating, 5 stars
,
·
July 2022
,
·
Stayed with kids","The Redneck Rivera was the perfect fishing escape for our family. Wildlife, sunsets and bass! Thank you for the great accommodations."
Anaely,"Rating, 5 stars
,
·
July 2022
,
·
Stayed with kids","The Redneck Riviera is a hidden gem!
Tom and Debbie are amazing hosts, great communication, friendfly and helpful. We were enchanted the minute we entered the driveway. This home has everything, located in Buckhead Ridge, waterfront right on the Okeechobee Lake, pool, hot tub, fishing gear, fish food, with beautiful and peaceful views. The house has so many special touches and details, inside and outside! We felt transported to another world. We created beautiful memories with our children. This stay, in general, surpassed our expectations and all I can say is that...cant wait to be back again and again."
Courtney,"Rating, 5 stars
,
·
July 2022
,
·
Stayed with kids",Tom's place was INCREDIBLE! Location was perfect. The house was clean and well stocked with anything and everything you could possibly need. There was something for everyone! We extended our stay because we were having such a good time. Would recommend to anyone and we will be staying again next chance we get!!
Sheila,"Rating, 5 stars
,
·
July 2022
,
·
Stayed a few nights",Tom and Debbie have a beautiful home. It felt like home from the moment we walked in. We will definitely be back.
Daniel,"Rating, 5 stars
,
·
June 2022
,
·
Stayed with kids","Our stay at the Redneck Riviera was amazing! After driving 20+ hours from Oklahoma, walking into a nice cool clean house was refreshing! The house was very clean, the beds were comfortable and there was plenty of space inside and out for our family of six. The front yard is beautiful with a wide array of plants and trees, the backyard and patio were perfect for a family get together with the pool to swim and the canal to fish! There are frogs and lizards aplenty and the occasional (small) gator in the canal. If you plan on being outside at night just make sure you wear mosquito repellent. We enjoyed the quiet location and would definitely recommend Toms place to anyone!"
Lorie,"Rating, 5 stars
,
·
May 2022
,
·
Stayed a few nights","Beautiful place easy access to the Lake and fishing. Lots of extras with the house. Beautiful sunsets. Pool was so cool and comfortable after fishing, loved the jacuzzi. Lots of Bass to be caught at Lake Okeechobee as well as lots of gators. Would highly recommend this place priced right and very comfy. Thanks so much for sharing your spot."
Ben,"Rating, 5 stars
,
·
May 2022
,
·
Stayed a few nights",Great Place
Christopher,"Rating, 5 stars
,
·
April 2022
,
·
Stayed with kids","Very awesome place to stay, the whole place is decorated beautifully! Had a blast!"
Charity,"Rating, 5 stars
,
·
April 2022
,
·
Group trip","The Redneck Rivera was a great place for a week of red necks to hang out. We enjoyed fishing in the canal, sitting by the pool, and dipping in the hot tub. At dusk the mosquitos are unavoidable, but that’s FL. During the daytime to pool is perfect to cool off. We planned a hog hunt while here with Lightsey Family ranch, and took 2 fishing trips with Okeechobee fishing headquarters (Bass) and Small waters outfitters (crappie) we also made the drive to Everglades holiday park for the day for Peacock Bass fishing, gators, and airboat rides. We had everything we needed to Cook our keepers!! We haven’t even checked out yet and my kids are planning their return trip!! We will be back!"
Linda& Bruce,"Rating, 5 stars
,
·
March 2022
,
·
Stayed a few nights","We enjoyed our stay at the Redneck Riviera, Everything was top shelf and we will be back .."
Jan,"Rating, 5 stars
,
·
March 2022
,
·
Stayed a few nights",Great place to rent with everything you need.
Lisa,"Rating, 5 stars
,
·
February 2022
,
·
Stayed about a week","Thank you for a great stay!! We loved paddling and biking. Air boat ride was fun. Great restaurant recommendations. We had take out from Okeechobee Fish Company twice. Watched the sunset, great amenities. A very comfortable stay! Thank you."
Byron,"Rating, 5 stars
,
·
January 2022
,
·
Stayed a few nights","This place is just so unique and cool. The neighbors are awesome too so get out and walk around and say Hello. All you need to bring in yourself and a relaxed mindset. We came to fish the lake and then the canals at night.
Tom's AirBnB communications are some of the best I have seen.
If i could give the Redneck Rivera 6 stars I would...but I can't lol"
Ryan,"Rating, 5 stars
,
·
January 2022
,
·
Stayed about a week",If you want to stay in buckhead ridge this is your place!!! We had an amazing vacation and the house made it even better!!! Tom was so helpful and very kind! This place is a ten out of ten!!! Can’t wait to get back down there!!!
Shanna,"Rating, 5 stars
,
·
January 2022
,
·
Stayed a few nights","Great place! Comfortable, clean with everything we needed and then some. We will definitely be back!!"
Audra,"Rating, 5 stars
,
·
January 2022
,
·
Stayed with kids",Amazing place loved everything about it! The fishing was awesome!!
Rachelle,"Rating, 5 stars
,
·
December 2021
,
·
Stayed with kids","We loved this place. Felt just like home. Liked how the place was fully stocked, only needed to bring the food we wanted to eat. Caught many fish off the deck in the backyard. Tom's communication was fast and very helpful. Definitely will come back to stay."
Taylor,"Rating, 5 stars
,
·
December 2021
,
·
Group trip","Tom and Debbie’s place was an incredible weekend for us. They really go above and beyond for their quests offering just about anything you can think of from seasonings, fridge items and even ice. They had a grill outside in the outdoor bar area. This is located close to the dollar general so if we needed anything it was a short drive. We look forward to coming back!"
Jason,"Rating, 5 stars
,
·
December 2021
,
·
Stayed a few nights","The Redneck Riviera is truly an oasis, it has everything you needs to relax and have a great time. The house is very comfortable and roomy with 3 bedrooms and 2 baths. Tom makes it a priority to see that you are on track to get the most out of your stay. The 'cabana' outside was so great, dipping in the hot tub, cooling off in the pool, and cooking out on the grill, all were highlights with plenty of room to gather for a meal outside right on the canal. We recommend 'The Redneck Riviera' highly to anyone seeking a delightful stay on Lake Okeechobee."
Juan,"Rating, 5 stars
,
·
November 2021
,
·
Stayed a few nights","The house is amazing and lovely, enjoyed every minute of my stay there. It has an amazing view at the back and also a great fishing spot ."
Courtney,"Rating, 5 stars
,
·
November 2021
,
·
Stayed a few nights",This home was so Comfortable and so beautiful. Very clean and it literally felt like we were at home. We will definitely be back. Tom is an Amazing host and the communication is awesome. We really appreciated everything! Thank you and see you soon.
Tracy,"Rating, 5 stars
,
·
October 2021
,
·
Stayed a few nights",Great place and very accommodating. Will be back for sure
Evelyn,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed with kids","Very nice and comfortable home to stay, close to many shops, restaurants and markets."
Rodia,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed a few nights",Enjoyed our stay!
Betzaida,"Rating, 5 stars
,
·
April 2024
,
·
Group trip",It had beautiful surroundings
Kevin,"Rating, 5 stars
,
·
April 2024
,
·
Group trip","It was a GREAT Experience , very nice place . We Enjoyed our stay there !!"
Kevin,"Rating, 4 stars
,
·
April 2024
,
·
Group trip",Solid place for fishing off the dock and lots of places near buy.
Lecia,"Rating, 4 stars
,
·
March 2024
,
·
Group trip","Nice home on busy street. The photos show a very picturesque back patio with dock on the water but definitely do not include the run down property next to the water. The beds are on the harder side, if you like that you will appreciate the ones here. The home is very cozy and inviting. Enjoyed our stay."
Ann,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",This was my second stay in this house and if I’m back in Okeechobee I will stay there again.
Kurtis,"Rating, 5 stars
,
·
March 2024
,
·
Group trip",Great place and a nice area would recommend to anyone
