name,rating_info,review_text
Rebecca,"Rating, 5 stars
,
·
2 days ago
,
·
Stayed over a week","nice place ,very friendly host. booking next year."
Andrew,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed a few nights",Highly recommend! They went above and beyond to make sure we had a enjoyable stay!
Kevin,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights",Very nice little place. Woke up early to deer in the back yard. Felt right at home. Hope to stay there again.
Martina,"Rating, 5 stars
,
·
October 2023
,
·
Stayed with a pet","Great place to stay! Nice, clean and private with easy access in and out. The house has all the amenities. Would definitely recommend."
John,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed a few nights","We visited Ottumwa for our daughter’s graduation and stumbled upon this listing, which turned out to be perfect for us. Renting it was smooth, with our host being very responsive and informative. Leading up to check-in, they provided helpful details about the house and the town. Checking in was easy, and the house exceeded our expectations, especially with its updated ground floor and beautiful, functional kitchen. We loved the peaceful, well-kept backyard and enjoyed using the BBQ and patio seating. The retro upper floor and basement were charmingly refurbished, with great color schemes throughout. Overall, we had a fantastic time, and even though our daughter has graduated, we wouldn’t hesitate to stay here again if we’re ever back in the area."
Kim,"Rating, 5 stars
,
·
May 2024
,
·
Group trip",This house is amazing! Great home with everything you could ask for. Host did everything to make our stay a very memorable one. If you want a unique home with the comforts of home this is the one for you!
Jake,"Rating, 5 stars
,
·
April 2024
,
·
Group trip",Great place to stay. We will definitely book this place again when we come through ottumwa.
Teresa,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Beautiful and peaceful.
Peggy,"Rating, 4 stars
,
·
September 2023
,
·
Stayed a few nights",Nice place very private. We loved the quiet place. we rested up for our long drive.
Lesley,"Rating, 5 stars
,
·
August 2023
,
·
Stayed a few nights",Carol was just great even when she had some issues going on with her family.
Nicholas,"Rating, 5 stars
,
·
July 2023
,
·
Stayed a few nights",Beautiful place to stay. I will definitely be back again!
Michelle,"Rating, 5 stars
,
·
June 2023
,
·
Stayed a few nights",The house and surrounding area was beautiful and very peaceful. We would definitely stay here again.
Darin,"Rating, 5 stars
,
·
June 2023
,
·
Stayed a few nights",Had a good time. Just what we were looking for with events going on nearby
Mark,"Rating, 5 stars
,
·
May 2023
,
·
Stayed a few nights","This was our second stay at the Cabin in the Woods. Once again we had a wonderful stay. We especially enjoy the secluded location of the property. There were no city, or neighbor, sounds and plenty of nature to see and hear. Many hours were spent relaxing by the fire pit. We found the property to be as described and pictured."
Rita,"Rating, 5 stars
,
·
February 2023
,
·
Stayed a few nights","We loved the cabin! Nestled right in the trees, great windows and the space was perfect! Everything we needed and felt like home."
Michael,"Rating, 5 stars
,
·
November 2022
,
·
Stayed about a week","Great cabin for a hunting trip. Open porch to keep hunting gear so it won’t pick up human smells, not to far from Iowa state land for out of towners, and if you see nothing during your hunt then the deer are waiting for you in the yard to tease you when you return. We’ll be returning."
Keith,"Rating, 5 stars
,
·
November 2022
,
·
Stayed about a week","Relaxing country environment,
Reminded me of home"
Brandi,"Rating, 5 stars
,
·
October 2022
,
·
Stayed with kids",Absolutely beautiful location! Everything that was needed was provided! Very peaceful
Tracy,"Rating, 5 stars
,
·
October 2022
,
·
Stayed a few nights","Exactly as described🙂. Very secluded. We fished the pond and caught 3 little fish which we put back. My sister, brother, and I go down in this area about 3-4 times a year. We have found our new getaway home. Absolutely love it. Host are very easy to communicate with. Such a cozy home. Well stocked also. Thanks Carol and Jerry for a very relaxing wkend."
Mae,"Rating, 5 stars
,
·
September 2022
,
·
Stayed a few nights",It was relaxing and peaceful. Just what a person needs. A time out from the world.
Keith,"Rating, 5 stars
,
·
August 2022
,
·
Stayed a few nights","Perfect getaway, wish I'd had more time to enjoy"
Matt,"Rating, 5 stars
,
·
July 2022
,
·
Stayed with kids",Great place. Really enjoyed our time there.
Richard,"Rating, 5 stars
,
·
February 2022
,
·
Stayed a few nights","Quiet, secluded, and beautiful. What's more to ask for! Carol and Jerry go above and beyond as hosts. I very much enjoyed my stay and look forward to staying again"
Ron,"Rating, 5 stars
,
·
December 2021
,
·
Stayed a few nights","We had a wonderful stay here at the cabin. We enjoyed the big picture windows looking out over the timber. We saw a few deer and even a bob cat. It was very peaceful and relaxing. The weather was terrific for this time of year. It reminded us of the day we got married on 41 years ago. Sunday we celebrated our 41st Anniversary.
Thank you for a wonderful experience.
God Bless and Merry Christmas!"
Earl,"Rating, 5 stars
,
·
September 2021
,
·
Stayed a few nights",We stayed at the cabin in the woods for three nights and enjoyed every minute of it. The cabin was clean and was well stocked with all the essential items. The gas grill worked perfectly. There are no neighbors and there was no noise disruptions. A great place to just get away.
Tony,"Rating, 5 stars
,
·
August 2021
,
·
Stayed a few nights",Highly recommend.
Dan,"Rating, 5 stars
,
·
June 2021
,
·
Stayed with kids",Very relaxing location. And a comfortable place to stay.
Stacy,"Rating, 5 stars
,
·
May 2021
,
·
Stayed a few nights",A perfect little place to get away from daily hassles and reset.❤️
Stan,"Rating, 5 stars
,
·
October 2020
,
·
Stayed a few nights","The cabin was perfect for comfort and privacy. The surrounding woods, wildlife and falling leaves were a much needed calm. My only regret is not having time to stay longer."
Stephanie,"Rating, 5 stars
,
·
1 day ago
,
·
Stayed with kids",We had a great time! The house was as described and Karissa was easy to get ahold of and talk to. Loved the views and how private it is. We will definitely stay here again the next time we’re in town. Thanks again!
Angela,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed a few nights","Large home, plenty of seating room and activity space. The home was comfy and private with plenty of beautiful birds singing each morning! There are also two large TVs in the home not photoed which came in handy."
Mike,"Rating, 5 stars
,
·
4 weeks ago
,
·
Stayed a few nights","Beautiful outside area on the deck was wonderful!
The wildlife & wooded area was divine. Thank you!"
Katie,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with kids","Wow! It's hard to put into words what an amazing place this is. I can't recommend it enough! Our family was in town for some difficult reasons and Karissa's compassion and kindness stood out from the very beginning when I reached out. Her communication was outstanding and lightning-fast! When we needed to extend our stay, she was more than happy to accommodate us. The home was incredibly peaceful and restful; we sat on the porch each day for hours watching the beautiful birds and most days we had deer for visitors. Though it's very close to all that you might need (gas station, groceries, etc), the home feels like you're on a retreat in the woods. Zero hesitations in recommending this place whole-heartedly!"
Jonathan,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with kids","Great house! Peaceful quiet lot but close to food and the highway. The house is like home, not too fancy but so comfortable"
Nikki,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with kids","Best host I've dealt with. One of her chairs broke when my 16 year old son sat in it. Her first response was to ask if he was ok. I didn't even mention that he was autistic. So I immediately knew she was a very kind person. She messaged me before I got there to ask if there was anything I needed. Very on top of things. Gave recommendations for restaurants, which I thought was nice. I'm originally from there, but haven't lived there in years, so it's nice to know what's new. Place was very clean and extremely roomy (I wish my bedroom was that big lol). Loved the basement area. Just wish we had more time to spend there, it was a short trip. Thank you so much. Definitely recommend."
Fran,"Rating, 5 stars
,
·
March 2024
,
·
Group trip",Very nice house on dead end road. Very quiet nice neighborhood. Very nice house. Awesome family room we used everynight. Will definitely stay again.
Barbara,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights","At the end of a road surrounded by trees, it felt like we were at a secluded getaway. The house was a great location for a gathering with family from Iowa, Illinois and Missouri. Karissa was always super responsive, friendly and it was clear she genuinely hoped we all had a good time."
Maisheda,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights",We really enjoyed our stay! We were in town for a work trip. After some very long days it was great to come back to place that felt like home!
Marleigh,"Rating, 5 stars
,
·
January 2024
,
·
Group trip","Thank you, Karissa!! She was a great, communicative host and the home offered plenty of space for our family to hang out and enjoy each other."
Lizzeth,"Rating, 5 stars
,
·
January 2024
,
·
Group trip","Place was amazing, was perfect for our trip. Extremely clean and quiet."
Kris,"Rating, 5 stars
,
·
December 2023
,
·
Stayed with kids","Karissa's listing was amazing. It was in a private part of a very nice neighborhood. Everything was exactly as pictured and described. Beautiful home and surroundings! It was exactly what we were looking for family over the holidays. We would DEFINITELY be open to reserving this home in the future! Thanks, Karissa!"
Robbie,"Rating, 5 stars
,
·
December 2023
,
·
Stayed with kids",This is our second time to stay at this location. It’s always clean and well equipped. It was also decorated for the holidays which was a nice touch as we met family and had a mini Christmas while there. My granddaughter is 15 months and there’s a pack-n-play and toys which was great. We will definitely stay again if needed.
Jamie,"Rating, 5 stars
,
·
November 2023
,
·
Group trip",We absolutely loved our stay. It was a very peaceful and spacious property. We saw deer everyday we were there. The house itself was very spacious and the large windows gave you a gorgeous view of the property every morning while we weee drinking our coffee. We will definitely come back and stay at Karissa’s property.
Shelley,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights",This is by far the best place to stay in Ottumwa. It's on a beautiful piece of land and is a very comfortable attractive place with a great host. We hope to stay there again. This was our third time which shows how much we love it.
Beverly,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights",Beautiful setting and quiet. Still very convenient to town
Joyce,"Rating, 5 stars
,
·
October 2023
,
·
Stayed with kids",we have no complaints!!! it is a great place to stay!
Shelley,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights",The only place to stay in Ottumwa! Beautiful!
