name,rating_info,review_text
Eric,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","Great place to stay, peaceful, clean room. two steps from town. it was nice to see Dolly again and meet with Lulu."
Tomi A,"Rating, 4 stars
,
·
April 2024
,
·
Stayed over a week","Nice and quiet, enjoyed the doggone. Made me feel at home."
Iqbal,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights",⭐⭐⭐⭐⭐
Travis,"Rating, 5 stars
,
·
December 2023
,
·
Stayed one night","home away from home, thank you again for making arrangements for me 🙏"
Travis,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights","Mrs & Mr Cooper were amazing hosts, 10/10 recommended, felt at home"
Gavan,"Rating, 5 stars
,
·
November 2023
,
·
Stayed about a week",Very cozy place to stay and definitely Great host!
Donna,"Rating, 5 stars
,
·
August 2023
,
·
Stayed a few nights",This was the most comfortable Airbnb I’ve even stayed in. It was comfortable clean and so peaceful. I loved the surrounding in the country. The bed was great and just a little plus I have to get me a shower like theirs. Check in was easy. I can’t say enough good things I hope I’ll be traveling through again. I might even go out of my way to stay there. I’m not a big dog person but when I went in the back yard to see the chickens Dolly stole my heart right away. If you ever get the chance don’t miss out on staying here.
John,"Rating, 5 stars
,
·
June 2023
,
·
Stayed a few nights",Great host
Courtney,"Rating, 5 stars
,
·
May 2023
,
·
Stayed about a week","Home away from home and some of the most genuinely authentic hosts I’ve ever come across.
The home was truly the best of both worlds being in both the beautiful country and then the town being just a mile away."
Benjamin,"Rating, 5 stars
,
·
October 2022
,
·
Stayed a few nights",Great place to stay.
Holly,"Rating, 5 stars
,
·
October 2022
,
·
Stayed a few nights",Great small town charm! We felt very comfortable and look forward to another time we can visit my husband’s childhood home town.
Sherri,"Rating, 5 stars
,
·
May 2022
,
·
Stayed a few nights","My fiance stayed in one of Stephanae's rooms ... he said it was quiet, peaceful, and friendly. He enjoyed talking with her and her husband and hanging out with the farm animals in the morning. I've also stayed here in the past ... super cute place! We think we'll make it one of our ""normal"" stays when we visit Pampa. =)"
Gary,"Rating, 5 stars
,
·
April 2022
,
·
Stayed a few nights","A beautiful place to stay. Farm animals are there, but not a nuisance. If you wish to enjoy them you can, but, if not, then you hardly notice them being there. The host are very nice and helpful and the value is very good."
Coty,"Rating, 5 stars
,
·
October 2021
,
·
Stayed a few nights",Perfect
Kimberly,"Rating, 5 stars
,
·
September 2021
,
·
Stayed a few nights","My son is in the area for work and we are SO HAPPY that he landed at Shephanae's to stay. They have been really good to him and their home is clean, warm and welcoming."
Lena,"Rating, 5 stars
,
·
August 2021
,
·
Stayed a few nights","Very nice and welcoming hosts. Clean rooms, comfy beds, even offered to share a pizza with us first night there! Would definitely stay there again if we are in that area again!"
Braden,"Rating, 5 stars
,
·
August 2021
,
·
Stayed one night",Worth it!! Would definitely consider staying here in the future
Christopher,"Rating, 5 stars
,
·
August 2021
,
·
Stayed a few nights",This was a beautiful place to stay. And the host were wonderful so polite and friendly. Made our stay very comfortable and felt at home. would definitely stay again.
Teri,"Rating, 5 stars
,
·
August 2021
,
·
Stayed with kids",This could not have been a more perfect place to have an extended stay. My son and I needed a place for a month and Steph and Pete just make you feel like you are home while you are there. They are the perfect hosts for any length of time you are there and a super comfy place to be. Thank you both!!
Lupe,"Rating, 5 stars
,
·
June 2021
,
·
Stayed with kids","Enjoyed my stay here, everything was clean and just what I needed for the night. Thanks!"
Jaxon,"Rating, 5 stars
,
·
June 2021
,
·
Stayed one night",Absolutely gorgeous area. It's a bit off the beaten path but worth it (I was driving Denver to San Antonio). Host was friendly. Super great value. I was going to jokingly ask them if they host honeymoons
William,"Rating, 5 stars
,
·
6 days ago
,
·
Stayed with kids",Great place to stay in this friendly town. Great neighborhood and friendly helpful neighbors. I would definitely stay here again
Kimberly,"Rating, 4 stars
,
·
2 weeks ago
,
·
Stayed a few nights","Beds were great, comfortable, clean,!
House was very nice just like pictures, shower had an amazing shower head !
Could use a few more items in the kitchen. A few more Plates, utensils, and sharp knife would be great. We made it work since my boys have pocket knife’s 🤣.
Curb appeal needs some work. But that was not why we were there. We were in town for a family wedding so most of our time was at the there Ranch.
We needed a place our son in wheelchair could manage, two steps though the garage was manageable and yes he was able to get in the master bathroom with his chair and the hardwood floors made it very easy to maneuver and we needed a place to sleep and clean up.
BUT # 1 thing was comfortable beds and clean house I would give it 5 stars. Harold was very responsive host as well.
Would stay again if we are back in Pampa!"
Gabe,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed over a week",Was a great stay and a great home! Would definitely stay again!
Manuel,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with a pet",Thanks for everything House was perfect
