name,rating_info,review_text
Kaylin,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed a few nights","We had a wonderful stay, great views of the golf course, comfortable and clean living space. We loved the assortment of snacks provided when we arrived. Very responsive host, loved the surrounding area of Pinehurst/Southern Pines that only took minutes to drive to. Great local restaurants nearby, easy parking and all around great price for the accommodation! We will definitely be returning!"
Tracy,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed a few nights","Fantastic place, great view on golf course, wonderful welcome with snacks after a long drive. Thanks for the nice surprise!"
Cory,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed one night","Great spot, very peaceful and calm. Description was spot on and they go the extra mile by providing a handful of complimentary snacks and extra toiletry items which was extremely appreciated. We will be staying here again in the future"
John,"Rating, 5 stars
,
·
4 weeks ago
,
·
Stayed one night","This was our first trip to Pinehurst. When we go back we will only stay at Dixie’s house. The house was comfortable, clean and quiet. The description matched the house exactly. There is a lot to do in the area or you can sit on the deck and watch the golf."
Sara,"Rating, 5 stars
,
·
May 2024
,
·
Stayed a few nights",We had such a wonderful time in Pinehurst visiting for a friends wedding weekend. The place was so clean and close to everything! Thank you for hosting us!
Tay,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Great few days at Dixie's place......Very clean and a great location. Dixie was first class with any questions which was great. Wish I could have stayed longer!!!!
Jillian,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with kids",Wonderful little place to stay! Clean and quiet and close to all Pinehurst and Southern Pines has to offer! Would stay here again!
Anna,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","This was the perfect weekend getaway for me and my husband! Quiet, easily accessible to downtown Pinehurst and Southern Pines. Golf aplenty, and a great location to access several courses. The condo was comfortable with lots of provided amenities that made our stay easy."
Angela,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night",Very quiet . Peaceful. Great host .
Marg,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","We really enjoyed our 4 days at Dixie's place. We have stayed in many Airbnbs over the past many years and this was at the top of the list. The condo was beautiful- extremely clean, well equipped, comfortable and in a great location. And not to mention that the view of the golf course was excellent. Dixie was always available and made sure everything was going well. We will definitely book Dixie's place next time we are in Pinehurst. Thanks again for the great get-away!!!"
Fernando,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","The apartment is great, good location overlooking the golf course, yet private. Comfortable, clean and neat. It had everything we needed. The deck is really nice, especially at sunset. And the host is awesome, very proactive and responsive.
We would love to go back!"
Andrew,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Great place in a great location. Dixie is great with communication
Russell,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Great spot overlooking the golf course. Very clean and comfortable. Host was very responsive. Left a lovely selection of snacks and coffee!
Ray,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",We loved our stay - great host! We would definitely stay again.
Lindsey,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights","This was a perfect 4 day getaway spot, the back patio view is gorgeous. Perfect place for us two, quaint and everything we needed. Great morning walk spot too."
Christopher,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights",Really enjoyed our stay. We were celebrating my wife's birthday and we arrived to a birthday cake! What a great surprise and personal touch!
Peter,"Rating, 5 stars
,
·
February 2024
,
·
Stayed about a week",Nice place to stay for a week in Pinehurst.
Christy,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights",Condo was very comfortable and clean. Easy to access. Will definitely stay again in the future.
David,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights",We had a wonderful visit and will definitely use Dixie as a host in the future.
Lori,"Rating, 5 stars
,
·
January 2024
,
·
Stayed one night",The condo was an excellent place to stay. I highly recommend.
Karlie,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights",The place was amazing for a weekend in Pinehurst with my husband and one year old! It is so close to everything the area had to offer and a great home base. Dixie was very helpful with recommendations and a wonderful host. We will be back!
Christine,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights","This was perfect for my work trip to Pinehurst. It was quiet, relaxing and comfortable with plenty of options to recharge electronics. Dixie was helpful with questions and the guest book had great suggestions for places to eat and things to do. I hope to return for a fun trip."
Stephanie,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights","Lov love love this condo! I go to Pinehurst every year around this time and my regular condo was booked so i decided to check this one out and i am so glad i did. Everything including the hosts were a step up not that my previous condo was bad, this was just more my style. I just had back surgery so being on the second floor was a bit difficult but it won't be a problem next year, and the year after and so on. Highly recommend."
Holly,"Rating, 5 stars
,
·
December 2023
,
·
Stayed with kids","The location is perfect for visiting Pinehurst, Southern Pines, and FT Bragg. Clean and well maintained space with great amenities. Would definitely book again for a future visit."
Marianne,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights","We stayed at Dixies place for 5 terrific nights and we hope to return to her place soon. It was clean, beautifully decorated , quiet, safe and it had everything we needed for a great stay in Pinehurst.
Dixie gave us perfect directions, suggestions and was available if we needed her (which we did not).
We enjoyed the balcony for star gazing at night and our coffee in the morning watching the golfers go by. Dixies place was beyond our expectations and a great location!"
Brandon,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights","I really enjoyed my stay here for a few days, very clean very beautiful. I would definitely come back again!"
Krista,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights",Great spot! Felt right at home and had everything we needed! We would love to return!
Ryan,"Rating, 5 stars
,
·
November 2023
,
·
Stayed one night","Great quick stay in Pinehurst! Convenient to the Pinehurst resort and downtown, would definitely stay again!"
Dan,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights",Great place to stay right in the landing zone for tee shots on the 16th hole on #5. Very close to the clubhouse and the village.
Laura,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights",Excellent place! So convenient and right next to Pinehurst. We will definitely be back!
Casey,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights",What a treat of a place. Couldn’t be in a better spot for all the golf around. Great amenities and the space was everything described.
Haley,"Rating, 5 stars
,
·
October 2023
,
·
Stayed with kids","Great communication, cute condo, great location and a wonderful stay!"
Cecil,"Rating, 5 stars
,
·
October 2023
,
·
Stayed about a week","Clean, comfortable, and some thoughtful snacks waiting for us. Great location for the Pinehurst resort. We hope to come back."
Sarah,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights","The hosts were very friendly and sent plenty of clear instructions prior to arriving, including letting me check in early. The place is extremely clean, quiet, and has great views of the golf course. The bed wasn’t the most comfortable but it’s a very simple, clean place and is great for the value."
Ken,"Rating, 5 stars
,
·
September 2023
,
·
Stayed one night",just as described beautiful place wish we could have stayed longer we will definitely come back
Julie,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights","Dixie’s condo is one of those places that just immediately shows how much the hosts care about their guests. From the meticulous directions to the wonderful linens, it is all there! The location is great, peaceful and spotless - don’t hesitate!"
David,"Rating, 4 stars
,
·
August 2023
,
·
Stayed a few nights","unit was neat, clean, quiet, good parking, good appliances, great a/c and easy to find."
Taylor,"Rating, 5 stars
,
·
August 2023
,
·
Stayed a few nights","We had a wonderful stay at Dixie’s place! It was clean, the location is perfect if you plan to play golf and spend time at Pinehurst resort. We had an amazing baby moon, thank you Dixie!!"
Shelley,"Rating, 5 stars
,
·
August 2023
,
·
Stayed a few nights","Clean, comfortable, and all the necessities!"
Spencer,"Rating, 5 stars
,
·
August 2023
,
·
Stayed one night",I had a great stay! Super clean and nice upgrades. I loved hanging out on the balcony! I will be back.
Christopher,"Rating, 5 stars
,
·
July 2023
,
·
Stayed a few nights","Quiet and private spot, slept great. I was here for work, so didn’t get to do much extracurricular activity, but there is a lot of golf to play nearby."
Tracy,"Rating, 5 stars
,
·
July 2023
,
·
Stayed a few nights",Very clean and well appointed condo. I like the added touch of special treats and a wonderful coffee maker!
Scott,"Rating, 5 stars
,
·
July 2023
,
·
Stayed with kids","Our first time staying at Long Drive on #5 won’t be our last! The owners were responsive and helpful. The condo is exactly as described: clean, comfortable and well furnished.
The bed is comfortable, the linens and towels were clean and smelled wonderful, the instruction manual is helpful and easy to understand. We loved the screened deck and golf course view. If you’re familiar with the area, then you know the condo location is perfect for anything you’ll want to do around there.
Stay here, you will not regret it!!"
Michael,"Rating, 5 stars
,
·
July 2023
,
·
Stayed a few nights",Clean condo!! Easy access to the popular spots. Will return.
Greg,"Rating, 5 stars
,
·
July 2023
,
·
Stayed one night","Exceptionally clean and comfortable condo with a great view of the golf course. Dixie was such a great host; she contacted us well before our scheduled arrival to see if we needed anything special and to provide all information regarding the unit and checking in. We were traveling all day before arrival, and everything was perfect when we finally arrived; check in was super easy, the unit was at a nice temperature, and everything was perfect allowing us to quickly get settled in and comfortable after a long day of travel. Will definitely look to stay here on future visit(s) to Pinehurst."
Nation,"Rating, 5 stars
,
·
July 2023
,
·
Stayed one night",A perfect place for a quick business trip or a golf trip either one. Centrally located with nice touches. Dixie is a wonderful owner and Airbnb host.
Sandra,"Rating, 5 stars
,
·
July 2023
,
·
Stayed a few nights",Stayed for two nights while attending a family event. Close to everything. Clean and comfortable.
Annette,"Rating, 5 stars
,
·
July 2023
,
·
Stayed with kids","We had the absolute best stay at Dixie, Will and Charles’s place. We felt completely at home. Everything was clean, comfortable and cozy. Check in was a breeze. We were in town for our daughter’s golf tournament and she loved watching other golfers playing from the balcony. The surrounding area was nice and quiet. We even met a few neighbors and chatted up with them and their fur babies. My daughter also loved the Camelot Park that was only a few miles away. If you have little ones this is the perfect spot for a little fun. We will definitely be staying again in the future. If you are looking at staying close to the main Pinehurst clubhouse and good food look no further than The Long Drive on 5!
Thank you"
Molly,"Rating, 5 stars
,
·
June 2023
,
·
Stayed a few nights",Wonderful stay in a beautiful location.
Zachary,"Rating, 5 stars
,
·
June 2023
,
·
Stayed one night","Dixie’s place was a 100/10! Quiet, close to all the top recommendations, and most importantly clean and cozy! She made sure instructions were easy to follow and then some! A travelers dream, especially those who are golf lovers! Would HIGHLY recommend for those who visit Pinehurst- a huge thank you for hosting us!"
Travis,"Rating, 5 stars
,
·
June 2023
,
·
Stayed a few nights",Great place will use again
Ashley,"Rating, 5 stars
,
·
June 2023
,
·
Stayed with kids",The host was super thoughtful and proactive before our trip and during the stay too. We were visiting for a Youth PGA Golf Clinic and the location was very convenient.
Lynn,"Rating, 5 stars
,
·
June 2023
,
·
Stayed one night","We loved this cute little space, especially the deck overlooking the golf course. Dixie provided a helpful list of restaurant recommendations and we had an great meal. We were glad for the detailed instructions that Dixie gave because of the similarity of the appearance of the units. Remember your quarters for the coin laundry if you need to wash clothes."
Jill,"Rating, 5 stars
,
·
June 2023
,
·
Stayed a few nights","I cannot say enough about how wonderful our stay was. I was hesitant to book because it was a relatively new listing, but since all the reviews were so positive, I took my chances. I’m so glad that I did! Dixie is extremely responsive and answered all my questions almost immediately. Check in was extremely easy with the code provided so no need to worry about keys or locking the door.
The condo itself is lovely, modern, beautifully decorated and everything seemed new and spotless. Lots of snacks available as well as coffee and tea. I enjoyed getting up each morning and sitting on the balcony with my coffee overlooking the golf course.
The club house is within walking distance if you so desire.
The full bed is very comfortable and I appreciated the luggage rack that was in the closet.
The information book Dixie left has everything you’ll need. I’d give this place a 10 if I could! We hope to come back!! Thank you for sharing your lovely place with us!"
Lorelei,"Rating, 5 stars
,
·
May 2023
,
·
Stayed about a week",Very relaxing. Loved sitting on the balcony watching and listening to the birds and watching the golfers. Convenient to the village and southern pines.
Melanie,"Rating, 5 stars
,
·
May 2023
,
·
Stayed a few nights","We had a wonderful stay at Dixie’s place. It was very clean, updated and perfect for a couple. Lovely view of the golf course and easy to get to downtown Pinehurst."
Michael,"Rating, 5 stars
,
·
May 2023
,
·
Stayed a few nights",The condo was perfect for our golf getaway. It was in a great location close to the main Pinehurst village and restaurants. Very clean and exactly as advertised. Highly recommend staying here!
Cindy,"Rating, 5 stars
,
·
May 2023
,
·
Stayed a few nights","Absolutely great time. Place was in a perfect location. Host’s communications were prompt and informative. Appreciated hosts special touches, we felt right at home. Thanks!"
Mary,"Rating, 5 stars
,
·
May 2023
,
·
Stayed a few nights",I really enjoyed the condo!
Jackson,"Rating, 5 stars
,
·
May 2023
,
·
Stayed a few nights","A great stay, clean and great location!"
Jeff,"Rating, 5 stars
,
·
May 2023
,
·
Stayed a few nights",Great condo for 2. Nicely decorated and good view. Hosts are welcoming and responsive
Justin,"Rating, 5 stars
,
·
April 2023
,
·
Stayed one night",Dixie was a perfect host. Very responsive and friendly. Will be returning!
