name,rating_info,review_text
Anthony,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed a few nights","Stayed at the apartment for two days while helping my daughter who is in college move out of her dorm. The location is perfect. Many restaurants within walking distance. Off street parking was ideal. And the overall layout of the apartment was wonderful. The second story loft was very cute. And when I return in the fall, I will definitely be staying there once again.
Photos are accurate and the apartment was spotless.
The perfect place to stay."
Conor,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed one night",Great location and a great apartment. Plenty of space and everything went smoothly the whole time. Would recommend!
Sandy,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed one night","Beautiful place, great communication, thank you!"
Paula,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",It’s the best air bnb in Providence!
Amy,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night",We stayed a night at Jennifer's Loft. My teens and I enjoyed the quiet neighborhood. Jennifer was responsive and gave clear communication. The place was exactly as it was described. We enjoyed our stay.
Sascha,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night","Easy walk to campus, off street parking. Clean and wuiet"
Barbara,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night","Cute, clean apartment in a quiet area. Excellent instructions and communications with Jennifer."
Crystal,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night","We enjoyed our stay at Jennifer’s place immensely! The apartment is so cute and very comfortable! We only stayed 1 night, but will definitely return and stay here again!"
Lori,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with kids","Would stay again! Super convenient to Brown, very clean and comfortable."
Kathy,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","Jennifer's Loft was perfect for our needs. (We had 3 people, but 4 would have been comfortable, too.) The loft was exactly as described. While we had a car, we literally walked everywhere. On top of being a great location, Jennifer's place was clean, cute, and comfortable. We didn't cook while we stayed, but we easily could have. If our daughter commits to Brown, then Jennifer's Loft may become our new home-away-from-home for the next 4 years. :) Thanks for a great stay!"
Mark,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Had a great time. The host was super responsive and helpful.
Katie,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night",The location was absolutely perfect for my conference at Brown and enjoying local awesome restaurants and shops too!
Mary,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","Great location to campus. Also walkable to Red Stripe, CVS and Starbucks. Would stay again!"
