name,rating_info,review_text
Kyle,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Great Airbnb! Perfect for my team. Will look up again next time in town.
Jennifer,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","Great place to stay, clean and cozy. We will be back"
Freda,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with kids",Francine’s place was absolutely beautiful! She was a wonderful host- I would definitely book with her again!
Gabriela,"Rating, 5 stars
,
·
February 2024
,
·
Group trip",Great stay at Francine's! Not at all far from where we were working from and she was always so helpful and responsive. Fully recommend!!
Noah,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights",Great stay as always!
Noah,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights","I would say third time is the charm, but all three stays have been excellent! Can’t speak any more highly of this stay & host!"
Harry,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights",Home was what we needed and worked out great for our week long project.
Noah,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights",I was extremely happy to see Francine’s place was available again this week. This is our second time staying and won’t be the last! I highly recommend both her as a host and her Airbnb! Thank you again!!
Noah,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights","Perfect place, perfect host!"
Candace,"Rating, 5 stars
,
·
4 weeks ago
,
·
Stayed with kids","This place was amazing. Beautiful home, quiet, peaceful and the pond was amazing. It was close to town about 5 mins but it felt very private. The owner and her cousin were very helpful and great communication. Will be back as soon as we can."
Tina,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","The host was lovely and the home had everything we needed, even a little boat to row on the private pond. I loved the location and it was our favorite part of our vacation."
Jody,"Rating, 5 stars
,
·
March 2024
,
·
Group trip",very nice place 👌
Matthew,"Rating, 5 stars
,
·
February 2024
,
·
Stayed over a week","The cabin is a magical place. The pond, the trees, the property and trails. We sincerely did not want leave when our time was up... Haven't been that relaxed in years! Take care of the place and it'll take care of you!"
Brian,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights",Truly incredible place and space.
Kendra,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights",Absolutely wonderful place.. our trip was kinda a mess .. we were delayed 3 days and the owners were amazing and let us stay extra days and were very caring and offered to get us things. 100% recommend beautiful place
Ciro,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights","Great cabin, just not as remote as we thought."
Jennifer,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights",My daughter had her 15th birthday weekend with her girlfriends!!! The loft area was so perfect and roomy for all four girls!!!! There was a master bedroom for two adults and downstairs bathroom! Lovely teenage birthday bash!!!!!!
John & Cheryl,"Rating, 5 stars
,
·
September 2023
,
·
Stayed with a pet","Drag Week 2023 is what brought my husband and I to Rockingham. Rockingham Dragway and Rockingham Speedway are less than ten minutes from the cabin. Being avid race fans, we considered it a bonus that we could sit on the porch overlooking the lake and hear the familiar sounds of drag racing in the distance.
The cabin is cozy and comfortable. The property is beautiful and inviting. Having a full kitchen was nice as we were able to easily prepare our meals. The porch overlooking the lake is where we spent a good bit of our time. We enjoyed our stay and hanging out with Patty the duck was a highlight.
Lisa was wonderful. She checked in on us to make sure everything was good to go and even shared a bit of history regarding the cabin."
Sandra,"Rating, 5 stars
,
·
September 2023
,
·
Stayed with kids",Our family had a peaceful and quiet weekend. Loved the deck and rocking chairs. The fishing was great and the kids loved swimming and playing in the water!
Theresa,"Rating, 5 stars
,
·
August 2023
,
·
Stayed with a pet","It was a great place to re-unit with our family. The pond was great for swimming and fishing. Or, just sitting the deck and enjoying. We enjoyed the trail, too."
