name,rating_info,review_text
Kristi,"Rating, 5 stars
,
·
1 day ago
,
·
Stayed a few nights","The place is decorated so cute! It’s clean, in a great location and so we’ll stocked. Bevin was responsive and all check in/ check out instructions were clearly communicated."
John,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed a few nights",This was definitely one of our favorite Airbnb’s! Bevin was great. She gave us restaurant recommendations and was very responsive. We were in town for a baseball tournament at LA Tech. It is right around the corner. We will def stay here again if we ever come back!
Kristen,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed a few nights","A wonderful find! Lovely accommodations close to LA Tech. We’ll-appointed with everything I needed! Bevin was a great communicator - we never crossed paths - she gave me full privacy- but communication throughout was great. Great location, great amenities, easy check in!"
Kristen,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed a few nights",I had wonderful stay.
Mandy,"Rating, 5 stars
,
·
May 2024
,
·
Stayed a few nights",Bevin was awesome and the space was excellent! We will be staying here again!!
Morgan,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Bevin was extremely welcoming and responsive. The airbnb looked just like the photos and was perfect for us!
April,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","Super cozy, quiet, and absolutely perfect! I needed it for a work related trip, but I will use it again just for pleasure this summer! Bevin is an amazing host!"
Megan,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Really cute cottage for a weekend stay! Safe and comfortable. Definitely recommend!
April,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","Another amazingly peaceful stay! I love the private entrance, the secluded feel even though it’s so close to all necessities, and the host is the best!"
Brady,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",What an adorable find in Ruston! Quite and in a GREAT part of town. Super convenient to everything. Private parking and entrance. Owner left sweet touches to welcome us and the kitchenette was stocked. Front porch was welcoming and we cant wait to go back!
April,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights","This place was absolutely perfect! Great location, peaceful, and the amenities were exactly what I needed. Bevin was the best host. She was responsive, helpful (when I thought I locked myself out 😳) and personable. Great start!"
Jt,"Rating, 5 stars
,
·
2 days ago
,
·
Stayed with kids",Great place to stay also a great place to have a birthday party at
Rickey,"Rating, 5 stars
,
·
4 days ago
,
·
Stayed a few nights",It was nice stay. I’ll consider coming back if I’m in the area.
Roy,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed one night","This place is amazing and I don't think words can adequately describe it. I am so surprised we could even get a reservation because it is so fantastic. We only stayed one night but it was so cozy, and comfortable. It was quiet and so relaxing. Super clean and had everything we needed and more. Lights on when we arrived late. Muffins in the freezer for breakfast. The ambiance, character and simple charm is beyond description. The communications was over the top and all the time we were there we felt so welcomed. Sharon allowed a late check out which we really appreciated because we had arrived late and our old tired bones sometimes don't get going to quick anymore after a short night. Just can't say enough about how enjoyable this stay was for us. If you have never experienced staying in a ""dog trot"" cabin (that is what I call it), you should most certainly check this one out. It is truly a nice place to stay and visit."
Douglas,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed a few nights","Our stay at Ellie’s Place felt like a little slice of heaven. Every detail was taken into consideration, soft towels, all of the amenities, the snacks and much more. We enjoyed the quiet surroundings and sat on our front porch every evening watching the fire flies dancing in the dark! Thanks for preserving a little bit of history and sharing it with the rest of us. Sharon kept in touch throughout our stay to see if we needed anything and it was such a pleasure meeting her before we left. Hoping to make it back there soon and will definitely stay at Ellie’s Place!"
Kenneth,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed a few nights","Hi Sharon,
thanks for hosting me at Ellie's Place. The rooms were super clean, well appointed and comfortable. I would certainly return to stay again."
Jackie,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed one night",Ellie's Place was a lovely little place to stay. Well-maintained but still full of old charm. Our host was very friendly and accomodating. We would definitely consider staying again.
Sabrina,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed one night","Enjoyed my short stay very much, very peaceful, comfortable, great amenities. The blueberry muffins are amazing! Sharon is a great host. I look forward to staying again."
Danielle,"Rating, 5 stars
,
·
May 2024
,
·
Stayed with kids","Great place immaculately clean, convenient to Ruston and LA Tech."
Eric,"Rating, 5 stars
,
·
May 2024
,
·
Stayed one night",Sharon was a wonderful host and the place exceeded expectations by any standard. Thank you again
Leslie,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Never disappoints! Sharon is the perfect host! Every detail to make your stay feel like home has been thought of!! Can’t wait until next time!
Judson,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","We really can’t say enough good things about the experience we had at Ellie’s Place….but I’ll mention at least a few. Great location, very peaceful & quiet, lovely surroundings, PRISTINE CLEAN, very comfortable & charming. Also Sharon and Ralph are extremely friendly and make you feel right at home. I go to Ruston quite a bit to ride mountain bikes at Lincoln Parish Park. This place is about 6 minutes from the Park. It’s the perfect place for us to stay in the Ruston area!"
Kiesha,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night",The best host for our baby shower was a beautiful setting and background for maternity pictures. The cabin is beautifully restored and felt right at home. We loved how accommodating and quick to respond.
Dana,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","We always love coming back to Ellie’s place. Beautiful surroundings, wonderful host, and lovely accommodations all make staying here an awesome experience! We love staying here when we are here in Ruston visiting our college son!!! Can’t wait to come back!"
Angela,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","We thoroughly enjoyed our stay at Ellie’s Place. From the extra toiletries left out in case we forgot anything to the delicious muffins and snacks left out for us, the owners are have thought of everything (and more) to make the stay welcoming and comfortable. Sharon and Ralph are very kind and accommodating hosts, and we enjoyed visiting with them during our stay. We definitely look forward to staying here again in the future."
Bishop Frederick,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","Ellie's place was a beautiful, peaceful home away from home and we really enjoyed our stay! 5 stars"
Leslie,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Always a great place to stay. Sharon exceeds our expectations every time!
Leslie,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",We absolutely love staying here! Sharon’s attention to detail makes everything perfect! She manages to think of every little thing to make your stay the best it can be!
Rhonda,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","We have stayed at several Airbnb homes and this was by far the BEST one EVER. It was super clean, cozy and Sharon made sure every need she thought we might have was taken care of before we ever checked in. The linens were fresh and clean. The bed was very comfortable. We were there for my daughters wedding so I didnt have the time to sit on the porch in the rocking chairs and take in the beautiful wooded scenery! But next time I will for sure! Its in a perfect location…tucked away so it was private and peaceful but just a short 10 min drive to all kinds of restaurants and things to do. Also I have to mention all of the personal family heirlooms Sharon has in the house made it an extra special place to stay! LOVED IT!"
James,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights",A great place to stay
Leslie,"Rating, 5 stars
,
·
February 2024
,
·
Stayed one night",We had to cancel last minute due to weather. Sharon was very understanding. She responds in a timely manner. Can’t wait til our next stay.
James,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights",Great like alway!!
Dana,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights",Ellie’s Place is a little hidden gem in Ruston! We have stayed several times as it is our favorite place to stay. Sharon is very helpful with recommendations of things to do and where to eat. We love coming back to this little piece of nature! Can’t wait til we are back again!
Suzanne,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights","This is our third time staying in this lovely, unique space. It’s always so clean and Sharon is such a gracious host. We will definitely return."
Navy,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights",This place was perfect for a weekend getaway in Ruston. It has everything you need plus a couple extra perks that make your stay that much more enjoyable.
Roger,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights","We absolutely loved our weekend stay at this location to visit family in the area. The dog-trot home is unique, and has been perfectly upgraded. The surrounding area was private, and quiet. Much better than a hotel room. We will be staying there again when we plan future visits. Ralph & Sharon are great hosts. We highly recommend this Airbnb."
Melaysia,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights","This place was so beautiful, peaceful and private! I absolutely loved it. It was extremely clean and had everything you could think of. The bed was so comfortable!! I would definitely book again!! : )"
James,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights",Great place
Tim,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights",The absolute best AirBNB experience I’ve ever had. Wow!! Great location and very private & serene. Truly felt like home and was very comfortable. The hosts were great and very accommodating with a nice personal touch. Highly recommended!!
James,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights","Its a great place to stay
We do ever time we in Ruston"
James,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights",Great as always
Mark,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights","Thank you for allowing us to stay. Your service is commendable!
I liked the country feel even though it was a few miles from the center of town. Very nice."
Alexis,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights",It's my 2nd time and loved it even more this time!! I was so relaxed. The setting was so peaceful. Saw a baby deer!! Host was so sweet. All the ammenities I wanted. I especially liked the bagels & muffins. We'll be back!!
James,"Rating, 5 stars
,
·
August 2023
,
·
Stayed a few nights",We will be back!!
