name,rating_info,review_text
Samar,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed a few nights","It was a wonderful stay, had everything we needed and very cozy! Great stay for a great price :)"
Tatjana,"Rating, 4 stars
,
·
2 weeks ago
,
·
Stayed a few nights","Roberto was very friendly and the communication went well. Located in a quiet neighborhood and was well equipped (kitchen with fridge, stove, microwave, washer and dryer). Roberto kindly left water in the fridge for the guests. Unfortunately, the fire alarms were removed contrary to the description and partly it was not completely clean (dishes, floors (partly) not wiped). Otherwise a enjoyable stay."
Jose,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed one night",Great place to stay
Melissa,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed with a pet",Thank you for the quiet comfortable stay.
Abdullah,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed one night",Good airbnb to stop at while visiting Monterey
Mikayla,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed one night",It was a side house not a full home that’s my only thing that was wrong with the booking everything else was amazing
JayJ,"Rating, 5 stars
,
·
4 weeks ago
,
·
Stayed one night","On the first day of our self-driving trip off of Route 1, we chose this house as a place to rest for the evening.This house was very clean with all the amenities and not hard to find with the navigation.I was able to get a good rest here after a long day of driving.I would recommend this property to other visitors."
Ellie,"Rating, 5 stars
,
·
May 2024
,
·
Stayed one night",Favorite Air B&B :)
育襦,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night",Clean
Ellie,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night","Favorite place, as always!"
עדן,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with kids",It was prefect place .
Ellie,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night","As always, I LOVE this spot and the owner is so sweet and accommodating to any needs you could ever have or need. Definitely one of my favorite, go to places to stay at whenever it is available! :)"
Doug,"Rating, 4 stars
,
·
April 2024
,
·
Stayed a few nights",Perfect spot to use as home base for nearby events/activities.
Julianna,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","I’m so glad we changed plans from staying in a hotel to staying at Roberto’s place. This cute one bedroom was thoughtfully designed and functional. We slept great in the comfortable bed. The couch and bar stools were also very comfortable. The neighborhood is very quiet and friendly.
I would not hesitate to recommend this rental to a friend. I hope it’s available for the next time we come to the Monterey Peninsula."
RuthAnne,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",This was a beautiful home that was close to everything. Definitely would stay here again!
Zoe,"Rating, 4 stars
,
·
April 2024
,
·
Stayed one night","Comfortable place to stay, very large and convenient washing machine and dryer. Thanks Roberto!"
Marcel,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night","Great stay, especially with the well-equipped kitchen! Can 100% recommend."
Carolina,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night",Perfect little spot for a nights stay.
Carmen,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with a pet",Perfect for a family of 3. Close to many restaurants. Place was super clean and easy to check in. We will definitely come back to this place on our next trip out there.
Kendall,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night",Matched the description. Host communicated well. Easy check in.
Truong,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night",It is really cool place. Everything is work so well. We stayed for only 1night but the preparation is really good and the host is really kind. 🥰
Mellisa,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night",My first time staying in an airbnb and I couldn’t have had a better experience. I love how I was able to park immediately in front. The bed was cozy as was the couch. Will DEFINITELY be coming back
Maria De Jesus,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night",Enjoyed the stay
Delfina,"Rating, 5 stars
,
·
February 2024
,
·
Stayed one night",Perfect stay. Easy to find and super clean. We slept well. He even had some soap and shampoo samples out like they do at hotels. Washer and dryer in unit. We would recommend this place
Hugo,"Rating, 5 stars
,
·
February 2024
,
·
Stayed one night",Perfect cozy spot and very clean
Thatcher,"Rating, 5 stars
,
·
February 2024
,
·
Stayed one night",Had a great stay
Ellie,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights",My favorite place by far and he is such a sweet heart!
