name,rating_info,review_text
Maria,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed a few nights",Adorable loft!
Anthony,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed a few nights",Worked well for what we were looking for. Inviting and well furnished!
Julia,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed with a pet",Brant was super helpful with recommendations for things to do in the area as well letting me check out a little later than normal checkout time. He was quick to respond to my messages. If we ever go back to Salisbury we plan on staying here again.
Seth,"Rating, 5 stars
,
·
May 2024
,
·
Stayed a few nights","Wonderful place right downtown! Was rather taken back when I walked in to see how beautiful the place was. Great price for this solid unit. Easy parking, good amenities, food and bars are very close. Will stay again!"
Arlene,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night",We had no problem finding the apartment. It was on the second floor over a very nice restaurant. We had a question and Brant answered very quickly. We would stay there again.
Greg,"Rating, 4 stars
,
·
April 2024
,
·
Stayed a few nights",We had a very nice and comfortable stay for the few days we were in Salisbury. Good location for a reasonable nightly rate. Would stay here again.
Danielle,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night","Great location for our needs, place was clean and spacious. Host was responsive and friendly."
Heather,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",It was a great stay and great location and comfortable! Had good amenities & great space for multiple people. Parking was easy too. Loved the local recommendations provided
Dale,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",great place. great host
Neil,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Always a great stay. Not my first time here and won’t be my last time. Brant is a good dude and his place is always great!
Lisa,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night",Perfect location and perfect host. Highly recommend!!
Adline,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights","Easy to access, noise level is not bothersome, cozy loft, and responsive host."
Catina,"Rating, 5 stars
,
·
February 2024
,
·
Stayed one night","We loved the loft! Clean, great location, very cool place to stay. The rate was great and walk right down to the Mad Hatter that has great food! Highly recommended!"
Raymomd,"Rating, 3 stars
,
·
February 2024
,
·
Stayed one night",Great spot for a quick stay.
Bobby,"Rating, 5 stars
,
·
February 2024
,
·
Stayed one night",nice house we fell home 🥰
Jennifer,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights",We enjoyed our stay! Brent communicated quickly when we had a question. We will stay there again if we travel back to Salisbury!
Chevonne,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights",Love the place my stay was awesome. Great communication great apartment.
Janet,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights",Very charming loft in downtown Salisbury with a view of the river: what’s not to like? Brant was a great communicator and the loft was supplied with all we needed. 2 thumbs up! 👍
Matt,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights",Great place would stay again.
