name,rating_info,review_text
Emily,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed with kids",It was so nice to spend a few days in this charming house. It's on a lovely quiet street. The surroundings are beautiful. And it's an easy walk to town. We were really happy with the clean and comfortable space for our family and would definitely stay again. Thanks!
Thyra,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed a few nights",This was a wonderful airbnb to stay at for my son's wedding. The place felt like home.
Melissa,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed with kids",Great location for our tournament. We throughly enjoyed our stay!
Margaret Linda,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed a few nights","Excellent location and value - a beautiful place, very clean, well appointed with everything you could possible need. Plus extremely cute and spacious!"
Madison,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Such a cute cozy home. Amber is a super kind and responsive host. There was a small issue with checkin time and we appreciate that she let us know. Would stay here again!
John,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Very well-appointed and well-supplied. Everything we needed was there. The house was much more comfortable than we expected. Amber was very nice and accommodating. Would definitely stay there again.
Don,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",The Comfy Bear Cottage was a wonderful place to stay and served as a great home base for our Sandpoint adventures! I would be happy to return!
Marlize,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with kids","We loved our stay at Amber’s house. It was clean, well stocked and great for a family stay."
Thomas,"Rating, 5 stars
,
·
February 2024
,
·
Stayed with kids","Great house in a good, convenient location. Everything was super-easy and as described. Thanks for a great stay!"
John,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights",Great cozy condo. Close to downtown.
Susan,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed one night",This place was very clean! Samuel is responsive and willing to help! It was walkable to downtown and groceries are extremely close!
Cassandra,"Rating, 5 stars
,
·
1 day ago
,
·
Stayed a few nights","Mike and Emma were excellent hosts. They were quick to communicate and checked in frequently to ensure we had the best stay. They even let us check in early and gave us the option to check out late (we didn’t need to). The home is cozy and the perfect size for two people. If you aren’t as mobile or have a difficult time getting up stairs, you may want to consider a different home. It’s a steep climb up to the bed. We didn’t have any issues, but want others to be aware just in case. The tiny home was perfect for a three night trip to visit some friends in town. We’d gladly stay again! Thanks, Mike & Emma!"
Ashton,"Rating, 4 stars
,
·
2 weeks ago
,
·
Stayed a few nights",The tiny home was charming and felt like a camping getaway while still being in the center of downtown! The location is very walkable and near all the great restaurants. Mike's instructions were very clear and he was very responsive to messages. I ended up having to check out early and Mike was very understanding and helpful.
Angel,"Rating, 4 stars
,
·
April 2024
,
·
Stayed with kids",Our second stay at the tiny house and it was perfect location and space for our needs.
Allen,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Loved our stay. The tiny house had plenty of room for 2 people and there was a lot of attention to detail in the design/construction. We were 1 block from 2 outstanding restaurants. Highly recommended!
Nicholas,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights",Tiny home was amazing. Mike was extremely responsive and location is great to walk around town. my girlfriend and I enjoyed every minute of it and would highly recommend!
Aaron,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights",Fun tiny home experience. Would stay again.
Sam,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights","As advertised, this tiny home was cozy and enjoyable for our 2-night stay. All amenities were quite functional: porch, grill, kitchen, TV, shower, upstairs bed. Downtown location is perfect for walking to bars and restaurants."
Joe,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights","What an amazing place to stay! We walked to downtown in less than 3 minutes, were a quick drive from Schweitzer, and had a wonderful time in the tiny house at Sandpoint!
Mike was proactive and super responsive from check in to check out, and the house had everything we needed and so much more.
We had such a great time and couldn't have picked a better place to stay for our first trip to Sandpoint. Thank you!!"
Brandon,"Rating, 5 stars
,
·
October 2023
,
·
Stayed with kids","Mike is still my favorite host out of any of my stays using airbnb! Amazing communication, and always a warm welcome! Incredible tiny home with intentional attention to detail and an awesome sound system throughout the house! And my daughter loves the fireplace and the loft bed with the hatch roof! Can’t wait to stay here again next summer✨"
Lorena,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights","My week-long stay at Mike's Tinyhome in Sandpoint was an absolute delight! Despite its small size, the tiny home offered a cozy and warm atmosphere, even during cooler weather. The shower was nice and spacious, and the well-equipped kitchen made mornings a pleasure. Lounging with coffee and movies was a fantastic way to start the day.
While we didn't get a chance to use the barbecue and bicycles, their accessibility was appreciated. The outdoor lights created a lovely ambiance, and the loft area with its window overlooking the trees and sky was a unique and enjoyable experience.
Mike's guide to nearby activities and restaurants was a valuable resource, and the coffee provided was delicious, introducing us to a great coffee shop. The location of the tiny home was perfect, allowing us to walk around town, explore the beach, and enjoy nearby trails.
In summary, Mike's Tinyhome is a hidden gem in Sandpoint. I highly recommend it for a cozy and convenient stay. Thanks, Mike, for mak"
