name,rating_info,review_text
Brian,"Rating, 5 stars
,
·
April 2024
,
·
Stayed over a week",Rita's place was really wonderful made me feel right at home.
Nikolas,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Rita’s house was great. We worked all week and just needed a place to eat dinner and sleep. Would recommend or stay again.
Darcie,"Rating, 5 stars
,
·
January 2024
,
·
Group trip","Great host,Property was very cozy,had the perfect layout for spending time with friends and family.highly recommended"
Lindsay,"Rating, 5 stars
,
·
December 2023
,
·
Stayed with a pet","We absolutely loved staying at this Airbnb! The house was clean, had plenty of space to move around, and was absolutely adorable! We stayed at Christmas time, and the house was all decorated for Christmas when we arrived. It was the perfect location for me when visiting family, and was right off of the highway so it made it was very convenient for that reason as well! We stayed with our dog, and Rita even made sure to leave a roll of dog bags out for us, which was so kind! Thank your the wonderful stay! :)"
Roger,"Rating, 5 stars
,
·
December 2023
,
·
Stayed about a week",Rita was a great host. We would stay there again when in the area. she was very prompt and easy to work with
Alexandra,"Rating, 5 stars
,
·
December 2023
,
·
Stayed with a pet",Great place!
Linda,"Rating, 5 stars
,
·
October 2023
,
·
Group trip",Rita is a great host!! EVERYTHING is already at the house that you would need to feel right at home! Stayed once before and was even more exciting to stay this time with the Halloween and Fall decorations that she added. Also liked the screened in porch area that was added from the previous stay. Both additions made it more of a home like feel! Ample space in the house and for a great price!
Sherrie,"Rating, 5 stars
,
·
October 2023
,
·
Stayed with kids",Our family enjoyed our stay.
Linda,"Rating, 5 stars
,
·
September 2023
,
·
Stayed with kids",Rita was great with communication and very prompt with it! There were little notes all throughout the house that were very helpful! Lots of room inside the house! Quiet area on a one way street and easy to find.
Rion,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights",Rita was an excellent communicator. We had everything we needed. A fantastic stay at cozy home in Chemung!
