name,rating_info,review_text
Darlene,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights","Very clean, FULL kitchen and all the directions and labels on everything were very helpful! Everything was considered for the guests!"
Kathi,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights",Loved the rental. Daily visits by wonderful kitty. Kitchen & bath stocked well. Private. Definitely will rent again!!
Andrea,"Rating, 5 stars
,
·
October 2023
,
·
Stayed one night",Our stay was very comfortable and exactly what we had in mind. Rhonda provides many thoughtful ‘extras’ to make guests feel welcome.
ToddandCarrie,"Rating, 5 stars
,
·
October 2023
,
·
Stayed one night","Rhonda’s place is very nice and quiet. From the moment you step in, you feel right at home. It’s very clean and has everything you could possibly need. The only disappointment was that her fur babies didn’t stop by to greet us! 🙂
We will definitely stay here again when we’re in the area."
Dana,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights","We loved our stay! The house was so clean, the beds were comfortable (even the futons were great) and the shower was amazing. We really appreciated all the little details like everything being labeled and a fully stocked kitchen and bathroom. The pool and fire pit were an added bonus and made for such a fun girls weekend! Close enough to Brown County for a day trip to Nashville for shopping and site seeing."
Dana,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights","This is a great place to stay!! Cute, easy to find, very clean, and Rhonda was super nice and helpful. The house is comfortable and there are many extras that make you feel at home (like friendly cats, cute decor, and lots of games!). This is a perfect little place to stay and we would definitely book it again!"
Amy,"Rating, 5 stars
,
·
September 2023
,
·
Stayed one night",Very nice place and setting! It was super clean and comfortable. It was the perfect place to stay after a long day of driving. So much better than staying at a hotel!
Josh,"Rating, 5 stars
,
·
September 2023
,
·
Stayed one night",Excellent stay. Clean and peaceful. I felt right at home!
Debra,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights","Rent this place last year and loved it so much I came back again this year. It is a peaceful little place out in the country and has its own pool. A great escape for a girl's trip and about 20 minutes from Columbus, Indiana. She has practically everything furnished in the place that you would normally have in your own home. People, this place is the best place to rent if you are traveling or just need a home away from home for a short vacation. If Rhonda the host of this property had other ones to rent I would only rent from her. Thanks for everything."
Jacquelyn,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights","We enjoyed our second visit to Rhonda's place SO much! It is beautiful, clean, well-stocked, quiet-- everything we want in a vacation stay! The pool was crystal clear and so inviting that we spent most of our time in the water. We will absolutely come again!"
Jason,"Rating, 5 stars
,
·
August 2023
,
·
Stayed with kids",So beautiful! My family loved staying here!!
Jessica,"Rating, 5 stars
,
·
August 2023
,
·
Stayed with kids","Our second time staying at Rhonda’s and it was just as great as the first time! This time we took the kids as a little end of summer trip, and one last pre-baby getaway for us all. The kids loved the pool and the dog! ❤️"
Debbie,"Rating, 5 stars
,
·
August 2023
,
·
Stayed a few nights","I loved my stay and will definitely be back when I return to the area. The laundry facility was really nice. Having a lot of extras including plenty of pillows, towels and spices/condiments in the kitchen."
Tracy,"Rating, 5 stars
,
·
August 2023
,
·
Stayed with kids",What a truly beautiful place! We have stayed in 30+ Airbnb locations across the country. this one is an absolute gem! Rhonda and her husband went above and beyond. We will definitely be returning again. Highly recommend!
Melody,"Rating, 5 stars
,
·
August 2023
,
·
Stayed a few nights","The Relaxation Station was just what we asked for!
The pool is great, we did not feel like we needed to go anywhere. We brought some simple meals and just enjoyed ourselves.
A nice visit with Rhonda."
Jordan,"Rating, 5 stars
,
·
August 2023
,
·
Stayed a few nights",Rhonda was a great host! Exactly as described!
Jessica,"Rating, 5 stars
,
·
August 2023
,
·
Stayed a few nights","Rhonda’s airBNB was just what we were hoping it would be. Relaxing, private, and comfortable. She was responsive and friendly anytime I needed to message! We’ll definitely be staying again, except this time we’ll bring the kiddos back with us since it is so kid-friendly! :)"
Jacquelyn,"Rating, 5 stars
,
·
August 2023
,
·
Stayed a few nights","Rhonda was a perfect hostess, making our stay at The Relaxation Station absolutely perfect! It was so great that we NEVER LEFT until it was time to check out! We especially loved the in-ground pool, amazing shower, fully-equipped kitchen and outdoor gathering space with a grill and fire pit. In case of rain, we had movies, a large screen TV, and lots of board games to play. Thoughtful touches were everywhere. Thank you Rhonda!"
Rachel,"Rating, 5 stars
,
·
July 2023
,
·
Stayed a few nights","This place was fabulous. Totally spotless, private, and absolutely adorable. The pool is a great added bonus and Rhonda the host is the best. Highly recommend as although very private setting we were within 10 miles of everywhere we needed to be for our weekend stay. Thanks for a great experience."
Laci,"Rating, 5 stars
,
·
July 2023
,
·
Stayed one night",Great last minute getaway! Beautiful property! Loved the saltwater pool and the private back patio was extremely peaceful. The home was very clean and fully equipped with everything you may need! I will definitely be back to enjoy another stay at relaxation station!
Varina,"Rating, 5 stars
,
·
July 2023
,
·
Stayed with kids",Great place to stay to break up a long road trip. My kids ( and I) especially loved the saltwater pool! Everything in the house is clearly marked. It is obvious that the owner cares for the property and her guests. It fit our needs perfectly!
Maggie,"Rating, 5 stars
,
·
July 2023
,
·
Stayed one night","We felt so comfortable and relaxed here. The house was well stocked, clean and had a book of helpful instructions. The pool was also great! We'd happily stay here again!"
Tami,"Rating, 5 stars
,
·
July 2023
,
·
Stayed one night","This place was everything I wanted. The area was beautiful and the place was very nice. She had everything a person could want inside,it was very clean,and it was quiet. Having a pool to use was awesome,and we watched the sun set over a corn field. Rhonda made sure to make our stay special, as I was celebrating my birthday. It was really great to get to chat with her and know more about the place. She was very attentive to questions that came up,and I wish we could have stayed a few more days.This is definitely a place I'd like to come back to."
Amy,"Rating, 5 stars
,
·
July 2023
,
·
Stayed a few nights","Very clean, beautiful setting, and the pool was perfect! The kitchen has everything you need, lots of extras in both kitchen and bathroom, and the bed was very comfortable. Would definitely stay again!"
Tareq,"Rating, 5 stars
,
·
June 2023
,
·
Stayed with kids","Rhonda’s place was great. It was very clean, stocked up, and very enjoyable. Would definitely recommend it to others."
David,"Rating, 5 stars
,
·
June 2023
,
·
Stayed one night",Amazing stay!
Rachel,"Rating, 5 stars
,
·
June 2023
,
·
Stayed with kids","This a beautiful AirB&B! The owners clearly care about this home. It's very clean with many small touches that add comfort. The space is bigger than expected. The pool was clean and inviting. Perfect depth for our 10 and 13 year old children. We love kitties, which is good because one hung out with us the whole time! I would stay here again in a heartbeat."
Shawn,"Rating, 5 stars
,
·
June 2023
,
·
Stayed with kids",5 stars!!! This place was fantastic! It was extremely clean and well stocked with everything you might need. We enjoyed relaxing by the pool while enjoying country living. This was the best AirBNB I have ever stayed at and would highly recommend staying there.
