name,rating_info,review_text
Peter,"Rating, 5 stars
,
·
August 2023
,
·
Group trip","I brought my kids for the last hurrah before going back to school and we had a BLAST. France was very awesome and let us use paddle board and kayak. The pier was great for swimming and the water is awesome.
France, thanks for opening your home and allowing us some GREAT memories.
Peter"
Melissa,"Rating, 5 stars
,
·
July 2023
,
·
Stayed with kids",France was an amazing host! We loved the house and the lake. Everything was so clean. We will definitely stay again.
Emily,"Rating, 5 stars
,
·
July 2023
,
·
Stayed with kids","We had an amazing week on the lake! I stayed with my extended family of 8 adults, and 3 kids. We loved having large tables inside and out so the whole family could eat together. The kitchen was well equipped with everything we needed, including an extensive spice drawer.
All the furniture and beds were very comfortable and AC on the 2nd floor made it very easy to get a good night's sleep.
It was great having plenty of deck furniture and shady spots to relax with a view of the lake. We enjoyed using both the kayak and paddle board to explore the lake, so much easier than trying to rent from the marina. The water was perfect and super shallow with a sandy bottom--great for the kids to swim and play! There were also 2 drying racks for hanging swim suits and towels that came in very handy.
There are a LOT of stairs from the road to the house which made carrying luggage and groceries difficult. However, we were glad the house was down close to the lake. Hoping to be back in the future!"
Keith,"Rating, 5 stars
,
·
September 2022
,
·
Group trip",Great location!
Leslie,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights","Loved our stay on the lake, view from deck was amazing. Host were so friendly and accommodating!"
Adam,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights",great little cottage. so peaceful sitting out by the lake!! would definitely come back!!
Blythe,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights","The Cottage is our preferred destination for our annual girls’ weekend! It allows us to relax and take in the amazing views but also for us to kayak and walk. The deck and fire pit are in use almost the entire time with exception of when we are on the dock or doing activities.
The view of Fish Lake and all of the wild life is breathtaking.
Chris and Missy are the perfect hosts and are extremely friendly! We will definitely be back again!"
Bradley,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights",Great location! very quite and comfortable very clean!
Kelby,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights",Wonderful stay at Chris’s place! We had a wedding and the cottage was only 7 minutes from the venue! Very quiet with a beautiful lake outside the window. Chris was very accommodating. Great for a short weekend stay!
Desiney,"Rating, 5 stars
,
·
September 2023
,
·
Stayed with kids","My family stayed here for Labor Day weekend and it was PERFECT. Chris was extremely helpful and friendly. The property was immaculate and had everything we needed to have a perfect weekend getaway. The beautiful views, countless amenities, and private location made this a gem of a property. Will definitely be saving to hopefully return in the future!"
Mary Ann,"Rating, 5 stars
,
·
August 2023
,
·
Stayed a few nights","We loved the cottage. It was immaculate, beautiful and cozy. The lake is peaceful and relaxing. We especially had fun using the kayaks and the huge floating raft. Chris and Missy are awesome hosts and didn’t miss a beat with the amenities and the extra little touches that made our stay memorable and wonderful."
Julia,"Rating, 5 stars
,
·
August 2023
,
·
Stayed with kids",We love this cottage so much we have stayed three times. It has a beautiful view of the lake and it is so peaceful. It is a great place to relax and leave your worries behind.
Diane,"Rating, 5 stars
,
·
July 2023
,
·
Stayed a few nights","Super host Chris was fantastic! So many amenities in the house, which I wasn’t expecting, coffee, tea, snacks, water, plus others that were advertised. His communication skills superb, including a binder with all pertinent information. Missy, his wife, has great style. Home was nicely decorated.
I felt like I was right at home! We got to meet their great family too!."
Ashley,"Rating, 5 stars
,
·
July 2023
,
·
Stayed a few nights","Perfect size for the 4 of us. We loved the area. Perfect retreat if you are looking for peace and serenity. We were in the lake every single day. Fishing was good and we loved the kayaks. Beds are comfortable as well. After a long day in the sun, we loved sitting on the deck over the water and starting a fire. All in all we would definitely come back. On a side note outside of the property. Just know most restaurants are closed on Sunday-Tuesday, so be sure to pack food to cook. Chris was very kind, helpful, and quick to respond."
Sarah,"Rating, 5 stars
,
·
July 2023
,
·
Stayed with kids",We had a great stay! Cozy and clean cottage. We enjoyed the lake and fishing. Our kids had a blast!!
Samantha,"Rating, 5 stars
,
·
July 2023
,
·
Stayed a few nights","My sister and I needed a little weekend getaway, and this was the perfect place for it! It was quiet and peaceful and we left feeling recharged and refreshed! We had everything we needed! Chris and Missy were very welcoming and kind, but let us do our thing while still being around if we needed anything. I’d love to come back to stay again!"
Airamanda,"Rating, 5 stars
,
·
July 2023
,
·
Stayed with kids","My family and I have been staying on Fish Lake for years and love it. This house was perfect for 4 of us. We prob could have even fit another with the couch pull out. It was clean, comfortable and they had everything we needed (and more they thought of everything right down to a first aid kit which we needed!). This part of the lake is amazing…shallow, clean, warm and full sun all day. Thankful for this house rental!"
Carrie,"Rating, 5 stars
,
·
July 2023
,
·
Stayed a few nights",We had a nice stay on Fish Lake. The cottage is small but perfect for us. Chris was a great host and we’ve already talked about going back again.
Monica,"Rating, 5 stars
,
·
July 2023
,
·
Stayed a few nights","We loved our stay on Fish Lake! Cottage was clean and comfortable and was stocked with all the necessities. We had a great time swimming off the dock, sitting on the deck, and kayaking around the lake. The flat top griddle grill was perfect for cooking out. We will definitely be back!"
Na’omi,"Rating, 5 stars
,
·
June 2023
,
·
Stayed a few nights","This trip was very last minute so I was afraid we wouldn’t be able to find a place to stay at all, and then we found this gem! We had so much fun on the kayaks and on the big floaty by the dock. We had a few fires for s’mores and even got to see a beautiful summer storm. The house was clean, cozy, and had all the accommodations listed. Chris lives next door so he came by to introduce himself and bring over a new coffee pot since the old one was cracked during the previous renter’s stay. He was very communicative and overall really wonderful to work with! I hope we can rent this magical little lake house again in the future!"
Chris,"Rating, 5 stars
,
·
June 2023
,
·
Stayed a few nights","Beautiful place, can’t wait to come back!"
Maria,"Rating, 5 stars
,
·
June 2023
,
·
Stayed with kids","This was just what we were hoping for. Beautiful, peaceful lake, very swim-able, great deck and lake view from the house. We mostly stayed right there at the cottage. We really appreciated the abundant beach towels and fun snacks!
Highly recommend Trojan Timbers park for a great wooden shaded playground."
Toni,"Rating, 5 stars
,
·
June 2023
,
·
Stayed with kids","Such a cozy cottage on a clean and peaceful lake . Everything you need and then some to make it comfortable. A place to retreat to where there are no other expectations than relax, enjoy the lake and cook food . It’s the best !
Second time I’ve stayed here and I love it.
Super nice and helpful hosts."
Tricia,"Rating, 5 stars
,
·
June 2023
,
·
Stayed a few nights","Quaint, beautiful home on the lake! Love to be extra surprises from the host-snacks and bottled water! Super easy to get in very communicative! We only wish we had more time to enjoy the home!"
Danielle,"Rating, 5 stars
,
·
May 2023
,
·
Stayed with kids","Beautiful home and beautiful hosts. They were right next door and were incredibly friendly! They even went out of their way and surprised my 16 year old with a treat for her birthday. It was clean, enough room for all of us and very reasonably priced for a cabin right on the lake. We had fun and we’re able to relax. Win win in our book!"
