name,rating_info,review_text
Geovaughn,"Rating, 5 stars
,
·
3 days ago
,
·
Stayed one night","The house was antique, but my stay was amazing. Everything was clean .I would return.
And recommend this house to anybody .."
Brittany,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed about a week",The place was very clean. Had everything I needed. It was in a great area with stores around.
Sarah,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed one night",Great and easy place to stay if you need to break up a long trip!
Jeffrey,"Rating, 4 stars
,
·
2 weeks ago
,
·
Stayed one night","Thanks, Kurt!"
Ethan,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed one night",Great place to stay for the night!
Derrall,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed about a week","Kurt, I enjoyed my stay. I will recommend your home to everyone. It was very warming and safe."
Wil,"Rating, 5 stars
,
·
4 weeks ago
,
·
Stayed one night","I was looking for a peaceful place to spend an evening while on a road trip.
I just wanted something quiet, simple and a private place that was close to the I70.
This was a great place for me while seeking a quick evening in Topeka.
Kurt's place was perfect!"
Nathan,"Rating, 5 stars
,
·
May 2024
,
·
Stayed one night",Kurt’s place was very clean and cozy to stay in for my short trip!
Katherine,"Rating, 5 stars
,
·
May 2024
,
·
Stayed one night","Easy, efficient, and just as described. Exactly what I needed!"
Megan,"Rating, 4 stars
,
·
May 2024
,
·
Stayed one night",Good quiet place
Jenny,"Rating, 5 stars
,
·
May 2024
,
·
Stayed a few nights",Another great stay when in town for work. Would definitely book again!
John,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",No frills but clean and adequate. Would stay again!
Jenny,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Another great and quiet stay! Close proximity to necessities.
Maxwell,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","excellent place to stay. quiet, cozy and extremely affordable. would definitely stay here again."
Blake,"Rating, 5 stars
,
·
April 2024
,
·
Stayed one night",Great spot for a great price! Would book again!
Jenny,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Stayed in town for work. Quiet and comfortable stay. Booked to stay here again! Kurt was responsive and communicated well!
Chloe,"Rating, 5 stars
,
·
April 2024
,
·
Stayed over a week",Great place for a travel nurse. Would recommend for longer stays to bring more kitchen supplies.
Donn,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights",Great location and just like it is described. Would stay here again.
Jill,"Rating, 5 stars
,
·
December 2023
,
·
Stayed over a week",Kurt's place was perfect for me. I stayed for 5 months while working at a local hospital. It was less than a 5-minute ride to work. It had what I needed to meal prep and take my food to work. Grocery store was a 2-minute ride. There was also a great area to go for a walk that you could walk to also close (5 min ride) to the local zoo park which was also a great place to go for a walk.
Dennis,"Rating, 5 stars
,
·
July 2023
,
·
Stayed one night",Kurt's place was just what we needed for our stay. Simple and comfortable. Great value for an entire home! Would recommend.
Joey,"Rating, 5 stars
,
·
July 2023
,
·
Stayed a few nights",Clean and worked for what I needed
Joe,"Rating, 5 stars
,
·
July 2023
,
·
Stayed one night",Wonderful little place and super friendly host!
Rick,"Rating, 5 stars
,
·
July 2023
,
·
Stayed a few nights",Bare bones very affordable place to stay. Washer and dryer were a great bonus I had to work outside a lot while I was there and it was nice to be able able to wash my clothes.
Catherine,"Rating, 5 stars
,
·
June 2023
,
·
Stayed one night","Kurt's place was easy to find and conveniently located from the main road. The place was pretty basic but it met our needs for a 1 night stay. The bed was comfortable, neighborhood was safe, place was clean and quiet. I recommend this place for its good value."
Abdul,"Rating, 4 stars
,
·
June 2023
,
·
Stayed one night","It’s fine for a night. I don’t know about a longer stay. The bed squeaks alot, every time you move there is a sound. And the home has a very strong old house smell. Otherwise it is a good location, kept clean, proper driveway parking."
Gayla,"Rating, 5 stars
,
·
June 2023
,
·
Stayed one night","Such a quiet neighborhood, easy check in, good nights sleep… thanks so much!"
Lacy,"Rating, 5 stars
,
·
June 2023
,
·
Stayed one night",Nice and cozy. Very accommodating to my needs. Will definitely stay again. I’m in town 2x a week and this be my first choice if available.
Marissa,"Rating, 5 stars
,
·
June 2023
,
·
Stayed one night",This is a good little house to stay in and there are lots of fun things to do around the area.
Joe,"Rating, 5 stars
,
·
June 2023
,
·
Stayed a few nights","Very nice place, exactly what I was looking for. I'll be there next time I'm in town for sure!"
Sharon,"Rating, 5 stars
,
·
June 2023
,
·
Stayed one night","Quaint, retro home with all the comforts of home. Private, easy to get to, great for 1 or 2 people. Great value for the money."
Renee,"Rating, 5 stars
,
·
May 2023
,
·
Stayed one night",Kurt was responsive and worked with us.
Josh,"Rating, 5 stars
,
·
April 2023
,
·
Stayed one night","Minimalist to a T -- this is a small house, off the main drag, minutes south of I-70. It's a peaceful setting with very little foot traffic. The kitchen and bathroom were fully-functional. The TV was equipped with Netflix and HBO. Kurt was friendly and quick to respond. I awoke to the sound of birds."
David,"Rating, 5 stars
,
·
April 2023
,
·
Stayed one night","This place was efficient and served its purpose. Kurt was really responsive and the entire stay was super easy. I was there only 1 night, so didn’t get a feel for the neighborhood, but noted it was quiet."
Logan,"Rating, 5 stars
,
·
April 2023
,
·
Stayed a few nights",An absolutely awesome place to stay. Such a great value.
Naveen,"Rating, 5 stars
,
·
April 2023
,
·
Stayed one night","Place was fine, I only slept, it was a short stay. it is a bit outdated, but clean and nice and yu get a whole house so Id say great value overall. Check in was easy. Thanx again"
Petra,"Rating, 5 stars
,
·
March 2023
,
·
Stayed over a week",Kurt was very helpful and responsive. The location was an easy drive to many locations and just as described.
