name,rating_info,review_text
Kristina,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed a few nights","This place was a treasure! It was perfect for us, perfect location, perfect flexible space. Also, we were fortunate to be there when the lilacs were blooming and that lovely fragrance wafted in when we opened the windows on a delicious breeze."
Catherine,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed with a pet",Quiet relaxing spot very close to traverse city with a cute wooded back yard! The host was very responsive and helpful throughout our stay.
Jessica,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed a few nights",The apartment was great! Very nice and clean. Diane was very responsive when I had any questions. Would definitely recommend and would stay again.
Julia,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed a few nights","Gary was amazing. We made our reservation day of and Gary immediately offered us an early check in. The house is a lovely little place. It is perfect for a cozy weekend getaway. The lofting is a fun addition. Everything you could want is within walking distance and Gary was more than helpful in picking the best places to go. The area felt residential and safe with the beach, fun breweries and coffee shops within walking distance. 100% would visit again, a must book in traverse city."
Jonathan,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","Fantastic space, location, and host! Will absolutely use again!"
Arelis,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights","Loved my stay here! Everything was just as described. Can't beat the location, walking distance to everything. Gary was an amazing host. He provided recommendations of things for us to do as it was our first time in Traverse City. He even offered one of his bikes so my brother could use. I would definitely stay here again!"
Deborah,"Rating, 4 stars
,
·
August 2023
,
·
Stayed a few nights",Gary is a fabulous host. He greeted me and did a walk through of his airbnb. The location is what drew me to this Airbnb. Walking a few blocks and you’re in downtown TC. Quaint and beautiful neighborhood. Pay attention to the loft and ladder set up. I wasn’t comfortable with it. I was very careful going up and coming down. It was a warm first evening and Gary walked me through cooling the loft down via the window unit air conditioning and ceiling fan. That helped! (The windows don’t even have an option to open!) Last but not least: I wish we had an extra refrigerator around here and the hosts def utilize the freezer in the unit. In my 100 plus stays that might have been a first.. like staying with family but paying for it :)
Brilliana,"Rating, 5 stars
,
·
August 2023
,
·
Stayed a few nights","Gary’s place was wonderful! Beautiful and quiet setting, but within walking distance to downtown coffee, libations, and eateries. Gary himself was a wonderful - even providing a few homemade muffins. Highly recommend!"
Kevin,"Rating, 5 stars
,
·
July 2023
,
·
Stayed a few nights","We throughly enjoyed our stay at Gary’s for a wedding weekend getaway. Our host went above and beyond to make sure we had everything we needed for a comfortable stay. The cottage was very charming and we enjoyed all the unique artwork and decor. Some of the highlights included the large bathroom countertops ideal for getting ready for the wedding, the walkability to bustling charming downtown, the comfortable bed, and the delicious homemade muffins our host kindly left for us. We highly recommend staying with Gary in beautiful Traverse City!"
Ruth,"Rating, 5 stars
,
·
July 2023
,
·
Stayed a few nights","Gary was a great host, very responsive and friendly, made us feel right at home."
