name,rating_info,review_text
Aspen,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed one night",Super cute place in a great area! Definitely will be back next time we’re in the area!
Jeremy,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed one night",A wonderful place to stay. The bathroom with its incredible tub + shower are fabulous highlights. Very quick & easy check in. Excellent communication throughout.
Bonnie,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed one night",Cory & Emma were great hosts! This cozy apartment was just what I needed for a solo night of relaxation. The giant soaker tub and rainfall shower were amazing! Bed was comfy and white noise machine was super helpful when I fell asleep. I will definitely stay again!
Renee,"Rating, 5 stars
,
·
May 2024
,
·
Stayed one night",We loved the stay. everything was very clean. host was friendly and worked well with check in/out flexibility!
Susan,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","Went for the eclipse, and little town of Urbana didn't disappoint. Parked the car when we hot there & walked to everything!! Great restaurants too!"
Raimon,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night",Great spot will definitely be back.
Kim,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night","Thank you for having us stay at your place! It was perfect for our one night stay on the way back to Ontario. It had everything we needed, and we immediately felt comfortable there!"
Melissa,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","Loved staying here. This was our second time and it was cozy, clean, and cute. Quiet neighborhood. Everything was close by. I’ll definitely recommend. Great getaway spot."
Cecilia,"Rating, 5 stars
,
·
February 2024
,
·
Stayed one night",I adore this room. The hosts are the best and I’ve stayed often. You won’t be disappointed. In fact it’s my favorite place to stay in Ohio! I love coming here because it’s relaxing. The tub is the best. Nicest people. Highly recommended.
Melissa,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights","Such a amazing little spot with everything at your reach. Quiet neighborhood. The room was super cute and warm. The bathroom was beautiful, that tub makes you don’t want to leave. I’ll definitely book again when I’m in town. Very friendly host."
Melissa,"Rating, 5 stars
,
·
January 2024
,
·
Stayed one night","thos is the second time we stayed at your place, and i was not disappointed! comfortable, clean, and cozy. AND THAT TUB!!!"
Allie,"Rating, 5 stars
,
·
November 2023
,
·
Stayed one night",I had a lovely stay here!
Sarah,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights",Comfortable stay close to everything
Kaleigh,"Rating, 5 stars
,
·
November 2023
,
·
Stayed a few nights",This was the cutest place in such a charming little town. The space was beautifully decorated and made me feel right at home. Definitely recommend staying here!
Micah,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights",Me and my girlfriend had just stayed this last weekend and had such a good time. It was a beautiful place and everything was very neat and clean. The hosts are responsive and made sure we were very comfy. Thanks for an amazing stay!
