name,rating_info,review_text
Nevaeh Angie,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed with kids",This place was picture perfect. The hosts were so friendly & communicative. I was so grateful to have booked this stay. Five stars for me.
Myra,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed a few nights","I enjoyed my stay, it was relaxing and comfortable and clean. The response of host was immediate. I would definitely stay again!"
Doug,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed with kids","One of our favorite Air BnBs to date! Great layout, spacious and a pool! Zero complaints and will be back"
Daniel,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","Awesome cozy home, would definitely stay again!"
Eddie,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",beautiful cozy home. close to stores and major streets. Thank you for letting us stay at your place.
Lori,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Highly recommend! Very comfortable and spacious!
Jared,"Rating, 5 stars
,
·
April 2024
,
·
Group trip",Great stay! Will definitely be back!
Pankti,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Went on a girls trip to see the sequoias and still have a good place to call home!! Loved the space and would definitely be a place we would come back & stay at 😊
Ankit,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights",Beautiful new place. Paola was a fantastic host and super responsive.
Lisa,"Rating, 5 stars
,
·
February 2024
,
·
Stayed over a week","This was a great home away from home and made a long work trip bearable! Thanks for the hospitality.
Lisa"
Neena,"Rating, 5 stars
,
·
January 2024
,
·
Stayed with kids",Paolas place is just as described.. it’s a nice home to relax with kids if you would like to visit Sequoia Nationalpark- the place is modern and spacious.
Yanlin,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights","We loved the place, enjoyed the weekend gateways. Very quick response"
Shannon,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights","Paola’s place was exactly what we needed/wanted and more. Was homey, peaceful, comfortable, attractive. Slept great. Was very happy to be there. Thank you!"
Natasha,"Rating, 5 stars
,
·
November 2023
,
·
Group trip","Paola’s home was perfect. There was plenty of space and the beds were very comfortable.
We had no problems with anything, Host was very responsive, the neighborhood was quiet and peaceful.
I would definitely stay here again, and recommend it to everyone.
Definitely a five star review 👍"
Darlyl,"Rating, 5 stars
,
·
November 2023
,
·
Group trip","Was a really nice house, like the pictures and description. Host was very communicative, would recommend."
Joseph G.,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights","Paola is a wonderful host!
The property was outstanding and one of the best I have stayed in while in Visalia.
I highly recommend staying at Paola's AirBnB when in the area.
You will not be disappointed."
Ayca,"Rating, 5 stars
,
·
October 2023
,
·
Stayed with kids",Very nice and clean house.Very close to groceries and restaurants.We enjoyed at the pool.We loved that house
Dene,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights",Thanks for hosting us. See you next time!!
Lauryn,"Rating, 5 stars
,
·
September 2023
,
·
Group trip",Paola’s space is so beautiful and homey! I couldn’t have asked for a better stay in Visalia. Close to all the great shops and restaurants downtown Visalia! Highly recommend trying out House of JuJu downtown Visalia for some yummy food and sweet staff! The home is very spacious for a 2 bedroom and a great backyard. The kitchen was so cute and had everything we needed and then some! The pool was a dream also! 10/10 💗
Lamita,"Rating, 5 stars
,
·
August 2023
,
·
Stayed with kids",The place is neat. Spacious and welcoming. It is about 50 min away from Sequoia National Park. I personally loved the kitchen but my 2.5 year old was so happy when he stepped inside and saw the basket with stuffed animals. I really appreciated the gesture. Thank you.
