name,rating_info,review_text
Christopher,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed with kids","Great house, great value, very quiet, very comfortable."
Megan,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed one night","Absolutely wonderful place to stay at. Perfect for our family!
Everything looked picture perfect and the beds were super comfy.
Charity was super kind and proactive, always sending the info we needed before we even had to ask.
5/5, would stay again!"
Dane,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed a few nights",Great place to stay. Very out of the way and quiet. Plenty of space for several people.
Jeremy,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed a few nights",I felt welcomed and very well cared for during my stay. Beautiful property and attentive host!
Lindsay,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed one night",Will definitely stay there again.
Caleb,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed a few nights",Second time staying was just as great as the first. Couldn’t recommend this place more. Fantastic place with even better hosts.
David,"Rating, 5 stars
,
·
4 weeks ago
,
·
Stayed with kids",Charity's place was awesome! Really nice and comfortable and easy to get in to. Really nice to have the garage too and she was so easy to work with and communicate with. The value was amazing too. I would highly recommend staying here.
Kimberly,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","This was the perfect landing spot for hiking in the area. We loved the rental which was on a farm with sheep, chickens, a small horse/pony or mule. We had lots of privacy and the host was truly amazing with immediate correspondence when I sent an inquiry. The farm fresh chicken eggs provided were delicious and such a nice surprise. Thank you so much and if I’m in the area again this will be the first place I reach out to."
Caleb,"Rating, 5 stars
,
·
April 2024
,
·
Stayed about a week",Can’t say enough about our gracious hosts they checked on us all the time making sure our stay was great. Location was super peaceful which was great after a long day of work. Everything was clean and exactly as described. Can’t thank them enough for a wonderful stay.
Denise,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with kids",This location is very close to downtown and only 6 minutes from the Baseball fields. Charity was very helpful when I didn’t have access to my email. Promo responses. Very clean and beautiful Airbnb. Would highly recommend.
Jason,"Rating, 5 stars
,
·
March 2024
,
·
Stayed about a week","Charity and Ben’s place is perfect if you’re looking for privacy along with peace and quiet. It was great being able to see the sheep and donkey each morning when we started our day. Another really neat feature of this property is the use of the garage to park your vehicle. I have never had this at any other AIR BNB I have stayed and I can say it was quite convenient. Overall, the property is a great value and exactly as described. Would definitely stay again."
Elizabeth,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with kids","Wonderful, beyond expectations! Relaxing, comfortable setting that felt like home away from home. Hostess was very responsive and helpful! Highly recommend! Would stay here again!"
Juliet,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with a pet","This place exceeded my expectations. It has everything you could possibly need, and is on a gorgeous and quiet property. The inside is all nice and new, very clean. Charity gave us a tour of the farm and introduced us to all her animals, and we left with almost 3 dozen eggs! We had such an amazing time on this charming farm."
Emily,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Beautiful home in a peaceful setting. Was a perfect place for a Mother Daughter getaway.
Nicole,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with kids",Beautiful and clean at a great price!
Sandy,"Rating, 5 stars
,
·
February 2024
,
·
Stayed one night",Charity was a great host. The stay was above and beyond my expectations.
Jennifer,"Rating, 5 stars
,
·
February 2024
,
·
Stayed one night",For less than the cost of a motel this was a vastly superior accommodation.
Alexis,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights","Private, clean, nice views, quick drive to town. Charity was a great host!"
Sheila,"Rating, 5 stars
,
·
January 2024
,
·
Stayed with a pet",Beautiful peaceful place both Ben and Charity were vary helpful and accommodating with the terrible weather thank u for the hospitality and the fresh eggs 🥚.
Cynthia,"Rating, 5 stars
,
·
January 2024
,
·
Stayed about a week","I just enjoyed a wonderful stay at Happy ZZ. Beautiful, peaceful location just outside West Plains. I loved watching the chickens, sheep and donkey. The extra touch of fresh eggs made my day. The kitchen was well appointed without extra clutter. Tastefully decorated and comfy. The hosts were friendly and kind. Felt very at home. We have found a perfect place to stay!"
Brian,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed a few nights",Convenient location.
Riley,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed a few nights",house had everything we needed would stay again.
Todd,"Rating, 5 stars
,
·
April 2024
,
·
Stayed over a week",We have stayed here several times. The house is always clean and comfortable. Makes our trip so much more restful than staying in a hotel. Love it!!
Crystal,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",The guys loved their stay!!
Lisa,"Rating, 5 stars
,
·
April 2024
,
·
Group trip","We enjoyed our time in Naomi's lovely airbnb so much! It's in a very safe neighborhood with a garage stall to park your car in! A first for us after 28 airbnb rentals! The home has a soothing color scheme, with beautiful decor and is free of clutter. The kitchen was a great place to cook and gather with family, as well as the front porch and back deck. We even took several walks throughout the neighborhood and felt safe and at ease. The bed and pillows were super comfy with a ceiling fan in the master bedroom for a nice little breeze while we slept. Naomi is a friendly and responsive host and I would definitively stay in her lovely home again. Thank you Naomi for creating a wonderful home away from home!"
Jesse,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with kids","This was great for our group. 3 adults and 2 small kids. We had everything we needed, and Naomi was very responsive. We’ll definitely be back."
Luke,"Rating, 4 stars
,
·
March 2024
,
·
Stayed one night",We had some trouble with the door code but Naomi was quick to remedy the problem. Other than that a fantastic place.
Parker,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with kids",Beautiful home! Naomi made us feel very welcome and at home!
December,"Rating, 5 stars
,
·
March 2024
,
·
Group trip",Thanks so much for letting us stay at your place! It was a nice slice of relaxation super close to the Civic Center while we were in town on business!
Wayne,"Rating, 5 stars
,
·
January 2024
,
·
Group trip","My family had a great time at the house. Lots of room vary family oriented. We got to see majority of family, my wife is from the area. So it was easy to see family. Naomi was a great host and easy to communicate if we had a question she was fast to respond. My family and I would love to stay again, we go back to visit family."
Crystal,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights",The guys enjoyed their stay!
Peter,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights",Best place of 4 we have rented in West Plains.
Nashwa,"Rating, 5 stars
,
·
November 2023
,
·
Stayed with kids",This is the second time we have stayed at Naomi’s and I highly recommend it! We love the neighborhood and the overall quality of the home. It has everything you could need. Naomi is always quick to respond to any concerns or questions. And we will absolutely stay again!
Audrey,"Rating, 5 stars
,
·
November 2023
,
·
Stayed with kids",We enjoyed our stay. I wish we had more time to enjoy the quiet and beautiful fall weather.
Andrea,"Rating, 5 stars
,
·
October 2023
,
·
Stayed one night","Our stay was brief but very pleasant. The place was spotless, beds comfy, and the neighborhood was quiet, which was just what we needed."
Dana,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights",Great place! Highly recommend!
Brittany,"Rating, 5 stars
,
·
October 2023
,
·
Stayed with kids",Great stay!
Alan,"Rating, 5 stars
,
·
September 2023
,
·
Stayed a few nights",very clean modern home with great amenities.
Dustin,"Rating, 5 stars
,
·
September 2023
,
·
Stayed one night",Awesome place thank you!
Alyson,"Rating, 5 stars
,
·
August 2023
,
·
Stayed with kids",We loved our stay at the cottage. We loved the easy access to the rivers nearby to float on for the day trip! Super great weekend getaway!! We will definitely be back!!
Elaine,"Rating, 5 stars
,
·
June 2023
,
·
Stayed a few nights","Great place to stay. Modern decor, nicely equipped kitchen though we didn’t cook. We were there for a couple of nights visiting relatives. Quiet and safe neighborhood."
Jacqueline,"Rating, 5 stars
,
·
June 2023
,
·
Group trip",Beautiful place
Jordan,"Rating, 5 stars
,
·
June 2023
,
·
Group trip",Naomi was great to work with! This home is just as pictured and described. Will definitely be booking this one again!!
Rhonda,"Rating, 5 stars
,
·
May 2023
,
·
Stayed a few nights",Naomi was very accommodating to my out of town guests. Thank you for the hospitality
William,"Rating, 5 stars
,
·
May 2023
,
·
Stayed a few nights",This is a beautifully done house in a convenient location. It was very quiet and comfortable. Naomi was very responsive when I had a question. We would definitely stay here again.
Lyle,"Rating, 5 stars
,
·
April 2023
,
·
Stayed a few nights",Very nice and clean! Cute decor. Quiet neighborhood. Just two of us but can hold many more.
Ami,"Rating, 5 stars
,
·
April 2023
,
·
Stayed with kids","Staying at Naomi’s home was an excellent choice for my family. We had 6 people total: myself and my husband, our two kids, and my in-laws. The size was perfect and comfortable for all of us.
The house was super clean and comfortable. You can tell it was recently renovated and she chose terrific furniture and decor.
We stayed for a few nights to celebrate my grandpa’s 90th birthday. It was nice to be able to cook in the kitchen and have access to a full size refrigerator.
I would definitely recommend this house to anyone in need of a comfortable and clean place to stay in West Plains. Also has a sister posting to rent the basement if you need more room."
Christina,"Rating, 5 stars
,
·
March 2023
,
·
Stayed a few nights",House was very clean and updated. It had all we needed for our stay. Naomi was helpful and quick to respond. Would recommend to friends and family.
Karen,"Rating, 5 stars
,
·
March 2023
,
·
Stayed a few nights","We loved staying at this Airbnb. It was a great home away from home with all the amenities. The beds were super comfortable, they had a great set up for the kitchen and living room. The master bathroom was off the charts. Don’t forget to bring bubble bath to take a nice long soak in the amazing tub. It’s close to restaurants and has everything you need to cook in the kitchen. We will definitely be back. I would recommend this accommodation to anyone if it’s available."
Jessica,"Rating, 5 stars
,
·
March 2023
,
·
Group trip",Very modern and updated. Clean and roomy. Held our large family easy. Host was very kind!
Nashwa,"Rating, 5 stars
,
·
November 2022
,
·
Stayed with a pet",There are not enough good things I can say! This was perfect for us! Naomi was so helpful and extremely on top of things. The home is beautiful and feels homey and comfortable .
Codie,"Rating, 5 stars
,
·
November 2022
,
·
Stayed with kids",Naomi was so kid!
Richard,"Rating, 5 stars
,
·
November 2022
,
·
Stayed with kids","Great, quiet place. Update home with great space, comfortable living. Host is amazing, very responsive and went above and beyond. Made for a great stay in a small town."
Eric N Rachel,"Rating, 5 stars
,
·
November 2022
,
·
Group trip","beautiful, stylish, clean house with plenty of space four our family. all the amenities and comforts of home. quiet and pretty neighborhood close to the highway for convenience."
Gabriel,"Rating, 5 stars
,
·
October 2022
,
·
Group trip",This was an absolutely great Airbnb! Super clean and comfortable! Exceeded expectations!
Tim,"Rating, 5 stars
,
·
October 2022
,
·
Stayed a few nights","Fantastic updated house! Easily accessed, and spacious clean living space. Would absolutely stay here again!"
Kristen,"Rating, 5 stars
,
·
October 2022
,
·
Stayed one night","This place looks incredible. There were conveniences I never would have noticed from the pictures - like a smart heated and lighted mirror, a bath bomb, make up remover towels to name a few. Everything in the house was tastefully updated! After a long day spent outdoors the tub was so nice! I appreciated that anything that was provided to use on skin was extra soft - like the towels, the blankets, bedding, pillows. And I always appreciate when the hosts think of providing Q-tips! The framed pictures of famous people from West Plains was such a fun idea and so memorable. I loved the laundry setup with the stone folding table. We’re doing a home renovation right now and I was taking notes! They did such a great job with the place. If we had our kids with us there would have still been plenty of room for all 5 of us and even one more. There’s a whole table designated for local recommendations, handbooks and WiFi and I even noticed a little office nook with a printer. The fireplace was such a bonus feature as well. Naomi was super responsive and friendly. Our experience was wonderful and the home is a total gem!"
Ashley,"Rating, 5 stars
,
·
October 2022
,
·
Stayed about a week",The house was so homey and clean! It was in a great neighborhood. Would definitely stay here again!
Maggie,"Rating, 5 stars
,
·
October 2022
,
·
Stayed a few nights","This air bnb was fantastic! Really comfortable beds, modern amenities, enormous shower decked out with cool blue light and a Bluetooth speaker, flat screen tvs, huge soaking tub- this place was better than a 5-star hotel! Very clean and well stocked with necessities. There were plenty of towels and everything else you could possibly need. Owner was very attentive and accommodating. Do not hesitate to book this house. We will definitely be back :)"
Cheryl,"Rating, 5 stars
,
·
September 2022
,
·
Group trip",Naomi’s place is in one of West Plains most beautiful neighborhoods. We so enjoyed all of the details taken care of. The design was very nice. Communication was wonderful as well. Enjoy!
Audrey,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed with kids",We only stayed for a quick over night stay but it was a great stay and the beds were absolutely amazing. Lots of coffee pods to chose from with some snacks! This will become our first go to place to stay while visiting family!
Sophia,"Rating, 5 stars
,
·
1 week ago
,
·
Stayed with kids","Definitely recommend a stay here! Everything was clean and well managed! This place is actually nicer than the photos let on! You can tell the host put a lot of care into her thoughtful touches; like a varied assortment of coffee, a dark colored makeup removal rag, snacks, and comfortable bedding! I was a little nervous that the home would be hot since it didn't have central AC, but the window units did a great job and we were always comfortable! We definitely would stay again!"
Stephanie,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed a few nights",The house was very welcoming and clean. Heather was a wonderful host. We very much enjoyed our visit. The bed was very comfortable. We slept very good. We will definitely be staying here again on our next visit.
Marah,"Rating, 4 stars
,
·
4 weeks ago
,
·
Stayed a few nights",It was a great experience all and all. Thank you for the stay!
Robin,"Rating, 5 stars
,
·
May 2024
,
·
Stayed with a pet",Stayed an extra day. Host was super accommodating. Thank you again. Would happily stay again.
Robin,"Rating, 5 stars
,
·
May 2024
,
·
Stayed with a pet",Great host. Super friendly and accommodating. Cute home! Would stay again!
Kenneth,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Awesome space! Clean and quiet. Worth every penny.
Marianne,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",a lovely and neat and tidy house with everything you need for a pleasant stay.
Courtney,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Such a lovely home! Would definitely come back again. Such great hosts!
Hunter,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with kids",We enjoyed it there was a lot of different places to go and enjoy so thanks we will be renting again.
Keeley,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","We had a wonderful time! We had everything we needed, and when I reached out to Heather with a question, she was very responsive! A fantastic getaway spot!"
Tamara,"Rating, 5 stars
,
·
March 2024
,
·
Stayed about a week",This was a beautiful home with all the comforts of home. Everything was very clean and we felt very safe. I will be renting this house again.
