name,rating_info,review_text
Jacqueline,"Rating, 5 stars
,
·
6 days ago
,
·
Group trip","This house is so wonderful. From the top-tier amenities like the rain shower or the coffee pot to the incredible spaces on the property (for us, the deck and kitchen were highlights!), every detail here is so thoughtful. A really wonderful, calming space for gathering with a group."
E,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed a few nights","We stayed at Morgan’s home to visit family and it worked out great for us. Morgan was very communicative and responsive. Very spacious home. It looks like it may have once been zoned for a business and was rezoned and remodeled as a rental. One thing to point out is the first/main bedroom is off of the “vestibule” for lack of a better word. It worked out fine for us as a stay or adults; however, if I had my young kids with me I’d need to make sure that none of them had the front room for safety reasons.
It is quite accessible, which was nice for those on the older side.
Overall we’d stay here again. Great location, clean space and communication was excellent."
Betty,"Rating, 5 stars
,
·
2 weeks ago
,
·
Stayed a few nights","The house was exactly as pictured. The rooms were pristine, linens were incredibly soft. High end toiletries were provided. An unexpected and appreciated touch included a variety of coffee and tea along with some snacks. One of my group forgot to bring a toothbrush and there were some provided for that purpose.
A huge private deck overlooks the back yard and despite the rain, we were able to sit outside to drink our morning coffee and stay dry. We only had a short drive to area attractions. When I had a question, Morgan responded within minutes. This truly is a Zen house and I would stay again. After checking out, Morgan reached out to ask if there was anything that needed to be addressed or improved. That shows how important it is to him that his guests are comfortable."
David,"Rating, 5 stars
,
·
2 weeks ago
,
·
Group trip","I really liked the place, very nice and clean, the attention was perfect, I would return without a doubt"
Wafiyyah,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed with kids",Let me start by saying I don’t normally leave reviews but I have to speak on this home. The Zen Ranch was beautiful and relaxing. It exceeded all expectations. Morgan definitely went above and beyond. I was surprised by how thoughtful the Zen Ranch was put together and the extra amenities provided. Morgan had wonderful and attentive host and my family I are very grateful he made our experience amazing!! Thanks again Morgan!!
Hannah,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed with kids",Beautiful home with lots of space was the perfect place for me and my family to stay for my college graduation! Morgan was extremely responsive and so helpful every time I reached out! We hope to be back soon!
Eric,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","In town for a wedding, very comfortable after we settled in. Loved the rainforest shower ."
Laurie,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights","Our experience at The Zen Ranch was outstanding. Morgan was friendly and always quick to respond. He gave clear and concise instructions. A wonderful host. The house was beautifully decorated with everything we needed to make our stay comfortable and enjoyable. We particularly liked the the small luxuries that were provided like a well stocked spice cabinet, the aroma atomizers, the echo system to provide music throughout the house, and the terrific selection of teas and coffees to try. Because of Morgan's attention to details, The Zen Ranch is a peaceful, beautiful and relaxing house that makes you feel right at home while you are enjoying a 5 star vacationing experience."
Loretta,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with kids",Excellent host! Would definitely stay again!
Beth,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",My friends and I had a great stay at Morgan's place. it was clean and spacious for our group. Morgan was a wonderful host - very prompt to respond and was so nice to provide some local dinner recommendations.
Tracy,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with kids",We had a very nice stay! Morgan was very responsive and friendly. The house was clean and beautifully decorated. We loved the big yard as well. It was a very peaceful and pleasurable trip. Thank you
Ashley,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with kids","I’m so glad to have found and stayed at this home in Winston-Salem! Morgan has gone above and beyond to create a relaxing space that guests can look forward to coming home to. There are very thoughtful details throughout the home that let you know your comfort and experience are of utmost importance to the host.
Every single room in this home was easily accessible, aesthetically pleasing, and comfortable.
Morgan was extremely helpful and accommodating throughout our entire stay. My family members cannot stop talking about how wonderful this home was and we’re already looking forward to a return visit!"
Rita,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights","We loved the home. Great space, peaceful, clean. Love the bathtub. 😃
Thank you it Morgan. Great host. Helpful."
Kaye,"Rating, 5 stars
,
·
March 2024
,
·
Group trip","Our group of girls thoroughly enjoyed Morgan’s pristine, comfortable home. It was close to everything we needed, yet located in a nice, quiet neighborhood. The thoughtfulness and work put into this home was appreciated, and we felt right at home."
Jennifer,"Rating, 5 stars
,
·
March 2024
,
·
Stayed about a week","The house was very comfortable and had all the amenities of home and some. The place was spotless and I loved all the thought pour into design. That bathtub is worth the stay!!!
The host was super responsive and easy to communicate with. Would not hesitate to stay there again. Thanks for a great stay!"
