name,rating_info,review_text
Andrea,"Rating, 5 stars
,
·
1 week ago
,
·
Group trip",we had an amazing stay!
Raman,"Rating, 5 stars
,
·
3 weeks ago
,
·
Stayed with kids","Amazing modern farmhouse. We rented the airbnb for a wedding and felt right at home. It was a beautiful home and at the end of the trip, our five year old was convinced he wanted to move there. Our daughter was in a wheelchair and it was accessible."
Phyllis,"Rating, 5 stars
,
·
May 2024
,
·
Stayed a few nights","We had a wonderful stay! Such a beautiful, spacious, and light-filled home. Beautifully decorated. The kitchen was stocked with all the tools we needed. Christina was very helpful and reachable. It truly was like an Oasis. Just what we needed!"
Ryan,"Rating, 5 stars
,
·
May 2024
,
·
Stayed a few nights","Christina was awesome. Her communication and instructions the whole time were phenomenal. The house was well stocked, very clean and beautiful. We had everything we needed after a long day of fishing to relax, cook, and unwind, and felt like home. Would definitely stay there again."
Kenya,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with kids","This home was perfect! We came down for a wedding & there was so much space indoor & outdoor for all 11 of us! The beds were so comfortable & had clean, crisp sheets. And the bathrooms? Amazing. The host was super responsive. Definitely will be coming back to this place if we ever need to be in the area again!"
Gian,"Rating, 5 stars
,
·
April 2024
,
·
Group trip","My wife, family, and I enjoyed this Airbnb. It was spacious, clean, and warm. It was definitely Central California country - beautiful green flat yard with a great view of the Sierras from the living room and kitchen windows. Additionally it was in great location for us. Will definitely rent again the next time we are in the area."
Maggie,"Rating, 5 stars
,
·
April 2024
,
·
Stayed with kids",We loved the place. We will definitely be coming back!
Wanda,"Rating, 5 stars
,
·
April 2024
,
·
Stayed a few nights",Beautiful home ...
Harry,"Rating, 5 stars
,
·
March 2024
,
·
Stayed one night",Awesome home 👏🏽
Brendan,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with kids",Very nice house to stay in and very clean.
Federico,"Rating, 5 stars
,
·
March 2024
,
·
Group trip",beautiful home in a really nice location. No issues with our stay and everything was as advertised.
Holly,"Rating, 5 stars
,
·
March 2024
,
·
Group trip","This was a beautiful property and met our needs perfectly.
Our family was treated wonderful and the attention to detail was lovely"
Lori,"Rating, 5 stars
,
·
March 2024
,
·
Group trip",The house was perfect for our larger group. It was centrally located but felt country. It had an easy flow with comfortable furniture and beds. The kitchen was awesome and pretty well stocked with gear. The neighbor was friendly with lots of animals. Roosters were up right on schedule each morning. We loved watching sunsets and sunrise each day out the big back window. And seeing the gorgeous Sutter Buttes are an extra bonus! We highly recommend.
Heidi,"Rating, 4 stars
,
·
March 2024
,
·
Group trip","Wonderful host! Responsive and flexible. Beautiful house and area. Limited place for hanging clothes with some of the rooms, since we had a full house. Had everything else we needed."
Brandon,"Rating, 5 stars
,
·
March 2024
,
·
Group trip",Christina was great. answered all of our questions and the place was perfect! Thank you so much!
Ian,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with a pet","We had a great stay, even though it was for a single night only. Fantastic location, great finishes, and incredibly responsive hosts. Thanks for having us and we’ll be back again for hopefully a longer stretch."
John Paul,"Rating, 5 stars
,
·
March 2024
,
·
Stayed with kids","The Modern Farmhouse is beautifully located just 5 minutes from Yuba City. Private, nice and quiet, except the barking dogs from the next-door neighbor. But that is minor. Christina's place was perfect and exceptionally immaculate. We watch the sunrise from the kitchen. We would stay at the Modern Farmhouse again instead of local hotels. All was outstanding!"
Josh,"Rating, 5 stars
,
·
March 2024
,
·
Stayed a few nights",Stay was amazing and host was very responsive and quick to reply.
Leonardo,"Rating, 5 stars
,
·
February 2024
,
·
Stayed with kids",Very nice place for a large family function to attend.
Nicole,"Rating, 5 stars
,
·
February 2024
,
·
Group trip",Super clean and cute farm house. Christina was quick to answer any questions we had!!! Would stay again if we play softball up there.
Bob,"Rating, 5 stars
,
·
February 2024
,
·
Stayed a few nights",Christina’s place is a great home from home. I would absolutely use again
Melody,"Rating, 5 stars
,
·
February 2024
,
·
Group trip",Christine was an excellent host and the place was perfect for our needs. Kids enjoyed bonfires at night and I enjoy quiet mornings with my coffee watching the sunrise. Beds were comfortable and clean and the living space and kitchen area were a great place for us to gather. We really enjoyed our stay.
Rob,"Rating, 3 stars
,
·
January 2024
,
·
Stayed one night","HOSTS:
The hosts were great, very responsive, and friendly. Easy check-in with electric combo lock.
HOUSE:
This is a very beautiful house, very modern, new design and freshly built. However, not very furnished. Felt very cold and had lots of empty spaces. Almost an echo chamber. I would suggest adding more artwork or area rugs to tone down the echoes.
AMENITIES:
House had all the basics, however, they're not listed in the ad. We were unsure if it was a fully stocked kitchen or not. We were looking for the BBQ that was in the photo however, luckily I asked before I got there and said there is not a BBQ. We went to use the dishware and some of it was still dirty. The cleaners need to do a better job and looking at these before putting them away. We had to clean them before we used them. The cabinets were dirty and didn't close.
LOCATION:
This is in a rural area, however, don't expect the neighborhood to look exactly like this house, because they're not.
I have more but Im out of wor"
Thanuja,"Rating, 4 stars
,
·
January 2024
,
·
Stayed with kids","Overall nice place, could have been more clean."
Melisa,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights","Wonderful as always, best place to stay while visiting family and friends! Christina is awesome! Thank you again, Melisa"
Jason,"Rating, 5 stars
,
·
January 2024
,
·
Stayed one night","Beautiful home, well appointed. Beds were unbelievably comfortable. Would definitely stay here again."
Betzabet,"Rating, 5 stars
,
·
January 2024
,
·
Stayed a few nights",The house is very nice! Its kitchen is very spacious and overlooking the patio. We loved it! We felt right at home.
Harry,"Rating, 5 stars
,
·
January 2024
,
·
Stayed with a pet",Christina’s place was absolutely fantastic for a group of 6 for chilling inside. There was room enough for up to 12 and everything was insanely well kept inside. Thank you!
Lily,"Rating, 5 stars
,
·
December 2023
,
·
Stayed with a pet","The farm house is nice and comfortable for the 3 of us to relax inside. Yuba city is not that interesting except that some of the shopping areas have many, many wild chickens wandering around. It was quite a pleasant surprise."
Bill,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights",Thank you Christina for a very nice home to stay in. 👍🏼
Nick,"Rating, 5 stars
,
·
December 2023
,
·
Stayed a few nights","Christine's listing was lovely and was a pleasure interacting with Christine leading up to our stay.
Would love to book with Christine again!"
Thom,"Rating, 5 stars
,
·
November 2023
,
·
Stayed with a pet","Christina and Steven’s place was perfect for my family’s holiday trip. We were able to cook a meal in their spacious, well-equipped kitchen, watch an important (to me, anyway) football game on their huge TV, and there was plenty of space to set up a jigsaw puzzle. The house was super clean and tidy, and the beds were all comfortable. Plenty of bathrooms for the five of us, and a huge yard that we would have made better use of if we’d been there at a warmer time of year, I’m sure. I’d happily stay here again if I’m ever back in this area. Thanks for having us!"
Justin,"Rating, 5 stars
,
·
November 2023
,
·
Group trip",Second time staying here and the place was as beautiful as the first time
Justin,"Rating, 5 stars
,
·
November 2023
,
·
Group trip",Beautiful house
Jamie,"Rating, 5 stars
,
·
October 2023
,
·
Stayed with kids",Loved this air bnb!!! Looking forward to my next visit to the Yuba City area…. We will for sure stay at Christina’s place!
Natalie,"Rating, 5 stars
,
·
October 2023
,
·
Stayed a few nights",Amazing stay. Beautifully built home and it suited us so well
Kitty,"Rating, 5 stars
,
·
October 2023
,
·
Group trip","Easy to find, nice older neighborhood, spacious lots. This home was redone from the 1940’s, we were fascinated at all they had done. Beautifully remodeled! Barnyard animals next door were kind of a treat. Loved the butlers pantry! Well stocked kitchen. 2nd dishwasher was out of order, but that was not an issue for us. Cooked dinner for 6, nice appliances, easy to use and very clean. Adjustable and massage bed in the master suite was phenomenal! Really enjoyed! We will definitely recommend this home and be back!"
Cyrina,"Rating, 5 stars
,
·
October 2023
,
·
Group trip","Christina was a great host who was very helpful and accommodating to our family! Great home, it was beautiful! Thank you for a great stay and being such a great host Christina!"
Prab,"Rating, 5 stars
,
·
September 2023
,
·
Stayed with kids",The Airbnb was amazing for our family’s stay in Yuba City. It was spacious and modern and came fully equipped with everything you need.
Ryan,"Rating, 5 stars
,
·
September 2023
,
·
Stayed one night","Very nice, comfortable home."
Greg,"Rating, 4 stars
,
·
September 2023
,
·
Group trip","Beautiful remodel, excellent decor, spacious and welcoming. Just what we needed."
Jessica,"Rating, 5 stars
,
·
September 2023
,
·
Stayed with kids","The Modern Farmhouse was beautiful! You can tell they really took the time to design this house. It’s located in a nice and quiet neighborhood and it’s close to a grocery store and to many other shopping centers. The hosts were really responsive and made us feel right at home. We really enjoyed the peaceful view from the backyard, and also the reverse osmosis filter in the kitchen. We will definitely be staying here again for future family trips!"
Melisa,"Rating, 5 stars
,
·
August 2023
,
·
Stayed with kids","Christina always goes above and beyond! It’s the only place we stay when we’re in the area visiting family and friends! We love here place so much, always lovely and feels like home! 5 Stars all the way! Thank you again Christina for hosting our family! We will be back again, The Desmond’s"
Meenakshi,"Rating, 5 stars
,
·
August 2023
,
·
Stayed over a week","The house was lovely and the surrounding area was nice also. We came to the USA from UK to visit family and stayed for 11 days so it was like going from home to home.
The facilities within the property were in good condition and it was very clean inside. Christina and Steven answered our questions and were accomodating with our requirements.
The garden was nice to spend in first thing in the morning before it got too in the afternoon. We all had decent sleep. If you're in the master bedroom the farm animals are a bit of a wake up call early in the morning but our kids loved seeing them in the morning. Overall good hosts, lovely house and a wonderful time spent. Thank you."
Ryan,"Rating, 5 stars
,
·
July 2023
,
·
Group trip",Great place to stay in Yuba city area!
Ronnie,"Rating, 5 stars
,
·
July 2023
,
·
Stayed a few nights",Cute and quaint. Experience was absolutely fantastic. Everything that was just as it should have been. Would definitely recommend and I will be wanting to stay here again
Barbara,"Rating, 5 stars
,
·
July 2023
,
·
Group trip",Everything about the stay was wonderful Thank You
Cynthia,"Rating, 5 stars
,
·
July 2023
,
·
Stayed with a pet",Great home that met all of our needs. We were in town for a family wedding and each person (5 in our party) had a lot of privacy. The beds were comfortable and the home had a lot of natural light. Restaurants were not too far away. We really enjoyed our stay at this beautiful home and would definitely come again.
Frank,"Rating, 5 stars
,
·
July 2023
,
·
Stayed with kids",Place was very quaint and lovely. We had a great stay
Jaden,"Rating, 5 stars
,
·
June 2023
,
·
Group trip","Had a great time, very clean."
Nim,"Rating, 5 stars
,
·
June 2023
,
·
Stayed with kids",Awesome place for families. It’s very private and the whole place is fully upgraded.
Debbie,"Rating, 5 stars
,
·
June 2023
,
·
Stayed with a pet",The house was beautiful..loved that country kitchen feel. The only thing it needs is a clock but other than that I loved it. If you ever decide to sell let me know..❣️
Deborah,"Rating, 5 stars
,
·
May 2023
,
·
Group trip",We loved our stay in this beautiful farm home. Very accommodating and super comfortable! We all loved the beds and bedding. The kitchen is well stocked and can accommodate a gathering easily. The little farm next door was loved by our kiddos. We would stay here again if we end up visiting Marysville again.
Caitlin,"Rating, 5 stars
,
·
May 2023
,
·
Stayed a few nights",Such a beautiful home in beautiful Yuba City! We wish we could have stayed longer and look forward to visiting again soon.
Jose,"Rating, 5 stars
,
·
May 2023
,
·
Stayed one night",Great place
Jose,"Rating, 5 stars
,
·
May 2023
,
·
Stayed a few nights",Nice and clean place. Awesome Host!
David,"Rating, 5 stars
,
·
May 2023
,
·
Group trip",The Listing did not do it Justice.. it was A Very Peaceful Retreat Had Fun out by the Fire Pit in the Evening you can Take A Peaceful Stroll on the Property & It was very Spacious & Comfortable… can not wait to visit next time we are in town.
Gretchen,"Rating, 4 stars
,
·
May 2023
,
·
Group trip",Great place.
Kiran,"Rating, 5 stars
,
·
April 2023
,
·
Stayed with kids",Great location to stay for a bigger family! Private and beautiful as well!
Tatiana,"Rating, 5 stars
,
·
April 2023
,
·
Group trip","I had such a fantastic and peaceful stay at this beautiful Modern Farmhouse! The hosts were so easy to communicate with and very accommodating. The house is spacious and bright. The Master bedroom can get really bright in the morning but if you’re a deep sleeper, you should be fine. It was nice waking up in the morning and watching the neighbors farm animals and enjoying the sunrise. I was not ready to leave. I definitely recommend this place. Thanks again Christina for having us!"
Dennis,"Rating, 5 stars
,
·
April 2023
,
·
Group trip","7 of us stayed at the farmhouse in order to attend a family wedding
The house was very spacious, clean and full of light
It would have been nice to have hotel style luggage racks on which to set our bags in each room and firewood for the fire pit.
The dogs and various farm animals next door can be noisy at times, so if that’s something ud find bothersome this may not be the place for u
Host was efficient in her communications and the California strawberries we got from a local vendor were delicious!"
Tamara,"Rating, 5 stars
,
·
April 2023
,
·
Stayed with a pet",Beautiful home. Would stay again
Steven,"Rating, 5 stars
,
·
April 2023
,
·
Stayed with kids","Overall, the house was very clean and modern. The floors were really nice and the decor as well. The yard was really nice with green lawn out front as well as in the back. The house had lots of amenities like a Keurig, iron and ironing board, towels, and shampoo and conditioner in the bathrooms. The kids room was really cool as it had a bunch of books which I read to my son. There were TVs in each of the four room as well as a really big one in the living room. There was lots of glasses and dishes as well as good cutting knives. Christina was very helpful and responsive as unfortunately we forgot a few things at the house. She helped in getting those returned. If you want a clean house out away from the city this is perfect."
Surjit,"Rating, 5 stars
,
·
April 2023
,
·
Stayed about a week",Super nice place.
Nicole,"Rating, 5 stars
,
·
April 2023
,
·
Group trip",Would highly recommend!
Rene,"Rating, 5 stars
,
·
March 2023
,
·
Stayed with kids",Such an amazing and beautiful place
Oren,"Rating, 5 stars
,
·
March 2023
,
·
Stayed a few nights",This place is perfect for a country getaway!
Shelly,"Rating, 5 stars
,
·
March 2023
,
·
Stayed with a pet","Christina’s house is wonderful. The four bedrooms are large and have the very comfortable beds. The bed linens are a nice quality and the down comforters add a nice touch. The kitchen is large, with plenty of counter space and all the amenities a kitchen should have.
My husband and I enjoyed our stay and will definitely stay again."
Elena,"Rating, 5 stars
,
·
February 2023
,
·
Stayed with a pet","Christina's place is true to photos - large, bright, airy, and modern. The kitchen is well stocked, the beds are comfortable, the bathrooms are cozy. Lots of useful modern tech, including Keurig, smart TVs, great Internet, Nest. There is a wonderful kids' room with lots of books and toys. The backyard and front yard are large and green. Lots of parking on the side of the house. The house is on the outskirts of town, about 10 minutes drive from good coffee (Bridge Coffee Co.), bakery (Stephen's Farmhouse), organic grocery (New Earth), Target, etc. Christina was very easy to communicate with, prompt and friendly. When some issues came up, she responded fairly quickly and attentively. One note - the neighbors have horses, chickens, roosters, goats, and dogs. It's fun for kiddos to see but they can be a tad noisy at night so if you're a sensitive sleeper, ear plugs or sound machine is helpful. If we're in the area again, we'll be sure to stay here!"
Marco,"Rating, 5 stars
,
·
February 2023
,
·
Stayed with kids",was very communicative. Scheduling times for check-in and check-out was simple and easy. A super smooth stay. Will back anytime definitely
Zelda,"Rating, 5 stars
,
·
February 2023
,
·
Group trip","Very nice home.
Check in was a breeze. House is set back from the street, so that is nice. Quiet neighborhood. Hosts were communicative and responsive to my questions and needs. Love the bidet toilet & electric fireplace under the TV in living room. (Two totally opposite things!) Nice to see cast iron in the kitchen. Awesome pillows and bedding. Great sunrises and sunsets from the plentiful windows. Plenty of room for the parents (94 year olds) with walkers to move around. Nice to have a couple bed choices for them as well since lower beds are what they can get into. All in all a great choice and stay for us."
Coco,"Rating, 5 stars
,
·
February 2023
,
·
Stayed with a pet","Christina and Steven are the nicest hosts. Their home is beyond beautiful and so peaceful. They accommodated all of our needs. Their responses were quick every time I messaged them. I’m so thankful to have been able to stay in their lovely home with my family. And I just have to say ALL of the beds are incredibly comfortable. Haven’t slept that good in years and my 6 month old even slept through the whole night in the master bed. It was a miracle. LOL you and your family must stay here, it is cozy and comfortable in every way. Thank you again Christina and Steven!!"
Nathan,"Rating, 5 stars
,
·
February 2023
,
·
Stayed a few nights","Stayed here MANY times because the house is large, very clean and private! Also the host is the best of the best! Highly recommend"
Ana,"Rating, 5 stars
,
·
January 2023
,
·
Stayed with a pet","Comfortable Bars Wide Place
And very modern beautiful view
With the awakening of the roosters I loved it"
Jessica,"Rating, 5 stars
,
·
January 2023
,
·
Stayed with kids",We really appreciated this location. It was close to Yuba City - where we had several family events. Christina was very responsive to any concerns and sent over instructions to access the house timely. My kids also loved the options on the televisions in their rooms. The house has plenty of space and a well-stocked kitchen. We'll definitely keep this in mind for future trips to visit family in the area!
Jennifer,"Rating, 5 stars
,
·
January 2023
,
·
Stayed with kids",The house was very clean and looked freshly painted. The kitchen was well stocked. Christina was very friendly and responsive when we had questions. I would stay there again.
Elizabeth,"Rating, 5 stars
,
·
December 2022
,
·
Group trip","Christine’s house was perfect for our Christmas family gathering with a large group! It has great open living areas, a large well stocked kitchen, and very accommodating and large bedrooms. The finishes throughout were beautiful. Highly recommend for anyone with family coming to town or anyone visiting Yuba city!"
Mary,"Rating, 5 stars
,
·
December 2022
,
·
Group trip","We all enjoyed our stay at the Farmhouse! Set back off the road in a country setting, this beautiful home was great for my family Christmas. Lots of room, comfortable rooms, lots of amenities, large back yard and huge kitchen.
We would definitely stay here again.
Thank you Christina and Steven!"
Edgar,"Rating, 5 stars
,
·
December 2022
,
·
Stayed with kids","A fantastic home to stay at. Truly perfect. Cozy surroundings. Great place to rest. Nice host. Would stay again,"
Ranvir,"Rating, 5 stars
,
·
December 2022
,
·
Group trip","We enjoyed our stay. House was beautiful, clean and peaceful. Christina is a great host and was very prompt in responding to our inquiries. We would highly recommend this house for your next stay in Yuba City."
